"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/15 - 12/31/15"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""2218.4""","""@vehicle / EAGLE SIGN CO.""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","0.00","","10/13/15","38050","EAGLE SIGN CO.","F","0.00","0.00","0.00","","","0.000",""
"""2218.5""","""@vehicle / EAGLE SIGN CO.""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","0.00","","10/13/15","38050","EAGLE SIGN CO.","F","0.00","0.00","0.00","","","0.000",""
"""5080.1""","""@13443 / BOB BROWN""","1","1","960.45","788.97","1461.35","","","0.00","3210.77","499.73","3607.16","0.00","","3176.97","0.00","7283.86","-4073.09","9898.66","67.56","9898.66","26.42","04/30/15","2885","BOB BROWN BUICK GMC","F","0.00","0.00","0.00","04/30/15","5080-2","52.000","48.250"
"""5080.2""","""@13797 / BOB BROWN""","1","0","0.00","215.38","200.30","","466.00","0.00","881.68","9187.54","20457.79","0.00","","116177.24","0.00","145822.57","-144940.89","","","0.00","","01/31/15","2885","BOB BROWN BUICK GMC","F","0.00","0.00","0.00","","","380.250","13.250"
"""5080.4""","""@15966 / BOB BROWN""","1","1","113165.40","7503.25","9643.62","","471.00","6789.92","137573.19","12130.83","23486.94","0.00","","109168.87","0.00","144786.64","-7213.45","206611.00","33.41","206611.00","29.92","02/05/15","2885","BOB BROWN BUICK GMC","F","0.00","0.00","0.00","01/30/15","5080","478.000","436.000"
"""5080.5""","""@SCRAPPING / BOB BROWN""","1","0","0.00","103.19","95.97","","","0.00","199.16","0.00","0.00","0.00","","","0.00","0.00","199.16","","","0.00","","06/10/15","2885","BOB BROWN BUICK GMC","F","0.00","0.00","0.00","","","0.000","6.500"
"""5302.1""","""@14966 / DES MOINES WATER WORK""","1","1","0.00","0.00","0.00","","","0.00","0.00","58.00","1444.65","0.00","","665.00","0.00","2167.65","-2167.65","0.00","","2871.87","24.52","01/15/15","3963","DES MOINES WATER WORKS","F","0.00","0.00","0.00","01/14/15","5302","19.000",""
"""5527.1""","""@14115 / CAT# TBD""","1","1","1547.25","475.03","441.78","","","0.00","2464.06","2629.02","1447.50","0.00","","","0.00","4076.52","-1612.46","5209.39","52.70","5209.39","21.75","04/20/15","18600","CAT SCALE","F","0.00","0.00","0.00","04/16/15","5527","37.500","28.375"
"""5527.2""","""@tm / CAT# TBD""","1","1","19.35","12.75","11.86","","","0.00","43.96","0.00","0.00","0.00","","","0.00","0.00","43.96","0.00","","0.00","","04/20/15","18600","CAT SCALE","F","0.00","0.00","0.00","04/16/15","5527","0.000","0.750"
"""5593.1""","""@15757 / UNISTRUT CONSTRUCTION""","1","0","0.00","31.50","29.30","","","0.00","60.80","56.08","224.75","0.00","","43.20","0.00","324.03","-263.23","","","537.23","39.69","05/11/15","4076","UNISTRUT CONSTRUCTION","F","0.00","0.00","0.00","","","5.910","1.750"
"""5702.2""","""@17223 / AFFORD IT STORAGE""","1","1","1192.60","669.12","783.44","","314.00","0.00","2959.16","1230.21","1709.61","0.00","","162.60","0.00","3102.42","-143.26","4784.03","38.15","4784.03","35.15","01/15/15","4122","AFFORD IT STORAGE","F","0.00","0.00","0.00","01/14/15","5702","36.170","40.000"
"""5702.3""","""@18058 / AFFORD IT STORAGE""","1","1","18.04","551.25","1022.56","","","0.00","1591.85","0.00","0.00","0.00","","","0.00","0.00","1591.85","300.00","-430.62","0.00","","01/15/15","4122","AFFORD IT STORAGE","F","0.00","0.00","0.00","01/14/15","5702","0.000","35.500"
"""5852.1""","""@16826 / FIRST UNITARIAN CHURC""","1","1","0.00","24.56","45.69","","","0.00","70.25","0.00","263.35","0.00","","6.00","0.00","269.35","-199.10","424.68","83.46","424.68","36.58","01/30/15","4181","FIRST UNITARIAN CHURCH OF DES MOINES","F","0.00","0.00","0.00","01/28/15","5852","5.000","1.500"
"""5852.3""","""@16905 / FIRST UNITARIAN CHURC""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","57.90","0.00","","","0.00","57.90","-57.90","0.00","","93.22","37.89","01/30/15","4181","FIRST UNITARIAN CHURCH OF DES MOINES","F","0.00","0.00","0.00","01/28/15","5852","1.500",""
"""5852.4""","""@17890 / FIRST UNITARIAN CHURC""","1","1","448.35","406.68","540.72","","","0.00","1395.75","480.79","1164.95","0.00","","171.56","0.00","1817.30","-421.55","2809.93","50.33","2809.93","35.33","01/30/15","4181","FIRST UNITARIAN CHURCH OF DES MOINES","F","0.00","0.00","0.00","01/28/15","5852","23.000","24.500"
"""5852.5""","""@17966 / FIRST UNITARIAN CHURC""","1","1","0.00","20.75","19.30","","1500.00","0.00","1540.05","0.00","0.00","0.00","","1500.00","0.00","1500.00","40.05","1965.00","21.63","1965.00","23.66","01/30/15","4181","FIRST UNITARIAN CHURCH OF DES MOINES","F","0.00","0.00","0.00","01/28/15","5852","0.000","1.000"
"""5852.6""","""@17973 / FIRST UNITARIAN CHURC""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","57.90","0.00","","","0.00","57.90","-57.90","95.00","100.00","93.22","37.89","01/30/15","4181","FIRST UNITARIAN CHURCH OF DES MOINES","F","0.00","0.00","0.00","01/28/15","5852","1.500",""
"""5880.1""","""@16909 / BOB BROWN (PATTISON S""","1","1","6697.89","0.00","0.00","","","0.00","6697.89","0.00","77.20","0.00","","","0.00","77.20","6620.69","125.00","-5258.31","124.29","37.89","02/25/15","3010","PATTISONID","F","0.00","0.00","0.00","02/12/15","5880","2.000",""
"""5880.2""","""@16910 / BOB BROWN (PATTISON S""","1","1","102.36","751.44","1362.07","","","0.00","2215.87","29.00","702.35","0.00","","","0.00","731.35","1484.52","1505.00","-47.23","1162.10","37.07","02/25/15","3010","PATTISONID","F","0.00","0.00","0.00","02/12/15","5880","13.000","47.750"
"""5932.7""","""@tm / STORAGE MART""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","0.00","","01/31/15","4053","STORAGE MART","F","0.00","0.00","0.00","","","0.000",""
"""5937.1""","""@16877 / STORAGE MART""","1","1","362.62","652.33","1144.08","","","0.00","2159.03","193.98","1121.35","0.00","","14.00","0.00","1329.33","829.70","1600.91","-34.86","1778.78","25.27","01/30/15","4053","STORAGE MART","F","0.00","0.00","0.00","01/20/15","5937","11.000","41.500"
"""5937.2""","""@16917 / STORAGE MART""","1","1","976.86","186.03","173.01","","","0.00","1335.90","933.16","463.68","0.00","","","0.00","1396.84","-60.94","1958.42","31.79","2176.02","35.81","01/30/15","4053","STORAGE MART","F","0.00","0.00","0.00","01/20/15","5937","12.100","11.000"
"""5937.3""","""@17175 / STORAGE MART""","1","1","438.26","294.53","273.92","","","0.00","1006.71","0.00","136.95","0.00","","1668.00","0.00","1804.95","-798.24","2385.56","57.80","2650.62","31.90","01/30/15","4053","STORAGE MART","F","0.00","0.00","0.00","01/20/15","5937","3.000","15.750"
"""5937.4""","""@tm / STORAGE MART""","1","1","32.00","78.75","146.48","","","0.00","257.23","0.00","0.00","0.00","","","0.00","0.00","257.23","518.63","50.40","518.63","100.00","01/30/15","4053","STORAGE MART","F","0.00","0.00","0.00","01/20/15","5937","0.000","5.000"
"""5953.1""","""@tm / BOB BROWN""","1","1","0.00","16.50","30.69","","","0.00","47.19","0.00","0.00","0.00","","","0.00","0.00","47.19","85.00","44.48","85.00","100.00","01/12/15","2885","BOB BROWN BUICK GMC","F","0.00","0.00","0.00","01/08/15","5953","0.000","1.000"
