"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 02/15/26"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""12677.1""","""@40501 / CAT #3313""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","1490.37","0.00","","","0.00","1490.37","-1490.37","","","2463.63","39.51","03/15/26","18600","CAT SCALE","","0.00","0.00","0.00","","","11.000",""
"""12677.2""","""@40509 / CAT #3313""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","3735.00","100.00","03/15/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12687.1""","""@40380 / Infinity Neuromotor D""","1","0","7.20","12.38","15.47","","","0.00","35.05","35.70","202.67","0.00","","","0.00","238.37","-203.32","","","414.19","42.45","03/26/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","35.05","","","4.000","0.500"
"""12687.3""","""@40507 / Infinity Neuromotor D""","1","0","196.06","361.03","453.57","","2747.88","0.00","3758.54","58.00","1160.67","0.00","","2750.00","0.00","3968.67","-210.13","","","7161.17","44.58","03/26/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","3758.54","","","11.000","17.500"
"""12687.4""","""@40508 / Infinity Neuromotor D""","1","0","3.60","12.38","18.72","","","0.00","34.70","11.82","151.39","0.00","","","0.00","163.21","-128.51","","","273.76","40.38","02/25/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","34.70","","","2.250","0.500"
"""12687.5""","""@40425 / Infinity Neuromotor D""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","150.00","100.00","03/26/26","6417","INFINITY NEUROMOTOR DEVELOPMENT CENTER","","0.00","0.00","0.00","","","0.000",""
"""12695.1""","""@40571 / CAT SCALE""","5","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","80145.00","100.00","03/03/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12703.1""","""@40570 / Hardee´s #2- Westar F""","1","0","741.40","295.00","558.49","","","0.00","1594.89","32.80","812.77","0.00","","1246.83","0.00","2092.40","-497.51","","","3541.37","40.92","02/02/26","4598","WESTAR FOODS","","0.00","0.00","1594.89","","","5.500","12.500"
"""12706.1""","""@40622 / CAT #TBD""","1","0","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","","","16029.00","100.00","02/10/26","18600","CAT SCALE","","0.00","0.00","0.00","","","0.000",""
"""12708.1""","""@38131 / Hoyt Sherman Place""","1","0","31671.84","72.50","111.78","","","0.00","31856.12","1738.56","5988.10","0.00","","33406.00","0.00","41132.66","-9276.54","","","58208.94","29.34","03/10/26","4295","HOYT SHERMAN PLACE","","0.00","0.00","31856.12","","","96.000","3.000"
