"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/16"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""65464""","""221-0190 STANDARD CAT SCALE SP""","1","","32.47","152.50","141.84","","","0.00","326.81","400.63","308.80","0.00","","","0.00","709.43","-382.62","","","0.00","","12/16/16","","","C","0.00","0.00","326.81","","","8.000","9.000"
"""65465""","""221-0190 STANDARD CAT SCALE SP""","1","","32.47","152.00","141.39","","","0.00","325.86","400.63","308.80","0.00","","","0.00","709.43","-383.57","","","0.00","","12/16/16","","","C","0.00","0.00","325.86","","","8.000","9.000"
"""65466""","""221-0190 STANDARD CAT SCALE SP""","1","","32.47","153.75","143.01","","","0.00","329.23","400.63","308.80","0.00","","","0.00","709.43","-380.20","","","0.00","","12/16/16","","","C","0.00","0.00","329.23","","","8.000","8.750"
"""65469""","""202-0500 8"" ANGLE IRON BRACKET""","1","","0.00","60.13","55.92","","","0.00","116.05","1.02","0.23","0.00","","","0.00","1.25","114.80","","","0.00","","12/28/16","","","C","0.00","0.00","116.05","","","0.006","11.750"
"""65473""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","1066.76","261.58","243.28","","","0.00","1571.62","2787.81","772.00","0.00","","","0.00","3559.81","-1988.19","","","0.00","","12/29/16","","","C","0.00","0.00","1571.62","","","20.000","39.500"
"""65474""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","99.14","33.57","31.23","","","0.00","163.94","2787.81","772.00","0.00","","","0.00","3559.81","-3395.87","","","0.00","","12/29/16","","","C","0.00","0.00","163.94","","","20.000","36.000"
"""65475""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","99.14","38.38","35.70","","","0.00","173.22","2787.81","772.00","0.00","","","0.00","3559.81","-3386.59","","","0.00","","12/29/16","","","C","0.00","0.00","173.22","","","20.000","36.750"
"""65476""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","97.75","38.38","35.70","","","0.00","171.83","2787.81","772.00","0.00","","","0.00","3559.81","-3387.98","","","0.00","","12/29/16","","","C","0.00","0.00","171.83","","","20.000","34.500"
"""65477""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","99.14","33.57","31.23","","","0.00","163.94","2787.81","772.00","0.00","","","0.00","3559.81","-3395.87","","","0.00","","12/29/16","","","C","0.00","0.00","163.94","","","20.000","38.250"
"""65483""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","916.82","119.63","111.26","","","0.00","1147.71","943.33","308.80","0.00","","","0.00","1252.13","-104.42","","","0.00","","12/29/16","","","C","0.00","0.00","1147.71","","","8.000","8.750"
