"02-15-26","","","Eagle Sign Company","DIVISION 20","","DATE RANGE:  01/01/15 - 12/31/15","","","","","","","0099","","","","","","","0100","","","","","","","0200","","","","","","","0300","","","","","","","0400","","","","","","","0500","","","","","","","0600","","","","","","","0700","","","","","","","0800","","","","","","","5010","","","","","","","5190","","","","","","","5200","","","","","","","5300","","","","","","","5307","","","","","","","6000","","","","","","","6010","","","","","","","6020","","","","","","","6030","","","","","","","6040","","","","","","","6050","","","","","","","9820","","","","","ADJ"
"","","","","","","","","","","","","","PERMITTING","","","","","","","ART DEPARTMENT","","","","","","","FABRICATION","","","","","","","ELECTRICAL","","","","","","","PAINT","","","","","","","VINYL & GRAPHICS","","","","","","","INSTALLATION","","","","","","","SERVICE","","","","","","","TRAVEL","","","","","","","VEHICLE MAINTENANCE","","","","","","","SALES","","","","","","","JANITORIAL","","","","","","","OFFICE","","","","","","","Management Labor","","","","","","","VACATION PAY","","","","","","","PERSONAL/SICK PAY","","","","","","","MISC BENEFIT PAY","","","","","","","EMPLOYEE BONUS","","","","","","","HOLIDAY PAY","","","","","","","INDIRECT SHOP LABOR","","","","","","","Service Labor - Overtime","","","","","Adjust/Transfer"
"WO #","Due Date","Customer #","Customer Name","Job Location","Quote #","Description","Sign Type","Template Code","WO Status","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Act Dollars","","Tot Est Hrs","Tot Act Hrs","Tot Variance","Tot Est Dollars","Tot Act Dollars","Tot Variance"
"SC3884.1","04/16/15","4198","14 FORTY","",""," Wendy called today to say we put the door graphics on the wrong door--we put them on the Locust side and should be on the 15th St. side. Did new order to replace them per Mike. "," ","","Acct Closed","","","","","","","","","0.000","0.500","-0.500","0.00","17.85","-17.85","","","","","","","","","","","","","","","","","","","","","","","0.000","0.250","-0.250","0.00","9.05","-9.05","","0.000","0.500","-0.500","0.00","23.60","-23.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.250","-1.250","0.00","50.50","-50.50"
"6278.1","01/05/15","4349","7 STONE PIZZERIA","WEST DES MOINES, IA","17969"," CHANNEL LETTERS & NON-LIT LETTERS  Fabricate and install (1) set remote mounted LED-lit channel letter logo","CLLIT","CL-REMOTE","Acct Closed","","","","","","","","","1.000","1.500","-0.500","31.85","53.56","-21.71","","17.000","21.000","-4.000","656.20","682.91","-26.71","","3.000","2.250","0.750","115.80","52.11","63.69","","2.000","1.500","0.500","77.20","50.68","26.52","","0.000","0.750","-0.750","0.00","26.79","-26.79","","5.000","10.000","-5.000","514.80","456.64","58.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.000","37.000","-9.000","1395.85","1322.69","73.16"
"6417.2","03/27/15","4416","804 MAIN BAR & GRILL","NORWALK, IA","18658"," NON-ILLUMINATED BUILDING SIGN--REDUCED SIZE Fabricate and install (1) contour shaped non-lit building sign approx. 4´0""x6´8"" overall size. Sign is 1","BLDNON","","Acct Closed","","","","","","","","","1.000","0.000","1.000","31.85","0.00","31.85","","4.000","4.500","-0.500","154.40","139.70","14.70","","","","","","","","","3.500","1.000","2.500","135.10","33.78","101.32","","3.500","2.750","0.750","135.10","98.82","36.28","","3.000","3.750","-0.750","286.00","163.39","122.61","","","","","","","","","1.000","0.000","1.000","34.55","0.00","34.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.000","12.000","4.000","777.00","435.69","341.31"
"6848.1","09/18/15","4617","A+ COMMUNICATIONS & SECURITY","DES MOINES, IA","18642"," Furnish and install vehicle vinyl graphics for service van. Customer to schedule delivery of van to Eagle shop.","VINYL","","Acct Closed","","","","","","","","","3.000","3.250","-0.250","95.54","116.06","-20.52","","","","","","","","","","","","","","","","","","","","","","","30.000","23.250","6.750","1158.00","839.85","318.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.000","26.500","6.500","1253.54","955.91","297.63"
"SC4049.1","08/19/15","4588","A-1 MECHANICAL SERVICES","",""," Tim would like us to meet him at Big Tomatoe on Friday 08"," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.500","-0.500","0.00","23.60","-23.60","","0.000","0.500","-0.500","0.00","23.60","-23.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.000","-1.000","0.00","47.20","-47.20"
"6636.1","06/11/15","4129","A-D DISTRIBUTING CO.","",""," Convert internal halyard roped based flagpole to external halyard flagpole, replacing truck assembly, rope, and parts."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.000","-2.000","0.00","94.38","-94.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.000","-2.000","0.00","94.38","-94.38"
"6637.1","06/11/15","4129","A-D DISTRIBUTING CO.","",""," Replace Ball Finial on top of pole."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.750","-1.750","0.00","82.60","-82.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.750","-1.750","0.00","82.60","-82.60"
"6638.1","06/11/15","4129","A-D DISTRIBUTING CO.","",""," Replace truck assemblies, cables, and all parts on three poles. One 30´ Internal Cable Based Flagpole, and Two 25´ Internal Cable Based Flagpoles."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.500","-2.500","0.00","117.98","-117.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.500","-2.500","0.00","117.98","-117.98"
"6639.1","06/11/15","4129","A-D DISTRIBUTING CO.","",""," Replace truck assemblies, ropes, and all parts on two 25´ Internal Halyard Rope Based Flagpoles."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.250","-1.250","0.00","59.00","-59.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.250","-1.250","0.00","59.00","-59.00"
"6743.1","07/30/15","4129","A-D DISTRIBUTING CO.","",""," Repair and inspect flag poles on location.  "," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.00"
