"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/14 - 12/31/14"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1389.1""","""@2467 / RYKO MANUFACTURING""","1","0","60.90","50.26","44.97","","","0.00","156.13","335.01","689.81","0.00","","","0.00","1024.82","-868.69","","","5040.00","79.67","04/29/14","95950","NATIONAL CARWASH SOLUTIONS","F","0.00","0.00","0.00","","","16.250","18.500"
"""4773.1""","""@12639 / HYDRO KLEAN""","1","1","40.62","7.75","7.21","","","0.00","55.58","8.54","112.42","0.00","","20.40","0.00","141.36","-85.78","111.16","50.00","222.92","36.59","01/13/14","3675","HYDRO KLEAN","F","0.00","0.00","0.00","01/09/14","4773","3.000","0.500"
"""4885.23""","""@13180 / DES MOINES INTERNATIO""","8","8","2436.95","503.76","570.83","","598.71","0.00","4110.25","428.39","2304.80","0.00","","394.48","0.00","3127.67","982.58","4763.20","13.71","4763.20","34.34","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","44.000","30.250"
"""4885.24""","""@13181 / DES MOINES INTERNATIO""","2","2","108.97","374.63","527.58","","","0.00","1011.18","164.09","499.00","0.00","","164.38","0.00","827.47","183.71","1272.24","20.52","1272.24","34.96","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","9.000","22.750"
"""4885.31""","""@13196 / DES MOINES INTERNATIO""","1","1","40.03","16.75","15.58","","","0.00","72.36","53.56","288.10","0.00","","49.31","0.00","390.97","-318.61","595.40","87.85","595.40","34.33","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","5.500","1.000"
"""4885.39""","""@14789 / DES MOINES INTERNATIO""","1","1","402.94","131.90","144.83","","90.63","0.00","770.30","362.40","348.55","0.00","","","0.00","710.95","59.35","1500.00","48.65","1201.42","40.82","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","8.000","7.500"
"""4885.40""","""@tm / DES MOINES INTERNATIONAL""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","1000.00","100.00","1000.00","100.00","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","0.000",""
"""4885.41""","""@15031 / DES MOINES INTERNATIO""","1","1","33.07","113.19","133.64","","","0.00","279.90","46.17","98.40","0.00","","","0.00","144.57","135.33","225.63","-24.05","228.17","36.64","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","2.260","7.000"
"""4885.42""","""@15030 / DES MOINES INTERNATIO""","1","1","162.14","215.15","259.53","","69.25","0.00","706.07","139.55","546.20","0.00","","197.24","0.00","882.99","-176.92","1650.00","57.21","1650.00","46.49","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","9.500","13.250"
"""4885.43""","""@14874 / DES MOINES INTERNATIO""","1","1","1427.56","604.54","613.29","","1212.85","0.00","3858.24","1601.34","1600.69","0.00","","1180.00","0.00","4382.03","-523.79","7300.00","47.15","7272.39","39.74","01/29/14","35250","DES MOINES INTERNATIONAL AIRPO","F","0.00","0.00","0.00","01/28/14","4885-7","33.000","37.500"
