"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/22 - 12/31/22"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""10023.6""","""@29194 / RAMADA INN""","1","1","0.00","72.25","133.88","","","0.00","206.13","3.80","599.85","0.00","","","0.00","603.65","-397.52","0.00","","888.88","32.09","10/27/22","5176","ALLEN INDUSTRIES - HARMON SIGN DIVISION","F","0.00","0.00","0.00","10/27/22","10023-2","8.000","4.250"
"""10024.2""","""@30369 / CHRISTIAN LIFE ASSEMB""","1","1","0.00","48.50","45.11","","","0.00","93.61","0.00","0.00","0.00","","","0.00","0.00","93.61","0.00","","135.00","100.00","08/29/22","5763","CHRISTIAN LIFE ASSEMBLY OF GOD","F","0.00","0.00","0.00","08/17/22","10024","0.000","2.250"
"""10024.3""","""@32560 / CHRISTIAN LIFE ASSEMB""","1","0","0.00","33.19","30.87","","","0.00","64.06","1582.67","2370.06","0.00","","9513.00","0.00","13465.73","-13401.67","","","19609.03","31.33","05/31/22","5763","CHRISTIAN LIFE ASSEMBLY OF GOD","F","0.00","0.00","0.00","","","48.500","1.500"
"""10024.4""","""@33777 / CHRISTIAN LIFE ASSEMB""","1","1","8846.43","965.39","1065.64","","4486.00","0.00","15363.46","1705.23","2426.83","0.00","","11438.00","0.00","15570.06","-206.60","22371.63","31.33","22371.63","30.40","08/30/22","5763","CHRISTIAN LIFE ASSEMBLY OF GOD","F","0.00","0.00","0.00","08/17/22","10024","48.500","45.750"
"""10045.1""","""@31017 / LIFE STORAGE""","3","3","239.82","1114.08","2024.52","","","0.00","3378.42","302.28","2071.11","0.00","","600.00","0.00","2973.39","405.03","4447.05","24.03","4447.05","33.14","02/28/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","02/17/22","10045-2","36.990","52.250"
"""10045.10""","""@33082 / LIFE STORAGE""","3","3","1182.49","1079.42","1053.90","","","0.00","3315.81","1171.47","1464.87","0.00","","","0.00","2636.34","679.47","4557.51","27.25","4557.51","42.15","02/28/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","02/07/22","10045","34.500","57.250"
"""10045.11""","""@33722 / LIFE STORAGE""","1","1","0.00","0.00","0.00","","5120.00","0.00","5120.00","0.00","42.46","0.00","","2279.00","0.00","2321.46","2798.54","3053.85","-67.66","3053.85","23.98","05/26/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","05/25/22","10045-3","1.000",""
"""10045.12""","""@tm / LIFE STORAGE""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","325.00","100.00","325.00","100.00","05/26/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","05/25/22","10045-3","0.000",""
"""10045.6""","""@30718 / LIFE STORAGE""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","122.98","0.00","","","0.00","122.98","-122.98","200.00","100.00","200.00","38.51","02/17/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","02/17/22","10045-2","2.000",""
"""10045.7""","""@30719 / LIFE STORAGE""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","127.38","0.00","","","0.00","127.38","-127.38","200.00","100.00","200.00","36.31","05/26/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","05/25/22","10045-3","3.000",""
"""10045.8""","""@30714A / LIFE STORAGE""","1","1","228.54","96.00","178.57","","260.31","0.00","763.42","766.86","954.14","0.00","","2477.40","0.00","4198.40","-3434.98","6417.30","88.10","6417.30","34.58","05/26/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","05/25/22","10045-3","19.000","5.000"
"""10045.9""","""@30715A / LIFE STORAGE""","1","1","0.00","261.88","486.47","","","0.00","748.35","107.30","1343.32","0.00","","","0.00","1450.62","-702.27","2281.47","67.20","2281.47","36.42","05/26/22","5771","BLINK SIGNS","F","0.00","0.00","0.00","05/25/22","10045-3","24.000","13.000"
"""10131.13""","""@tm / CITY OF WINDSOR HEIGHTS""","1","0","0.00","56.25","52.31","","","0.00","108.56","0.00","0.00","0.00","","","0.00","0.00","108.56","","","0.00","","10/20/22","3488","ELDER CORPORATION","F","0.00","0.00","0.00","","","0.000","2.500"
"""10131.2""","""@30577 / CITY OF WINDSOR HEIGH""","1","1","798.29","521.63","594.55","","","0.00","1914.47","681.65","1517.06","0.00","","830.00","0.00","3028.71","-1114.24","4724.34","59.48","4724.34","35.89","02/28/22","3488","ELDER CORPORATION","F","0.00","0.00","0.00","02/28/22","10131-3","30.750","24.750"
