"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/17 - 12/31/17"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""65336""","""221-0330 5'-4 1/2"" X 20' HURRI""","1","1","1117.01","386.63","359.57","","","0.00","1863.21","1151.96","0.00","0.00","","","0.00","1151.96","711.25","","","0.00","","01/27/17","","","F","1684.05","0.00","0.00","","","0.000","24.000"
"""65370""","""221-0220 5'-4 1/2"" X 20' HURRI""","1","1","2700.55","493.69","459.18","","","0.00","3653.42","3160.07","0.00","0.00","","","0.00","3160.07","493.35","","","0.00","","01/27/17","","","F","3969.52","0.00","0.00","","","0.000","32.250"
"""65371""","""221-0200 5'-4 1/2"" X 20' STAND""","1","1","2670.45","576.64","536.29","","","0.00","3783.38","2787.81","772.00","0.00","","","0.00","3559.81","223.57","","","0.00","","03/28/17","","","F","3629.45","0.00","0.00","","","20.000","34.750"
"""65425""","""202-0500 8"" ANGLE IRON BRACKET""","1","84","61.20","88.00","81.84","","","0.00","231.04","1.02","0.23","0.00","","","0.00","1.25","229.79","","","0.00","","10/28/17","","","F","201.45","0.00","0.00","","","0.006","5.500"
"""65432""","""219-0155 ANGLE IRON MOUNTING B""","1","134","70.56","157.01","146.05","","","0.00","373.62","0.88","2.32","0.00","","","0.00","3.20","370.42","","","0.00","","02/09/17","","","F","308.56","0.00","0.00","","","0.060","9.750"
"""65439""","""219-1141 1/2"" x 8"" Top Plate""","1","55","0.00","0.00","0.00","","1480.21","0.00","1480.21","7.28","57.90","0.00","","","0.00","65.18","1415.03","","","0.00","","09/13/17","","","F","1382.70","0.00","0.00","","","1.500",""
"""65442""","""221-0190 STANDARD CAT SCALE SP""","1","1","451.98","166.50","154.89","","","0.00","773.37","400.63","308.80","0.00","","","0.00","709.43","63.94","","","0.00","","01/09/17","","","F","770.65","0.00","0.00","","","8.000","10.500"
"""65443""","""221-0190 STANDARD CAT SCALE SP""","1","1","443.58","136.50","126.98","","","0.00","707.06","400.63","308.80","0.00","","","0.00","709.43","-2.37","","","0.00","","01/18/17","","","F","770.65","0.00","0.00","","","8.000","9.250"
"""65444""","""221-0190 STANDARD CAT SCALE SP""","1","1","461.70","125.00","116.27","","","0.00","702.97","400.63","308.80","0.00","","","0.00","709.43","-6.46","","","0.00","","01/18/17","","","F","770.65","0.00","0.00","","","8.000","8.250"
"""65447""","""221-0200 5'-4 1/2"" X 20' STAND""","1","1","2669.04","525.90","489.11","","","0.00","3684.05","2787.81","772.00","0.00","","","0.00","3559.81","124.24","","","0.00","","01/27/17","","","F","3629.45","0.00","0.00","","","20.000","32.000"
"""65448""","""221-0200 5'-4 1/2"" X 20' STAND""","1","1","2670.45","543.64","505.62","","","0.00","3719.71","2787.81","772.00","0.00","","","0.00","3559.81","159.90","","","0.00","","01/18/17","","","F","3629.45","0.00","0.00","","","20.000","34.500"
"""65452""","""221-0300 5'-4 1/2"" X 20' STAND""","1","1","933.06","178.50","166.01","","","0.00","1277.57","943.33","308.80","0.00","","","0.00","1252.13","25.44","","","0.00","","01/18/17","","","F","1119.68","0.00","0.00","","","8.000","11.000"
"""65456""","""221-0300 5'-4 1/2"" X 20' STAND""","1","1","933.06","167.00","155.32","","","0.00","1255.38","943.33","308.80","0.00","","","0.00","1252.13","3.25","","","0.00","","01/27/17","","","F","1119.68","0.00","0.00","","","8.000","10.250"
"""65457""","""221-0200 5'-4 1/2"" X 20' STAND""","1","1","2669.83","478.09","444.64","","","0.00","3592.56","2787.81","772.00","0.00","","","0.00","3559.81","32.75","","","0.00","","01/27/17","","","F","3629.45","0.00","0.00","","","20.000","31.000"
"""65458""","""221-0200 5'-4 1/2"" X 20' STAND""","1","1","2671.24","474.78","441.58","","","0.00","3587.60","2787.81","772.00","0.00","","","0.00","3559.81","27.79","","","0.00","","01/27/17","","","F","3629.45","0.00","0.00","","","20.000","31.500"
