"15 FEB 2026","18:18:49","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/07 through 12/31/07",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"SC1194","12/31/07","SRVCE","2314","MAID-RITE","385.49","289.83","95.66","24.82","","","","","","","","DEFAULT","MAID-RITE","URBANDALE","IA",
"","","SRVCE","","Product Totals","385.49","289.83","95.66","24.82","0.00","",

"","","","","Salesperson  Totals","385.49","289.83","95.66","24.82","0.00","",

"1359","10/05/07","ALUM","2284","WASH ADVENTURES","375.99","201.73","174.26","46.35","","BOBR","","","","","","DEFAULT","WASH ADVENTURES","URBANDALE","IA",
"1470","12/27/07","ALUM","2318","BROWN  FAGEN & ROUSE","588.25","183.82","404.43","68.75","","BOBR","","","","","","DEFAULT","BROWN, FAGEN & ROUSE","DALLAS CENTER","IA",
"","","ALUM","","Product Totals","964.24","385.55","578.69","60.02","0.00","BOBR",

"1252","08/31/07","BANNER","2249","PAPA MURPHY'S PIZZA","93.75","75.00","18.75","20.00","","BOBR","","","","","","1","PAPA MURPHYÇS PIZZA","INDIANOLA","IA",
"1372","09/30/07","BANNER","2290","DOS RIOS","125.00","65.00","60.00","48.00","","BOBR","","","","","","DEFAULT","DOS RIOS","DES MOINES","IA",
"","","BANNER","","Product Totals","218.75","140.00","78.75","36.00","0.00","BOBR",

"1252","08/31/07","BLDG","2249","PAPA MURPHY'S PIZZA","4449.51","3856.33","593.18","13.33","","BOBR","","","","","","1","PAPA MURPHYÇS PIZZA","INDIANOLA","IA",
"1256","08/31/07","BLDG","2251","ADVANCED FOOT & ANKLE CLINIC","2824.00","1094.80","1729.20","61.23","","BOBR","","","","","","DEFAULT","ADVANCED FOOT & ANKLE CLINIC","DES MOINES","IA",
"1256","08/31/07","BLDG","2251","ADVANCED FOOT & ANKLE CLINIC","1439.00","372.77","1066.23","74.10","","BOBR","","","","","","DEFAULT","ADVANCED FOOT & ANKLE CLINIC","DES MOINES","IA",
"1304","10/31/07","BLDG","2268","QUALITY RESOURCE GROUP","8841.71","5389.19","3452.52","39.05","","BOBR","","","","","","DEFAULT","QUALITY RESOURCE GROUP","PLYMOUTH","MN",
"","","BLDG","","Product Totals","17554.22","10713.09","6841.13","38.97","0.00","BOBR",

"1244","11/06/07","CHANNL","2245","MASSAGE HEIGHTS","6636.56","4282.13","2354.43","35.48","","BOBR","","","","","","DEFAULT","MASSAGE HEIGHTS","WEST DES MOINES","IA",
"1363","10/20/07","CHANNL","2285","SIMPLY FOR GIGGLES","4145.20","2816.01","1329.19","32.07","","BOBR","","","","","","DEFAULT","SIMPLY FOR GIGGLES","WEST DES MOINES","IA",
"1364","11/20/07","CHANNL","115150","TONIC","4996.00","1929.51","3066.49","61.38","108.00","BOBR","","","","","","1","TONIC","ANKENY","IA",
"1445","11/29/07","CHANNL","2308","PAPA MURPHY'S PIZZA","5253.23","3201.06","2052.17","39.06","107.00","BOBR","","","","","","DEFAULT","PAPA MURPHYÇS PIZZA","BOONE","IA",
"1447","12/14/07","CHANNL","2310","CHIROPRACTIC IN MOTION","3782.48","1146.81","2635.67","69.68","83.33","BOBR","","","","","","DEFAULT","CHIROPRACTIC IN MOTION","WEST DES MOINES","IA",
"1482","12/19/07","CHANNL","2322","PAPA MURPHY'S PIZZA","5647.27","3857.92","1789.35","31.69","53.54","BOBR","","","","","","DEFAULT","PAPA MURPHYÇS PIZZA","MARSHALLTOWN","IA",
"SC1107","09/11/07","CHANNL","2249","PAPA MURPHY'S PIZZA","0.00","218.50","-218.50","","","BOBR","","","","","","1","PAPA MURPHYÇS PIZZA","INDIANOLA","IA",
"","","CHANNL","","Product Totals","30460.74","17451.94","13008.80","42.71","351.87","BOBR",

"1391","10/31/07","DRCT","2290","DOS RIOS","993.25","114.45","878.80","88.48","","BOBR","","","","","","DEFAULT","DOS RIOS","DES MOINES","IA",
"","","DRCT","","Product Totals","993.25","114.45","878.80","88.48","0.00","BOBR",

"1305","11/05/07","INSTL","2269","LETTY'S BEAUTY SHOP","645.00","257.16","387.84","60.13","55.00","BOBR","","","","","","DEFAULT","LETTYÇS BEAUTY SHOP","DES MOINES","IA",
"1477","11/30/07","INSTL","2290","DOS RIOS","100.00","50.00","50.00","50.00","","BOBR","","","","","","DEFAULT","DOS RIOS","DES MOINES","IA",
"SC1180","11/13/07","INSTL","2245","MASSAGE HEIGHTS","104.00","0.00","104.00","100.00","","BOBR","","","","","","DEFAULT","MASSAGE HEIGHTS","WEST DES MOINES","IA",
"","","INSTL","","Product Totals","849.00","307.16","541.84","63.82","55.00","BOBR",

"1251","08/08/07","INT","120400","WALDINGER CORPORATION","1254.99","819.16","435.83","34.73","","BOBR","","","","","","DEFAULT","WALDINGER CORPORATION","Des Moines","IA",
"","","INT","","Product Totals","1254.99","819.16","435.83","34.73","0.00","BOBR",

"1359","10/05/07","MISC","2284","WASH ADVENTURES","365.57","239.50","126.07","34.49","","BOBR","","","","","","DEFAULT","WASH ADVENTURES","URBANDALE","IA",
"1372","09/30/07","MISC","2290","DOS RIOS","376.00","170.00","206.00","54.79","","BOBR","","","","","","DEFAULT","DOS RIOS","DES MOINES","IA",
"1421","11/15/07","MISC","2245","MASSAGE HEIGHTS","789.00","346.73","442.27","56.05","","BOBR","","","","","","DEFAULT","MASSAGE HEIGHTS","WEST DES MOINES","IA",
"1475","12/05/07","MISC","2290","DOS RIOS","621.17","424.00","197.17","31.74","","BOBR","","","","","","DEFAULT","DOS RIOS","DES MOINES","IA",
"1485","12/17/07","MISC","2310","CHIROPRACTIC IN MOTION","910.17","401.99","508.18","55.83","","BOBR","","","","","","DEFAULT","CHIROPRACTIC IN MOTION","WEST DES MOINES","IA",
"","","MISC","","Product Totals","3061.91","1582.22","1479.69","48.33","0.00","BOBR",

"1463","12/18/07","MONMNT","2313","HUNZIKER & ASSOCIATES","217.04","35.20","181.84","83.78","54.00","BOBR","","","","","","DEFAULT","HUNZIKER & ASSOCIATES","ANKENY","IA",
"1463","12/18/07","MONMNT","2313","HUNZIKER & ASSOCIATES","4103.95","2639.86","1464.09","35.68","","BOBR","","","","","","DEFAULT","HUNZIKER & ASSOCIATES","ANKENY","IA",
"","","MONMNT","","Product Totals","4320.99","2675.06","1645.93","38.09","54.00","BOBR",

"1306","09/25/07","NEON","2270","OTTUMWA TENT & AWNING","275.00","144.93","130.07","47.30","","BOBR","","","","","","DEFAULT","OTTUMWA TENT & AWNING","OTTUMWA","IA",
"1398","11/05/07","NEON","2270","OTTUMWA TENT & AWNING","148.14","62.01","86.13","58.14","","BOBR","","","","","","DEFAULT","OTTUMWA TENT & AWNING","OTTUMWA","IA",
"1438","12/18/07","NEON","2270","OTTUMWA TENT & AWNING","64.06","35.91","28.15","43.94","","BOBR","","","","","","DEFAULT","OTTUMWA TENT & AWNING","OTTUMWA","IA",
"","","NEON","","Product Totals","487.20","242.85","244.35","50.15","0.00","BOBR",

"1430","10/31/07","OUTS","2209","HUBBELL REALTY","780.00","409.30","370.70","47.53","","BOBR","","","","","","DEFAULT","HUBBELL REALTY","WEST DES MOINES","IA",
"","","OUTS","","Product Totals","780.00","409.30","370.70","47.53","0.00","BOBR",

"1224","08/17/07","PLCUT","2237","WILLOWIN THOROUGHBREDS","1237.59","1071.74","165.85","13.40","","BOBR","","","","","","1","JEFF BARKLEY RACING STABLES","ST CHARLES","IA",
"","","PLCUT","","Product Totals","1237.59","1071.74","165.85","13.40","0.00","BOBR",

"1220","07/19/07","PRMT","2235","PLATINUM MOTORS","200.00","102.00","98.00","49.00","","BOBR","","","","","","1","SHELLY ROSE ESTATES","DES MOINES","IA",
"1244","11/06/07","PRMT","2245","MASSAGE HEIGHTS","169.90","169.90","0.00","0.00","","BOBR","","","","","","DEFAULT","MASSAGE HEIGHTS","WEST DES MOINES","IA",
