Code,Description
250ML,250 milliliters
BG,BAGS
BND,BUNDLE
BX,BOXES
CAN,CAN
CBFT,Cubic Feet
CS,CASES
EA,EACH
FT,FEET
GL,GALLONS
GR,GROSS
IN,INCH
LB,POUNDS
LF,LINEAR FEET
LITER,LITER
LT,LOT
LYD,LINEAR YARD
M,THOUSANDS
ML,MILLILITER
MT,METRIC TON
OZ,OUNCES
PC,PIECES
PL,PALLET
PT,PINTS
QT,QUARTS
RL,ROLL
SET,SET
SF,SQUARE FEET
SH,SHEETS
SK,SKID
TUBE,TUBE
YD,YARD
