"15 FEB 2026","18:19:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/09 through 12/31/09",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"SC1724","08/21/09","01","2599","GENERAL CONSTRUCTION SERVICES  INC.","0.00","65.10","-65.10","","","","","","","","","1","PRETZELMAKER","WEST DES MOINES","IA",
"","","01","","Product Totals","0.00","65.10","-65.10","","0.00","",

"2255","05/11/09","MISC","49300","GIT N GO CONVENIENCE STORES","971.10","701.50","269.60","27.76","","BRIANT","","","","","","20","GIT N GO","DES MOINES","IA",
"2459","09/30/09","MISC","77950","NAGLE SIGNS  INC.","1436.18","954.10","482.08","33.57","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","MISC","","Product Totals","2407.28","1655.60","751.68","31.23","0.00","",

"2607","11/30/09","NEON","77950","NAGLE SIGNS  INC.","18.72","14.75","3.97","21.21","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"2607","11/30/09","NEON","77950","NAGLE SIGNS  INC.","61.60","61.56","0.04","0.06","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","NEON","","Product Totals","80.32","76.31","4.01","4.99","0.00","",

"2255","05/11/09","PYLON","49300","GIT N GO CONVENIENCE STORES","1358.93","922.87","436.06","32.09","","BRIANT","","","","","","20","GIT N GO","DES MOINES","IA",
"","","PYLON","","Product Totals","1358.93","922.87","436.06","32.09","0.00","",

"2507","12/30/09","REPFCE","77950","NAGLE SIGNS  INC.","32438.19","27873.93","4564.26","14.07","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","REPFCE","","Product Totals","32438.19","27873.93","4564.26","14.07","0.00","",

"SC1576","02/27/09","SRVCE","2525","BIJOU ENTERTAINMENT","822.00","497.93","324.07","39.42","","","","","","","","1","SUPER SAVER CINEMAS","OSCEOLA","IA",
"SC1605","03/06/09","SRVCE","2541","SBARRO","453.74","263.73","190.01","41.88","","","","","","","","DEFAULT","SBARRO","WEST DES MOINES","IA",
"SC1609","03/30/09","SRVCE","2231","SUPER WASH","359.23","287.38","71.85","20.00","","","","","","","","DEFAULT","SUPER WASH","IOWA FALLS","IA",
"SC1621","03/25/09","SRVCE","12410","BMW MERCEDES-BENZ OF DES MOINES","247.26","113.87","133.39","53.95","1.00","","","","","","","DEFAULT","BMW MERCEDES-BENZ OF DES MOINES","URBANDALE","IA",
"SC1628","04/30/09","SRVCE","2266","CARTRIDGE WORLD","361.50","328.88","32.62","9.02","","","","","","","","DEFAULT","CARTRIDGE WORLD","WEST DES MOINES","IA",
"","","SRVCE","","Product Totals","2243.73","1491.79","751.94","33.51","1.00","",

"SC1622","03/25/09","SURVEY","12410","BMW MERCEDES-BENZ OF DES MOINES","0.00","121.80","-121.80","","","","","","","","","DEFAULT","BMW MERCEDES-BENZ OF DES MOINES","URBANDALE","IA",
"","","SURVEY","","Product Totals","0.00","121.80","-121.80","","0.00","",

"","","","","Salesperson  Totals","38528.45","32207.40","6321.05","16.41","1.00","",

"SC1281","10/31/09","SRVCE","55400","HUNZIKER & ASSOC.","0.00","0.00","0.00","","","BOBR","","","","","","DEFAULT","HUNZIKER & ASSOC.","Ames","IA",
"","","SRVCE","","Product Totals","0.00","0.00","0.00","","0.00","BOBR",

"","","","","Salesperson BOBR Totals","0.00","0.00","0.00","","0.00","BOBR",

"SC1687","06/30/09","01","110100","TACO JOHN'S OF IOWA","0.00","43.40","-43.40","","","BRIANT","","","","","","3","TACO JOHN´S","DES MOINES","IA",
"SC1711","07/31/09","01","110100","TACO JOHN'S OF IOWA","0.00","141.06","-141.06","","","BRIANT","","","","","","9","TACO JOHN´S","DES MOINES","IA",
"","","01","","Product Totals","0.00","184.46","-184.46","","0.00","BRIANT",

"2343","07/08/09","ALUM","2617","ECONO LODGE","1530.51","1110.92","419.59","27.42","","BRIANT","","","","","","DEFAULT","ECONO LODGE","WALNUT","IA",
"2469","09/23/09","ALUM","2675","THE Q BARBEQUE RESTAURANT & BAR","2526.52","974.45","1552.07","61.43","","BRIANT","","","","","","DEFAULT","THE Q BARBEQUE RESTAURANT & BAR","WEST DES MOINES","IA",
"","","ALUM","","Product Totals","4057.03","2085.37","1971.66","48.60","0.00","BRIANT",

"2066","02/19/09","AWNING","2492","TACO JOHN'S","1225.00","1414.44","-189.44","-15.46","","BRIANT","","","","","","DEFAULT","TACO JOHN´S","FOREST LAKE","MN",
"2066","02/19/09","AWNING","2492","TACO JOHN'S","2656.00","1599.87","1056.13","39.76","","BRIANT","","","","","","DEFAULT","TACO JOHN´S","FOREST LAKE","MN",
"2126","02/11/09","AWNING","2514","SUBWAY","4127.56","2204.46","1923.10","46.59","142.50","BRIANT","","","","","","DEFAULT","SUBWAY","BOONE","IA",
"2152","04/10/09","AWNING","2315","TWIN CITY TACO JOHN'S  INC.","2656.00","1786.86","869.14","32.72","","BRIANT","","","","","","3","TACO JOHN´S","HUTCHINSON","MN",
"2195","03/31/09","AWNING","2549","BILLY MACK'S CONEY SHAK","2720.87","880.61","1840.26","67.63","","BRIANT","","","","","","DEFAULT","BILLY MACK´S CONEY SHAK","DES MOINES","IA",
"2197","04/10/09","AWNING","5700","AMES RACQUET & FITNESS CENTER","1988.16","0.00","1988.16","100.00","","BRIANT","","","","","","DEFAULT","AMES RACQUET & FITNESS CENTER","Ames","IA",
"2214","05/13/09","AWNING","84200","PANCHERO'S MEXICAN GRILL","3318.37","1362.16","1956.21","58.95","63.00","BRIANT","","","","","","1","PANCHERO´S MEXICAN GRILL","ANKENY","IA",
"2281","05/29/09","AWNING","2579","FLEUR HEIGHTS CARE CENTER","3500.00","2519.91","980.09","28.00","175.60","BRIANT","","","","","","DEFAULT","FLEUR HEIGHTS CARE CENTER","DES MOINES","IA",
"2282","06/19/09","AWNING","2580","NEWTON HEALTHCARE","2576.23","2087.24","488.99","18.98","","BRIANT","","","","","","DEFAULT","NEWTON HEALTHCARE","NEWTON","IA",
"2340","07/31/09","AWNING","2614","SHEFCHIK BUILDERS","698.58","695.84","2.74","0.39","157.50","BRIANT","","","","","","DEFAULT","TACO JOHNS","LAKE HALLIE","WI",
"2373","08/12/09","AWNING","2315","TWIN CITY TACO JOHN'S  INC.","968.55","293.16","675.39","69.73","","BRIANT","","","","","","4","TACO JOHN´S","St. Paul","MN",
"2374","08/12/09","AWNING","2315","TWIN CITY TACO JOHN'S  INC.","1113.15","280.63","832.52","74.79","","BRIANT","","","","","","5","TACO JOHN´S","WHITE BEAR LAKE","MN",
"2450","10/30/09","AWNING","2664","CHRISTIAN OPPORTUNITY CENTER","4492.00","3774.80","717.20","15.97","25.00","BRIANT","","","","","","DEFAULT","CHRISTIAN OPPORTUNITY CENTER","INDIANOLA","IA",
"2474","10/13/09","AWNING","84200","PANCHERO'S MEXICAN GRILL","2601.63","1858.96","742.67","28.55","129.40","BRIANT","","","","","","2","PANCHERO´S MEXICAN GRILL","CEDAR RAPIDS","IA",
"2474","10/13/09","AWNING","84200","PANCHERO'S MEXICAN GRILL","550.91","505.96","44.95","8.16","","BRIANT","","","","","","2","PANCHERO´S MEXICAN GRILL","CEDAR RAPIDS","IA",
"2515","10/26/09","AWNING","2640","MCCLURE ENGINEERING COMPANY","1473.25","663.20","810.05","54.98","","BRIANT","","","","","","1","CHUCK´S FAMILY HAIR CARE","PANORA","IA",
"2524","11/10/09","AWNING","2696","FLORIST DISTRIBUTING INC.","1389.43","643.36","746.07","53.70","50.00","BRIANT","","","","","","DEFAULT","FLORIST DISTRIBUTING INC.","DES MOINES","IA",
"2551","12/31/09","AWNING","2706","PAM NEFF","3369.18","3664.23","-295.05","-8.76","","BRIANT","","","","","","1","CLIVE LASER WASH","CLIVE","IA",
"","","AWNING","","Product Totals","41424.87","26235.69","15189.18","36.67","743.00","BRIANT",

"2156","02/27/09","BANNER","2525","BIJOU ENTERTAINMENT","584.70","200.00","384.70","65.79","","BRIANT","","","","","","1","SUPER SAVER CINEMAS","OSCEOLA","IA",
"2313","07/10/09","BANNER","2602","ANKENY AREA CHAMBER OF COMMERCE","0.00","150.18","-150.18","","","BRIANT","","","","","","DEFAULT","ANKENY AREA CHAMBER OF COMMERCE","ANKENY","IA",
"","","BANNER","","Product Totals","584.70","350.18","234.52","40.11","0.00","BRIANT",

