"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/24 - 12/31/24"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""11185.5""","""@35955 / SMITTY´S TENDERLOINS""","1","1","13364.44","855.00","1547.06","","","0.00","15766.50","58.00","1800.77","0.00","","11320.00","0.00","13178.77","2587.73","18480.81","14.69","18480.81","28.69","02/29/24","2993","SMITTY'S TENDERLOINS","F","0.00","0.00","0.00","02/29/24","11185","25.000","42.750"
"""11244.7""","""@electrical / CHAMPION XPRESS""","1","1","22.68","0.00","0.00","","","1.59","24.27","0.00","0.00","0.00","","","0.00","0.00","24.27","242.16","89.98","242.16","100.00","01/11/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","01/03/24","11244-5","0.000",""
"""11310.1""","""@35708 / CHAMPION XPRESS CARWA""","1","0","0.00","0.00","0.00","","","0.00","0.00","63.09","1148.47","0.00","","9312.90","0.00","10524.46","-10524.46","","","13913.20","24.36","01/18/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","","","15.500","1.500"
"""11310.2""","""@35638 / CHAMPION XPRESS CARWA""","1","1","0.00","236.25","438.22","","","0.00","674.47","49.30","850.88","0.00","","","0.00","900.18","-225.71","1517.78","55.56","1517.78","40.69","04/11/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/10/24","11310","9.000","12.250"
"""11310.3""","""@35639 / CHAMPION XPRESS CARWA""","1","1","0.00","112.50","208.17","","","0.00","320.67","13.34","450.48","0.00","","","0.00","463.82","-143.15","765.49","58.11","765.49","39.41","04/11/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/10/24","11310","5.500","6.250"
"""11310.4""","""@35640 / CHAMPION XPRESS CARWA""","1","1","0.00","132.00","245.52","","","0.00","377.52","0.00","679.28","0.00","","","0.00","679.28","-301.76","1049.29","64.02","1049.29","35.26","06/12/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","06/12/24","11310-2","12.000","5.500"
"""11310.5""","""@35641 / CHAMPION XPRESS CARWA""","1","1","0.00","23.50","21.86","","","0.00","45.36","0.00","0.00","0.00","","","0.00","0.00","45.36","0.00","","150.00","100.00","04/11/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","04/10/24","11310","0.000","1.000"
"""11310.6""","""@36846 / CHAMPION XPRESS CARWA""","1","1","941.85","340.88","585.81","","2767.00","65.93","4701.47","605.60","1378.87","0.00","","2767.00","0.00","4751.47","-50.00","7226.59","34.94","7226.59","34.25","06/12/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","06/12/24","11310-2","20.500","15.500"
"""11310.7""","""@TM / CHAMPION XPRESS CARWASH""","1","1","0.00","48.75","88.92","","","0.00","137.67","0.00","0.00","0.00","","","0.00","0.00","137.67","212.50","35.21","212.50","100.00","06/12/24","3461","AURORA SIGN CO.","F","0.00","0.00","0.00","06/12/24","11310-2","0.000","2.500"
"""11312.1""","""@35663 / CITY OF URBANDALE""","1","1","1254.34","1931.69","2078.07","","","0.00","5264.10","1860.44","2413.06","0.00","","","0.00","4273.50","990.60","7597.96","30.72","7597.96","43.75","02/18/24","3154","EDGE COMMERCIAL","F","0.00","0.00","0.00","02/13/24","11312","48.000","81.250"
"""11312.2""","""@35665 / CITY OF URBANDALE""","1","1","784.18","261.50","280.33","","","0.00","1326.01","790.38","3051.44","0.00","","78.00","0.00","3919.82","-2593.81","6964.07","80.96","6964.07","43.71","02/18/24","3154","EDGE COMMERCIAL","F","0.00","0.00","0.00","02/13/24","11312","61.000","11.250"
"""11312.3""","""@35664 / CITY OF URBANDALE""","1","1","699.95","59.75","89.75","","","0.00","849.45","919.98","1560.43","0.00","","","0.00","2480.41","-1630.96","4386.25","80.63","4386.25","43.45","02/18/24","3154","EDGE COMMERCIAL","F","0.00","0.00","0.00","02/13/24","11312","30.000","2.750"
"""11313.2""","""@35655 / CITY OF URBANDALE""","2","2","4065.37","2103.99","2433.43","","","0.00","8602.79","2868.44","4364.29","0.00","","","0.00","7232.73","1370.06","12502.78","31.19","12502.78","42.15","08/29/24","3154","EDGE COMMERCIAL","F","0.00","0.00","0.00","08/26/24","11313-2","87.000","94.250"
"""11313.3""","""@35654A / CITY OF URBANDALE""","1","1","898.21","859.89","799.70","","","0.00","2557.80","1296.59","2184.25","0.00","","131.38","0.00","3612.22","-1054.42","3797.00","32.64","6396.68","43.53","05/31/24","3154","EDGE COMMERCIAL","F","0.00","0.00","0.00","05/27/24","11313","46.000","35.000"
"""11313.4""","""@36304 / CITY OF URBANDALE""","1","1","2220.97","959.94","909.87","","","0.00","4090.78","1526.64","2401.37","0.00","","131.38","0.00","4059.39","31.39","7054.75","42.01","7054.75","42.46","08/29/24","3154","EDGE COMMERCIAL","F","0.00","0.00","0.00","08/26/24","11313-2","51.000","41.750"
"""11313.5""","""@35654C / CITY OF URBANDALE""","1","1","1461.17","846.88","832.47","","","0.00","3140.52","1372.79","2184.25","0.00","","131.38","0.00","3688.42","-547.90","6534.60","51.94","6534.60","43.56","08/29/24","3154","EDGE COMMERCIAL","F","0.00","0.00","0.00","08/26/24","11313-2","46.000","36.250"
"""11357.1""","""@35981 / MINI - BLAIR IMAGE EL""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","150.00","100.00","150.00","100.00","05/08/24","2883","BLAIR IMAGE ELEMENTS","F","0.00","0.00","0.00","05/07/24","11357","0.000",""
"""11359.1""","""@35982 / MINI - BLAIR IMAGE EL""","1","1","0.00","669.75","1242.87","","","0.00","1912.62","35.96","794.18","0.00","","","0.00","830.14","1082.48","1401.73","-36.45","1401.73","40.78","05/31/24","2883","BLAIR IMAGE ELEMENTS","F","0.00","0.00","0.00","05/29/24","11359","8.000","35.000"
"""11359.2""","""@35983 / MINI - BLAIR IMAGE EL""","1","1","0.00","162.00","301.32","","","0.00","463.32","12.76","565.38","0.00","","","0.00","578.14","-114.82","968.49","52.16","968.49","40.31","05/31/24","2883","BLAIR IMAGE ELEMENTS","F","0.00","0.00","0.00","05/29/24","11359","6.000","9.000"
"""11359.3""","""@35984 / MINI - BLAIR IMAGE EL""","1","1","0.81","207.00","384.48","","","0.00","592.29","21.46","508.18","0.00","","","0.00","529.64","62.65","886.43","33.18","886.43","40.25","05/31/24","2883","BLAIR IMAGE ELEMENTS","F","0.00","0.00","0.00","05/29/24","11359","5.500","11.500"
