"15 FEB 2026","18:19:03","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/08 through 12/31/08",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"1910","08/25/08","01","77950","NAGLE SIGNS  INC.","665.00","642.76","22.24","3.34","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"1910","08/25/08","01","77950","NAGLE SIGNS  INC.","545.00","492.52","52.48","9.63","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","01","","Product Totals","1210.00","1135.28","74.72","6.18","0.00","",

"1528","01/30/08","ALUM","52800","HEART OF AMERICA RESTAURANTS &","1094.00","263.08","830.92","75.95","","","","","","","","DEFAULT","Holiday Inn & Suites / JohnnyÇs Italian Steakhouse","West Des Moines","IA",
"1528","01/30/08","ALUM","52800","HEART OF AMERICA RESTAURANTS &","665.00","143.20","521.80","78.47","","","","","","","","DEFAULT","Holiday Inn & Suites / JohnnyÇs Italian Steakhouse","West Des Moines","IA",
"1528","01/30/08","ALUM","52800","HEART OF AMERICA RESTAURANTS &","2188.00","596.97","1591.03","72.72","","","","","","","","DEFAULT","Holiday Inn & Suites / JohnnyÇs Italian Steakhouse","West Des Moines","IA",
"1528","01/30/08","ALUM","52800","HEART OF AMERICA RESTAURANTS &","1330.00","296.18","1033.82","77.73","","","","","","","","DEFAULT","Holiday Inn & Suites / JohnnyÇs Italian Steakhouse","West Des Moines","IA",
"","","ALUM","","Product Totals","5277.00","1299.43","3977.57","75.38","0.00","",

"1527-1","02/29/08","BLDG","8800","BALL CONSTRUCTION SERVICES","28000.00","0.00","28000.00","100.00","","","","","","","","DEFAULT","BALL CONSTRUCTION SERVICES","West Des Moines","IA",
"1527CR","02/29/08","BLDG","8800","BALL CONSTRUCTION SERVICES","-28000.00","0.00","-28000.00","100.00","","","","","","","","DEFAULT","BALL CONSTRUCTION SERVICES","West Des Moines","IA",
"","","BLDG","","Product Totals","0.00","0.00","0.00","","0.00","",

"2090","12/08/08","INSTL","49300","GIT N GO CONVENIENCE STORES","1687.50","0.00","1687.50","100.00","","","","","","","","DEFAULT","GIT N GO CONVENIENCE STORES,","Des Moines","IA",
"SC1409","07/24/08","INSTL","77950","NAGLE SIGNS  INC.","532.00","447.66","84.34","15.85","","","","","","","","DEFAULT","Kum & Go","Des Moines","IA",
