"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/11"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1389.1""","""@2467 / RYKO MANUFACTURING""","1","","60.90","50.26","44.97","","","0.00","156.13","335.01","689.81","0.00","","","0.00","1024.82","-868.69","","","5040.00","79.67","03/07/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","156.13","","","16.250","18.500"
"""3373.1""","""@8485A / CITY OF DES MOINES""","18","","2104.90","109.50","114.75","","22345.48","0.00","24674.63","3151.12","6763.05","0.00","","11024.28","0.00","20938.45","3736.18","26532.00","7.00","26532.00","21.08","03/11/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","24674.63","04/04/12","3373","220.500","20.750"
"""3373.2""","""@8485B / CITY OF DES MOINES""","18","","407.08","1456.25","2382.75","","2247.31","0.00","6493.39","2803.50","9069.30","0.00","","3150.00","0.00","15022.80","-8529.41","21870.00","70.31","21870.00","31.31","04/14/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","6493.39","04/04/12","3373","153.000","300.750"
"""3373.3""","""@8869 / CITY OF DES MOINES""","18","","5537.69","2180.70","1962.66","","3952.77","0.00","13633.82","7326.92","4976.10","0.00","","3982.14","0.00","16285.16","-2651.34","27360.00","50.17","27360.00","40.48","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","13633.82","04/04/12","3373","162.000","214.250"
"""3373.4""","""@8486 / CITY OF DES MOINES""","3","","0.00","228.38","205.55","","0.00","0.00","433.93","511.51","1567.50","0.00","","8376.84","0.00","10455.85","-10021.92","11449.20","96.21","11449.20","8.68","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","433.93","08/31/13","3373-2","51.000","148.750"
"""3373.5""","""@8486B / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","51.24","0.00","51.24","430.80","982.65","0.00","","525.50","0.00","1938.95","-1887.71","2112.25","97.57","2112.25","8.20","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","51.24","08/31/13","3373-2","17.500","2.000"
"""3373.6""","""@8487 / CITY OF DES MOINES""","2","","0.00","141.75","127.58","","0.00","0.00","269.33","431.49","984.20","0.00","","7116.40","0.00","8532.09","-8262.76","12124.20","97.78","12124.20","29.63","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","269.33","08/31/13","3373-2","32.000","93.500"
"""3373.7""","""@8487B / CITY OF DES MOINES""","2","","0.00","0.00","0.00","","451.63","0.00","451.63","2000.52","2061.60","0.00","","1085.00","0.00","5147.12","-4695.49","6222.50","92.74","6222.50","17.28","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","451.63","08/31/13","3373-2","36.000",""
"""3376.1""","""@8872 / CITY OF JOHNSTON""","2","","69.70","0.00","0.00","","2248.36","0.00","2318.06","300.11","644.10","0.00","","1224.92","0.00","2169.13","148.93","2948.00","21.37","2948.00","26.42","05/31/11","3124","CITY OF JOHNSTON","C","0.00","0.00","2318.06","11/30/12","3376","21.000",""
"""3376.3""","""@8875 / CITY OF JOHNSTON""","2","","0.00","0.00","0.00","","93.60","0.00","93.60","861.59","1965.30","0.00","","1051.00","0.00","3877.89","-3784.29","4224.50","97.78","4969.90","21.97","05/31/11","3124","CITY OF JOHNSTON","C","0.00","0.00","93.60","11/30/12","3376","35.000",""
