"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/08"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1389.1""","""@2467 / RYKO MANUFACTURING""","1","","398.17","249.83","224.86","","","","0.00","872.86","335.01","689.81","0.00","","","","0.00","1024.82","-151.96","","","5040.00","79.67","03/07/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","872.86","","","16.250","18.500"
"""1859.1""","""@4147 / RYKO MANUFACTURING""","1","","1047.71","702.58","632.37","","","","0.00","2382.66","1872.11","1824.00","0.00","","","","0.00","3696.11","-1313.45","4918.00","51.55","6247.39","40.84","11/28/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","2382.66","06/23/09","1859","60.000","47.000"
"""1860.1""","""@4143 / RYKO MANUFACTURING""","1","","114.69","33.06","29.75","","","","0.00","177.50","99.61","121.60","0.00","","","","0.00","221.21","-43.71","354.00","49.86","384.36","42.45","11/28/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","177.50","06/10/09","1860","4.000","4.250"
"""2000.1""","""@4686 / RYKO MANUFACTURING""","1","","792.70","263.25","236.93","","","","0.00","1292.88","2170.49","1611.20","0.00","","25.00","","0.00","3806.69","-2513.81","5576.00","76.81","6775.74","43.82","12/05/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","1292.88","06/23/09","2000","53.000","63.000"
"""2043.1""","""@4622 / WINESTYLES""","1","","0.00","18.00","16.20","","0.00","","0.00","34.20","0.00","0.00","0.00","","491.92","","0.00","491.92","-457.72","615.00","94.44","615.00","20.01","12/18/08","2406","WINESTYLES","C","0.00","0.00","34.20","02/19/09","2043","0.000","3.500"
"""2043.2""","""@4660 / WINESTYLES""","1","","0.00","0.00","0.00","","589.69","","0.00","589.69","0.00","0.00","0.00","","575.00","","0.00","575.00","14.69","719.00","17.98","719.00","20.03","12/18/08","2406","WINESTYLES","C","0.00","0.00","589.69","02/19/09","2043","0.000",""
"""2043.3""","""@4669 / WINESTYLES""","1","","300.37","173.01","155.71","","","","0.00","629.09","425.37","699.20","0.00","","487.11","","0.00","1611.68","-982.59","2453.00","74.35","2452.73","34.29","12/18/08","2406","WINESTYLES","C","0.00","0.00","629.09","02/19/09","2043","23.000","10.000"
"""2047.1""","""@4626A / TACO JOHN´S""","1","","108.33","113.46","102.11","","","","0.00","323.90","112.12","136.80","0.00","","","","0.00","248.92","74.98","442.32","26.77","442.32","43.72","12/12/08","106910","TACO JOHN'S","C","0.00","0.00","323.90","01/30/09","2047","4.500","6.750"
"""2047.2""","""@4626B / TACO JOHN´S""","1","","73.89","117.96","106.17","","","","0.00","298.02","88.26","136.80","0.00","","","","0.00","225.06","72.96","396.42","24.82","396.42","43.23","12/12/08","106910","TACO JOHN'S","C","0.00","0.00","298.02","01/30/09","2047","4.500","7.000"
"""2047.3""","""@4627 / TACO JOHN´S""","1","","15.61","0.00","0.00","","0.00","","0.00","15.61","0.00","299.95","0.00","","","","0.00","299.95","-284.34","336.69","95.36","336.69","10.91","12/12/08","106910","TACO JOHN'S","C","0.00","0.00","15.61","01/30/09","2047","101.500",""
"""2048.1""","""@4807A / FAREWAY STORES, INC.""","1","","9136.34","2561.97","2305.85","","","","0.00","14004.16","12585.94","9237.35","0.00","","","","0.00","21823.29","-7819.13","33959.94","58.76","34939.75","37.54","12/16/08","42300","FAREWAY STORES, INC.","C","0.00","0.00","14004.16","01/29/09","2048","301.750","344.250"
"""2052.1""","""@Survey / CHARLEY'S GRILLED SU""","1","","0.00","0.00","0.00","","175.00","","0.00","175.00","0.00","0.00","0.00","","","","0.00","0.00","175.00","","","0.00","","11/13/08","21100","CHARLEY'S GRILLED SUBS","C","0.00","0.00","175.00","","","0.000",""
"""2052.2""","""@Banner / CHARLEY'S GRILLED SU""","1","","0.00","3.88","3.49","","166.47","","0.00","173.84","0.00","0.00","0.00","","","","0.00","0.00","173.84","","","0.00","","11/26/08","21100","CHARLEY'S GRILLED SUBS","C","0.00","0.00","173.84","","","0.000","0.250"
