"02-15-26","","","Eagle Sign Company","DIVISION 20","","DATE RANGE:  01/01/16 - 12/31/16","","","","","","","0099","","","","","","","0100","","","","","","","0200","","","","","","","0300","","","","","","","0400","","","","","","","0500","","","","","","","0600","","","","","","","0700","","","","","","","0800","","","","","","","5010","","","","","","","5190","","","","","","","5200","","","","","","","5300","","","","","","","5307","","","","","","","6000","","","","","","","6010","","","","","","","6020","","","","","","","6030","","","","","","","6040","","","","","","","6050","","","","","","","9820","","","","","ADJ"
"","","","","","","","","","","","","","PERMITTING","","","","","","","ART DEPARTMENT","","","","","","","FABRICATION","","","","","","","ELECTRICAL","","","","","","","PAINT","","","","","","","VINYL & GRAPHICS","","","","","","","INSTALLATION","","","","","","","SERVICE","","","","","","","TRAVEL","","","","","","","VEHICLE MAINTENANCE","","","","","","","SALES","","","","","","","JANITORIAL","","","","","","","OFFICE","","","","","","","Management Labor","","","","","","","VACATION PAY","","","","","","","PERSONAL/SICK PAY","","","","","","","MISC BENEFIT PAY","","","","","","","EMPLOYEE BONUS","","","","","","","HOLIDAY PAY","","","","","","","INDIRECT SHOP LABOR","","","","","","","Service Labor - Overtime","","","","","Adjust/Transfer"
"WO #","Due Date","Customer #","Customer Name","Job Location","Quote #","Description","Sign Type","Template Code","WO Status","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Act Dollars","","Tot Est Hrs","Tot Act Hrs","Tot Variance","Tot Est Dollars","Tot Act Dollars","Tot Variance"
"7537.1","08/02/16","4868","1515 MANAGEMENT COMPANY","CRESTON, IA","21866"," fabricate (1) 4´x8´x 1","BLDNON","","Acct Closed","","","","","","","","","0.500","0.000","0.500","15.92","0.00","15.92","","","","","","","","","","","","","","","","","","","","","","","2.250","2.750","-0.500","86.85","99.18","-12.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.750","2.750","0.000","102.77","99.18","3.59"
"7537.2","08/02/16","4868","1515 MANAGEMENT COMPANY","CRESTON, IA","21867"," install (1) 4´x8´x1","BLDNON","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.000","7.500","-1.500","380.40","345.37","35.03","","0.000","0.500","-0.500","0.00","23.43","-23.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.000","8.000","-2.000","380.40","368.80","11.60"
"7230.1","04/22/16","4802","5 BOROUGH BAGELS","CLIVE, IA","20852"," CHANNEL LETTERS--ALL LIGHTED  Fabricate and install (1) set of  letters with round 30"" logo at the left, ""5 BOROUGH BAGELS"" at 7-1","CLLIT","CL-RACEWAY","Acct Closed","","","","","","","","","1.000","1.250","-0.250","31.85","44.65","-12.80","","31.000","32.000","-1.000","1196.60","1031.77","164.83","","5.000","16.750","-11.750","193.00","403.86","-210.86","","3.000","1.250","1.750","115.80","42.23","73.57","","5.500","4.250","1.250","212.30","153.00","59.30","","5.000","4.000","1.000","514.80","174.46","340.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.250","-0.250","0.00","5.79","-5.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.500","59.750","-9.250","2264.35","1855.76","408.59"
"SC4500.1","07/22/16","4802","5 BOROUGH BAGELS","",""," Service call needed, "," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.000","-2.000","0.00","80.08","-80.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2.000","-2.000","0.00","80.08","-80.08"
"7109.1","01/13/16","4617","A+ COMMUNICATIONS & SECURITY","DES MOINES, IA","20660"," Furnish and install vehicle vinyl graphics for service van. Customer to schedule delivery of van to Eagle shop.","VINYL","","Acct Closed","","","","","","","","","1.000","1.250","-0.250","31.85","44.64","-12.79","","0.000","0.500","-0.500","0.00","18.10","-18.10","","","","","","","","","","","","","","","","10.000","10.250","-0.250","386.00","370.47","15.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.000","12.000","-1.000","417.85","433.21","-15.36"
"7488.1","07/10/16","4617","A+ COMMUNICATIONS & SECURITY","DES MOINES, IA","21886"," Furnish and install identical fleet vehicle vinyl graphics as previously done for same service van models. Customer to deliver vans to Eagle shop.","VINYL","","Acct Closed","","","","","","","","","2.000","1.250","0.750","63.69","44.64","19.05","","","","","","","","","","","","","","","","","","","","","","","20.000","15.750","4.250","772.00","568.76","203.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.000","17.000","5.000","835.69","613.40","222.29"
"7488.2","07/06/16","4617","A+ COMMUNICATIONS & SECURITY","",""," Provide 1 each 2"" and 3 1"," ","","Acct Closed","","","","","","","","","0.000","0.250","-0.250","0.00","8.94","-8.94","","","","","","","","","","","","","","","","","","","","","","","0.000","0.250","-0.250","0.00","8.94","-8.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.500","-0.500","0.00","17.88","-17.88"
"7772.1","11/18/16","4617","A+ COMMUNICATIONS & SECURITY","DES MOINES, IA","22495"," Furnish and install identical fleet vehicle vinyl graphics as previously done for same service van models. Customer to deliver vans to Eagle shop.","VINYL","","Acct Closed","","","","","","","","","2.000","0.000","2.000","63.69","0.00","63.69","","0.000","0.250","-0.250","0.00","9.05","-9.05","","","","","","","","","","","","","","","","20.000","13.250","6.750","772.00","478.82","293.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.000","13.500","8.500","835.69","487.87","347.82"
"7772.2","11/22/16","4617","A+ COMMUNICATIONS & SECURITY","",""," Cut, weed and mask in black vinyl for first surface application the following sets of numbers in both 2"" and 3"" sizes: 626, 628, 631 and 635. See samples. T&M."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.500","-0.500","0.00","17.99","-17.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.500","-0.500","0.00","17.99","-17.99"
"7450.1","06/22/16","4129","A-D DISTRIBUTING CO.","",""," Assist AD Dist. in repair of flag pole."," ","","Acct Closed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.250","-3.250","0.00","153.39","-153.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.250","-3.250","0.00","153.39","-153.39"
