"15 FEB 2026","18:20:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/13 through 12/31/13",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"4797","04/24/13","BANNER","38050","EAGLE SIGN CO.","0.00","76.50","-76.50","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"5120","10/31/13","BANNER","2209","HUBBELL REALTY","0.00","81.95","-81.95","","","","","","","","","DEFAULT","HUBBELL REALTY","WEST DES MOINES","IA",
"5120","10/31/13","BANNER","2209","HUBBELL REALTY","0.00","59.29","-59.29","","","","","","","","","DEFAULT","HUBBELL REALTY","WEST DES MOINES","IA",
"5120","10/31/13","BANNER","2209","HUBBELL REALTY","0.00","42.85","-42.85","","","","","","","","","DEFAULT","HUBBELL REALTY","WEST DES MOINES","IA",
"5120","10/31/13","BANNER","2209","HUBBELL REALTY","0.00","33.90","-33.90","","","","","","","","","DEFAULT","HUBBELL REALTY","WEST DES MOINES","IA",
"","","BANNER","","Product Totals","0.00","294.49","-294.49","","0.00","",

"SC3146","09/13/13","LIFTS","2625","MID-IOWA SERVICE CO. INC.","110.00","0.00","110.00","100.00","","","","","","","","DEFAULT","MID-IOWA SERVICE CO. INC.","ALTOONA","IA",
"","","LIFTS","","Product Totals","110.00","0.00","110.00","100.00","0.00","",

"4036-2","02/19/13","MISC","49300","GIT N GO CONVENIENCE STORES","1266.00","1649.84","-383.84","-30.32","","","","","","","","22","GIT N GO #19","DES MOINES","IA",
"4036-2","02/19/13","MISC","49300","GIT N GO CONVENIENCE STORES","3427.44","2821.38","606.06","17.68","","","","","","","","22","GIT N GO #19","DES MOINES","IA",
"4591","01/16/13","MISC","38050","EAGLE SIGN CO.","0.00","132.34","-132.34","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"4778","04/10/13","MISC","3692","RYAN PETERSON","130.00","65.00","65.00","50.00","","","","","","","","DEFAULT","RYAN PETERSON","WINDSOR HEIGHTS","IA",
"4799","04/12/13","MISC","3710","JOHN KELLY- EMPLOYEE","12.26","12.39","-0.13","-1.06","","","","","","","","DEFAULT","JOHN KELLY- EMPLOYEE","DES MOINES","IA",
"4802","04/25/13","MISC","3244","NEON SPECIALTIES","20.00","0.00","20.00","100.00","","","","","","","","DEFAULT","NEON SPECIALTIES","DES MOINES","IA",
"4929","07/24/13","MISC","3432","DAN REIS","73.47","73.47","0.00","0.00","","","","","","","","DEFAULT","DAN REIS","DES MOINES","IA",
"5044","08/12/13","MISC","2906","AMERICAN MARKING","75.00","36.19","38.81","51.75","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"5073","08/28/13","MISC","2906","AMERICAN MARKING","25.00","12.05","12.95","51.80","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"5120","10/31/13","MISC","2209","HUBBELL REALTY","0.00","56.53","-56.53","","","","","","","","","DEFAULT","HUBBELL REALTY","WEST DES MOINES","IA",
"5120","10/31/13","MISC","2209","HUBBELL REALTY","0.00","86.66","-86.66","","","","","","","","","DEFAULT","HUBBELL REALTY","WEST DES MOINES","IA",
"5203","10/23/13","MISC","77950","NAGLE SIGNS  INC.","415.05","328.93","86.12","20.75","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5265","11/19/13","MISC","2906","AMERICAN MARKING","78.40","44.80","33.60","42.86","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"5288","11/30/13","MISC","2906","AMERICAN MARKING","88.50","84.00","4.50","5.08","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"","","MISC","","Product Totals","5611.12","5403.58","207.54","3.70","0.00","",

"5116","10/23/13","NEON","3867","SCOTT BERTNESS","150.00","75.00","75.00","50.00","","","","","","","","DEFAULT","SCOTT BERTNESS","DES MOINES","IA",
"","","NEON","","Product Totals","150.00","75.00","75.00","50.00","0.00","",

"4036-2","02/19/13","PYLON","49300","GIT N GO CONVENIENCE STORES","6628.70","3645.80","2982.90","45.00","","","","","","","","22","GIT N GO #19","DES MOINES","IA",
"","","PYLON","","Product Totals","6628.70","3645.80","2982.90","45.00","0.00","",

"SC2759","05/16/13","SRVCE","3538","DONUT KING","0.00","0.00","0.00","","","","","","","","","DEFAULT","DONUT KING","WEST DES MOINES","IA",
"SC2817","02/11/13","SRVCE","3353","BUZZARD BILLY'S RESTAURANT","0.00","0.00","0.00","","","","","","","","","DEFAULT","BUZZARD BILLYÇS RESTAURANT","DES MOINES","IA",
"SC2908","03/19/13","SRVCE","16500","CAMPBELL'S NUTRITION","0.00","0.00","0.00","","","","","","","","","DEFAULT","CAMPBELL'S NUTRITION","Des Moines","IA",
"SC2939","05/16/13","SRVCE","3698","OTTUMWA COMMUNITY SCHOOL DISTRICT","0.00","114.40","-114.40","","","","","","","","","DEFAULT","OTTUMWA COMMUNITY SCHOOL DISTRICT","OTTUMWA","IA",
"SC2964","05/13/13","SRVCE","3717","HOUSBY","0.00","132.99","-132.99","","","","","","","","","DEFAULT","HOUSBY","DES MOINES","IA",
"SC2971","05/16/13","SRVCE","3722","EARL MAY","0.00","0.00","0.00","","","","","","","","","DEFAULT","EARL MAY","URBANDALE","IA",
"SC2975","05/15/13","SRVCE","3659","CHARLEY'S GOSH ENTERPRISES","0.00","74.16","-74.16","","","","","","","","","1","WATERFORD FOOD INC: CHARLEYÇS- GOSH ENT. INC.","ORLANDO","FL",
"SC2983","04/30/13","SRVCE","110100","TACO JOHN'S OF IOWA","0.00","71.52","-71.52","","","","","","","","","1","TACO JOHN'S","DES MOINES","IA",
"SC3087","07/26/13","SRVCE","3772","KPMG","0.00","32.18","-32.18","","","","","","","","","DEFAULT","KPMG","DES MOINES","IA",
"SC3130","09/04/13","SRVCE","3851","JEFF REDFORD","179.37","97.66","81.71","45.55","","","","","","","","DEFAULT","JEFF REDFORD","WEST DES MOINES","IA",
"SC3208","10/30/13","SRVCE","3920","ALVAREZ AUTO SALES & SERVICE","0.00","82.60","-82.60","","","","","","","","","DEFAULT","ALVAREZ AUTO SALES & SERVICE","NEW VIRGINA","IA",
"SC3213","11/13/13","SRVCE","84200","PANCHERO'S MEXICAN GRILL","0.00","75.08","-75.08","","","","","","","","","1","PANCHEROÇS MEXICAN GRILL","ANKENY","IA",
"SC3262","12/17/13","SRVCE","3344","FRONT STREET FS","0.00","0.00","0.00","","","","","","","","","5","ADVANCE AUTO PARTS - FRON","DES MOINES","IA",
"","","SRVCE","","Product Totals","179.37","680.59","-501.22","-279.43","0.00","",

"","","","","Salesperson  Totals","12679.19","10099.46","2579.73","20.35","0.00","",

"SC2577","10/31/13","SRVCE","2127","TACO JOHN'S","0.00","105.00","-105.00","","","BRIANT","","","","","","DEFAULT","TACO JOHNÇS","indianola","IA",
"","","SRVCE","","Product Totals","0.00","105.00","-105.00","","0.00","BRIANT",

"","","","","Salesperson BRIANT Totals","0.00","105.00","-105.00","","0.00","BRIANT",

"4988","07/27/13","01","115800","TRANS-LUX WEST","272.45","199.33","73.12","26.84","","HOUSE","","","","","","DEFAULT","TRANS-LUX WEST","Des Moines","IA",
"","","01","","Product Totals","272.45","199.33","73.12","26.84","0.00","HOUSE",

"4569","01/16/13","ALUM","3587","HINCH COMPANY","448.76","276.21","172.55","38.45","","HOUSE","","","","","","1","KUM & GO - HINCH","WEST DES MOINES","IA",
"","","ALUM","","Product Totals","448.76","276.21","172.55","38.45","0.00","HOUSE",

"5013","09/28/13","BLDG","77950","NAGLE SIGNS  INC.","4842.41","2913.92","1928.49","39.83","","HOUSE","","","","","","29","SHERWIN WILLIAMS","ANKENY","IA",
"","","BLDG","","Product Totals","4842.41","2913.92","1928.49","39.83","0.00","HOUSE",

"4582","01/22/13","CHANNL","77950","NAGLE SIGNS  INC.","6932.79","4472.09","2460.70","35.49","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","CHANNL","","Product Totals","6932.79","4472.09","2460.70","35.49","0.00","HOUSE",

"5057","08/31/13","DRCT","77950","NAGLE SIGNS  INC.","1919.84","1210.92","708.92","36.93","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","DRCT","","Product Totals","1919.84","1210.92","708.92","36.93","0.00","HOUSE",

"4574","01/07/13","INSTL","77950","NAGLE SIGNS  INC.","585.00","418.28","166.72","28.50","","HOUSE","","","","","","55","MILLS FLEET FARM","ANKENY","IA",
"5244","10/31/13","INSTL","77950","NAGLE SIGNS  INC.","150.00","144.12","5.88","3.92","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5244","10/31/13","INSTL","77950","NAGLE SIGNS  INC.","12.50","0.00","12.50","100.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5244","10/31/13","INSTL","77950","NAGLE SIGNS  INC.","725.00","709.33","15.67","2.16","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5244","10/31/13","INSTL","77950","NAGLE SIGNS  INC.","87.50","11.10","76.40","87.31","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5244","10/31/13","INSTL","77950","NAGLE SIGNS  INC.","125.00","11.10","113.90","91.12","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5244","10/31/13","INSTL","77950","NAGLE SIGNS  INC.","150.00","232.75","-82.75","-55.17","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5244","10/31/13","INSTL","77950","NAGLE SIGNS  INC.","575.00","498.73","76.27","13.26","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","INSTL","","Product Totals","2410.00","2025.41","384.59","15.96","0.00","HOUSE",

"4997","07/24/13","LIFTS","3819","BOB OLIVER HEATING & COOLING","110.00","51.48","58.52","53.20","","HOUSE","","","","","","DEFAULT","BOB OLIVER HEATING & COOLING","DES MOINES","IA",
"","","LIFTS","","Product Totals","110.00","51.48","58.52","53.20","0.00","HOUSE",

"4371","02/18/13","MISC","38050","EAGLE SIGN CO.","0.00","3886.79","-3886.79","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"4584","01/09/13","MISC","77950","NAGLE SIGNS  INC.","1065.00","783.36","281.64","26.45","","HOUSE","","","","","","49","KUM & GO","WINTERSET","IA",
"4593","01/14/13","MISC","77950","NAGLE SIGNS  INC.","142.73","151.40","-8.67","-6.07","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4593","01/14/13","MISC","77950","NAGLE SIGNS  INC.","371.98","285.58","86.40","23.23","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4593","01/14/13","MISC","77950","NAGLE SIGNS  INC.","294.75","223.80","70.95","24.07","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4593","01/14/13","MISC","77950","NAGLE SIGNS  INC.","313.03","238.42","74.61","23.83","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4593","01/14/13","MISC","77950","NAGLE SIGNS  INC.","192.00","141.60","50.40","26.25","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4593","01/14/13","MISC","77950","NAGLE SIGNS  INC.","159.00","115.20","43.80","27.55","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4593","01/14/13","MISC","77950","NAGLE SIGNS  INC.","1536.00","1216.80","319.20","20.78","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4598","01/22/13","MISC","77950","NAGLE SIGNS  INC.","859.66","594.74","264.92","30.82","","HOUSE","","","","","","49","KUM & GO","WINTERSET","IA",
"4604","01/22/13","MISC","2906","AMERICAN MARKING","340.72","179.64","161.08","47.28","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"4605","02/28/13","MISC","77950","NAGLE SIGNS  INC.","11510.15","6817.46","4692.69","40.77","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4605-1","02/28/13","MISC","77950","NAGLE SIGNS  INC.","5429.85","3215.51","2214.34","40.78","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4605-2","04/30/13","MISC","77950","NAGLE SIGNS  INC.","25000.00","14100.96","10899.04","43.60","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4629","01/29/13","MISC","77950","NAGLE SIGNS  INC.","300.00","205.49","94.51","31.50","","HOUSE","","","","","","50","KUM &GO","WAUKEE","IA",
"4631","01/21/13","MISC","77950","NAGLE SIGNS  INC.","36.00","28.76","7.24","20.11","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4632","02/08/13","MISC","77950","NAGLE SIGNS  INC.","1444.53","762.47","682.06","47.22","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4633","02/08/13","MISC","77950","NAGLE SIGNS  INC.","722.26","583.94","138.32","19.15","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4634","02/15/13","MISC","77950","NAGLE SIGNS  INC.","1853.10","1188.08","665.02","35.89","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4635","02/15/13","MISC","77950","NAGLE SIGNS  INC.","850.24","948.71","-98.47","-11.58","114.95","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4639","01/31/13","MISC","77950","NAGLE SIGNS  INC.","574.44","381.40","193.04","33.60","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4647","01/31/13","MISC","77950","NAGLE SIGNS  INC.","166.43","139.55","26.88","16.15","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4647","01/31/13","MISC","77950","NAGLE SIGNS  INC.","246.50","203.61","42.89","17.40","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4647","01/31/13","MISC","77950","NAGLE SIGNS  INC.","321.50","263.61","57.89","18.01","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"4649","01/29/13","MISC","3128","PREMIER ELECTRIC OF IOWA LLC","186.93","93.47","93.46","50.00","","HOUSE","","","","","","DEFAULT","PREMIER ELECTRIC OF IOWA LLC","JOHNSTON","IA",
"4655","01/31/13","MISC","3624","AAFES","29.40","15.77","13.63","46.36","7.19","HOUSE","","","","","","DEFAULT","AAFES","SAN ANTONIO","TX",
"4662","02/11/13","MISC","2906","AMERICAN MARKING","39.50","21.24","18.26","46.23","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
