"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/07 - 12/31/07"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1000.1""","""@panforming / NAGLE SIGNS, INC""","1","1","282.35","107.33","196.42","","","","0.00","586.10","0.00","0.00","0.00","","","","0.00","0.00","586.10","273.00","-114.69","273.00","100.00","06/30/07","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","05/31/07","1000","0.000","9.000"
"""1001.1""","""@panforming / NAGLE SIGNS, INC""","1","1","177.02","77.64","142.08","","","","0.00","396.74","0.00","0.00","0.00","","","","0.00","0.00","396.74","490.50","19.12","0.00","","05/31/07","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","05/31/07","1001","0.000","5.250"
"""1002.1""","""@panforming / NAGLE SIGNS, INC""","1","1","196.69","44.33","81.13","","","","0.00","322.15","0.00","0.00","0.00","","","","0.00","0.00","322.15","547.00","41.11","0.00","","05/31/07","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","05/09/07","1002","0.000","3.000"
"""1003.1""","""@1000 / SALAD CREATIONS""","1","1","976.26","479.08","876.72","","3925.72","223.64","0.00","6481.42","0.00","0.00","0.00","","","","0.00","0.00","6481.42","8184.00","20.80","8184.00","100.00","09/25/07","2101","SALAD CREATIONS","F","0.00","0.00","0.00","09/25/07","1003","0.000","36.000"
"""1005.1""","""@banner / KERKHOFF CHIROPRACTI""","1","1","0.00","0.00","0.00","","75.00","","0.00","75.00","0.00","0.00","0.00","","","","0.00","0.00","75.00","150.00","50.00","150.00","100.00","05/31/07","63200","KERKHOFF CHIROPRACTIC","F","0.00","0.00","0.00","05/30/07","1005","0.000",""
"""1007.1""","""@1053 / MICROTEL INN & STES""","1","1","0.00","0.00","0.00","","1551.50","","0.00","1551.50","0.00","1205.15","0.00","","30.00","","0.00","1235.15","316.35","1450.00","-7.00","1450.00","14.82","06/15/07","74550","MICROTEL INN & STES","F","0.00","0.00","0.00","05/31/07","1007","200.330",""
"""1008.1""","""1008.1 / Fabricate (1) 21.25""""","1","1","399.02","344.70","630.82","","","","0.00","1374.54","0.00","0.00","0.00","","","","0.00","0.00","1374.54","748.00","-83.76","748.00","100.00","06/30/07","95950","NATIONAL CARWASH SOLUTIONS","F","0.00","0.00","0.00","05/31/07","1008","0.000","27.750"
"""1009.1""","""@1036 / FIRST REALTY GMAC REAL""","1","1","2975.21","2275.79","4227.27","","","","0.00","9478.27","2387.74","9211.65","0.00","","","","0.00","11599.39","-2121.12","14453.00","34.42","14377.39","19.32","08/23/07","2114","FIRST REALTY GMAC REAL ESTATE","F","0.00","0.00","0.00","08/17/07","1009","217.000","166.500"
"""1009.2""","""@1037 / FIRST REALTY GMAC REAL""","1","1","0.00","22.80","50.16","","3504.00","","0.00","3576.96","0.00","4134.40","0.00","","","","0.00","4134.40","-557.44","4516.00","20.79","4516.00","8.45","08/23/07","2114","FIRST REALTY GMAC REAL ESTATE","F","0.00","0.00","0.00","08/17/07","1009","38.000","2.000"
"""1009.3""","""@tenant / FIRST REALTY GMAC RE""","1","1","269.32","564.98","1097.97","","","","0.00","1932.27","0.00","0.00","0.00","","","","0.00","0.00","1932.27","680.00","-184.16","680.00","100.00","08/23/07","2114","FIRST REALTY GMAC REAL ESTATE","F","0.00","0.00","0.00","08/17/07","1009","0.000","41.000"
