"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/08 - 12/31/08"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1237.1""","""@KUM&GO / NAGLE SIGNS, INC.""","25","25","24556.33","11382.31","20845.23","","","","0.00","56783.87","0.00","0.00","0.00","","","","0.00","0.00","56783.87","73300.00","22.53","73300.00","100.00","02/29/08","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","02/29/08","1237","0.000","869.000"
"""1243.1""","""@1429 / HOLIDAY INN & SUITES/J""","1","1","1741.68","2438.79","4541.11","","1098.00","","0.00","9819.58","2498.84","5324.00","0.00","","50.00","","0.00","7872.84","1946.74","8724.00","-12.56","8724.00","9.76","03/18/08","52800","HEART OF AMERICA RESTAURANTS &","F","0.00","0.00","0.00","02/11/08","1243","116.000","163.000"
"""1243.2""","""@1497 / HOLIDAY INN & SUITES/J""","1","1","2673.28","2476.40","4531.88","","","","0.00","9681.56","3201.59","6498.00","0.00","","50.00","","0.00","9749.59","-68.03","9961.00","2.81","11642.72","16.26","03/18/08","52800","HEART OF AMERICA RESTAURANTS &","F","0.00","0.00","0.00","02/11/08","1243","144.000","155.000"
"""1250.1""","""@1017 / THE MEMBERS GROUP""","1","1","0.00","637.75","1378.72","","668.70","","0.00","2685.17","0.00","1854.40","0.00","","314.00","","0.00","2168.40","516.77","2683.83","-0.05","2683.83","19.21","01/31/08","112850","THE MEMBERS GROUP","F","0.00","0.00","0.00","01/30/08","1250","242.000","42.250"
"""1250.2""","""@1494 / THE MEMBERS GROUP""","1","1","1426.69","949.87","1820.70","","1837.00","","0.00","6034.26","0.00","0.00","0.00","","","","0.00","0.00","6034.26","7216.17","16.38","7216.17","100.00","01/31/08","112850","THE MEMBERS GROUP","F","0.00","0.00","0.00","01/30/08","1250","0.000","62.250"
"""1250.3""","""@1669 / THE MEMBERS GROUP""","1","1","161.24","151.75","277.71","","","","0.00","590.70","0.00","0.00","0.00","","","","0.00","0.00","590.70","849.00","30.42","849.00","100.00","01/31/08","112850","THE MEMBERS GROUP","F","0.00","0.00","0.00","01/30/08","1250","0.000","10.250"
"""1250.4""","""@PERMITS / THE MEMBERS GROUP""","1","1","0.00","0.00","0.00","","","90.00","0.00","90.00","0.00","0.00","0.00","","","0.00","0.00","0.00","90.00","90.00","","90.00","100.00","01/31/08","112850","THE MEMBERS GROUP","F","0.00","0.00","0.00","01/30/08","1250","0.000",""
"""1250.5""","""@Brick / THE MEMBERS GROUP""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","150.00","100.00","150.00","100.00","01/31/08","112850","THE MEMBERS GROUP","F","0.00","0.00","0.00","01/30/08","1250","0.000",""
"""1250.6""","""@Machinery / THE MEMBERS GROUP""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","751.06","100.00","751.06","100.00","01/31/08","112850","THE MEMBERS GROUP","F","0.00","0.00","0.00","01/30/08","1250","0.000",""
"""1282.1""","""@1595A / TACO JOHNÇS""","1","1","1983.65","1031.99","1085.87","","","","0.00","4101.51","0.00","857.82","0.00","","80.00","","0.00","937.82","3163.69","3968.00","-3.36","3968.00","76.37","03/31/08","110100","TACO JOHN'S OF IOWA","F","0.00","0.00","0.00","03/19/08","1282","16.000","74.000"
