"15 FEB 2026","18:21:18","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/17 through 12/31/17",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"8297","09/30/17","SURVEY","4958","PRIDE SIGNS","325.00","72.59","252.41","77.66","","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"","","SURVEY","","Product Totals","675.00","201.29","473.71","70.18","289.73","ADAM",

"","","","","Salesperson ADAM Totals","7891.58","4100.75","3790.83","48.04","392.73","ADAM",

"7880","08/17/17","ALUM","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","34392.00","23922.00","10470.00","30.44","","HOUSE","","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"7880","08/17/17","ALUM","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","9133.00","6889.18","2243.82","24.57","","HOUSE","","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"7880","08/17/17","ALUM","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","1785.00","953.57","831.43","46.58","","HOUSE","","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"","","ALUM","","Product Totals","45310.00","31764.75","13545.25","29.89","0.00","HOUSE",

"8335","12/16/17","AWNING","77950","NAGLE SIGNS  INC.","15615.96","11667.14","3948.82","25.29","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","AWNING","","Product Totals","15615.96","11667.14","3948.82","25.29","0.00","HOUSE",

"8074","06/07/17","BANNER","5103","RAUL MORENO","115.00","92.08","22.92","19.93","","HOUSE","","","","","","DEFAULT","RAUL MORENO","ANKENY","IA",
"8107","06/23/17","BANNER","3127","JAMES AUTHUR ALBERT FOUNDATION","0.00","147.91","-147.91","","","HOUSE","","","","","","DEFAULT","JAMES AUTHUR ALBERT FOUNDATION","URBANDALE","IA",
"","","BANNER","","Product Totals","115.00","239.99","-124.99","-108.69","0.00","HOUSE",

"8165","07/20/17","CHANNL","3244","NEON SPECIALTIES","16.96","9.67","7.29","42.98","","HOUSE","","","","","","DEFAULT","NEON SPECIALTIES","DES MOINES","IA",
"8176","07/26/17","CHANNL","3244","NEON SPECIALTIES","16.96","9.67","7.29","42.98","","HOUSE","","","","","","DEFAULT","NEON SPECIALTIES","DES MOINES","IA",
"","","CHANNL","","Product Totals","33.92","19.34","14.58","42.98","0.00","HOUSE",

"7837","01/10/17","INSTL","77950","NAGLE SIGNS  INC.","1770.00","1486.60","283.40","16.01","","HOUSE","","","","","","142","BURGER KING - NAGLE SIGNS","DES MOINES","IA",
"7872","01/26/17","INSTL","77950","NAGLE SIGNS  INC.","568.53","479.38","89.15","15.68","","HOUSE","","","","","","142","BURGER KING - NAGLE SIGNS","DES MOINES","IA",
"7880","08/17/17","INSTL","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","18122.00","23124.76","-5002.76","-27.61","","HOUSE","","","","","","DEFAULT","CITY OF DES MOINES","DES MOINES","IA",
"7900","02/15/17","INSTL","77950","NAGLE SIGNS  INC.","870.00","669.98","200.02","22.99","","HOUSE","","","","","","142","BURGER KING - NAGLE SIGNS","DES MOINES","IA",
"7936","03/07/17","INSTL","77950","NAGLE SIGNS  INC.","180.00","141.94","38.06","21.14","","HOUSE","","","","","","DEFAULT","N. Ankeny Medical Park ","Ankeny","IA",
"7946","03/20/17","INSTL","77950","NAGLE SIGNS  INC.","313.19","215.76","97.43","31.11","","HOUSE","","","","","","151","FLOWERAMA - NAGLE SIGNS","ANKENY","IA",
"7949","03/14/17","INSTL","77950","NAGLE SIGNS  INC.","75.00","51.85","23.15","30.87","","HOUSE","","","","","","152","KUM & GO # 576","DES MOINES","IA",
"8109","07/05/17","INSTL","77950","NAGLE SIGNS  INC.","1872.21","1568.98","303.23","16.20","","HOUSE","","","","","","153","BURGER KING","WAUKEE","IA",
"8109","07/05/17","INSTL","77950","NAGLE SIGNS  INC.","780.00","669.24","110.76","14.20","","HOUSE","","","","","","153","BURGER KING","WAUKEE","IA",
"8109","07/05/17","INSTL","77950","NAGLE SIGNS  INC.","1575.00","1283.46","291.54","18.51","","HOUSE","","","","","","153","BURGER KING","WAUKEE","IA",
"8122","06/26/17","INSTL","77950","NAGLE SIGNS  INC.","259.08","204.34","54.74","21.13","","HOUSE","","","","","","126","IOWA METHODIST MEDICAL CENTER - NAGLE SIGNS","DES MOINES","IA",
"8150","09/18/17","INSTL","77950","NAGLE SIGNS  INC.","2005.00","1637.48","367.52","18.33","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8157","07/28/17","INSTL","77950","NAGLE SIGNS  INC.","75.00","66.15","8.85","11.80","","HOUSE","","","","","","153","BURGER KING","WAUKEE","IA",
"8157","07/28/17","INSTL","77950","NAGLE SIGNS  INC.","1335.00","1226.18","108.82","8.15","","HOUSE","","","","","","153","BURGER KING","WAUKEE","IA",
"8347","10/31/17","INSTL","77950","NAGLE SIGNS  INC.","60.00","48.62","11.38","18.97","","HOUSE","","","","","","162","KUM & GO #184 - NAGLE SIGNS","ALTOONA","IA",
"","","INSTL","","Product Totals","29860.01","32874.72","-3014.71","-10.10","0.00","HOUSE",

"7518","06/14/17","MISC","4779","EAGLE SIGN CO.","0.00","1787.26","-1787.26","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
