"15 FEB 2026","18:12:49","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/08 through 12/31/08",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",
"1443","03/26/08","CHANNL","1443.1","1404","7238.78","3678.20","3560.58","49.19","2276.75","","5906.41","7238.78","18.41","","","68250","LOLLILOCKS KIDS SALON","BRIANT","","","","","","2","LOLLILOCKS KIDS SALON","HIGHLANDS RANCH","CO",
"1443","03/26/08","AWNING","1443.2","1649","2725.69","1575.00","1150.69","42.22","","","1858.00","2725.69","31.83","","","68250","LOLLILOCKS KIDS SALON","BRIANT","","","","","","2","LOLLILOCKS KIDS SALON","HIGHLANDS RANCH","CO",
"1443","03/26/08","INSTL","1443.3","2194","2275.00","1235.00","1040.00","45.71","","","1750.00","2187.50","20.00","","","68250","LOLLILOCKS KIDS SALON","BRIANT","","","","","","2","LOLLILOCKS KIDS SALON","HIGHLANDS RANCH","CO",
"1443","","","Invoice Totals","","12239.47","6488.20","5751.27","46.99","2276.75","0.00","9514.41","12151.97","21.70","","","68250","LOLLILOCKS KIDS SALON","BRIANT","","","","","",

"1444","05/12/08","INSTL","1444.1","2635","0.00","10273.13","-10273.13","","928.92","1241.74","6416.60","7348.23","12.68","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","PYLON","1444.2","2262","16709.00","4240.59","12468.41","74.62","","","10514.00","13142.50","20.00","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","CHANNL","1444.3","2265","1460.00","999.52","460.48","31.54","","","1093.51","1503.31","27.26","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","INT","1444.4","2267","110.00","113.38","-3.38","-3.07","","","151.51","181.02","16.30","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","INT","1444.5","2268","100.00","49.80","50.20","50.20","","","101.61","130.78","22.30","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","INT","1444.6","2269","150.00","214.94","-64.94","-43.29","","","85.48","109.21","21.73","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","AWNING","1444.7","2686","1225.00","679.08","545.92","44.56","","","203.52","275.60","26.15","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","CHANNL","1444.8","2725","1990.00","1549.24","440.76","22.15","","","1905.36","2895.61","34.20","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","CHANNL","1444.9","2726","770.00","921.93","-151.93","-19.73","","","0.00","","","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","05/12/08","MISC","1444.10","2727","63.00","0.00","63.00","100.00","","","0.00","","","","","2215","TACO JOHN'S","BRIANT","","","","","","DEFAULT","TACO JOHN´S","BELOIT","WI",
"1444","","","Invoice Totals","","22577.00","19041.61","3535.39","15.66","928.92","1241.74","20471.59","25586.26","19.99","","","2215","TACO JOHN'S","BRIANT","","","","","",

"1453","02/29/08","PRMT","1453.1","","300.00","3010.20","-2710.20","-903.40","","","","","","","","2312","PUMP IT UP","MIKEE","","","","","","DEFAULT","PUMP IT UP","NEWPORT","DE",
"1453","02/29/08","CHANNL","1453.2","2518","11151.00","6852.01","4298.99","38.55","","","8890.59","11150.62","20.27","","","2312","PUMP IT UP","MIKEE","","","","","","DEFAULT","PUMP IT UP","NEWPORT","DE",
"1453","02/29/08","INSTL","1453.3","2416","2902.00","848.00","2054.00","70.78","","","2321.00","2901.25","20.00","","","2312","PUMP IT UP","MIKEE","","","","","","DEFAULT","PUMP IT UP","NEWPORT","DE",
"1453","02/29/08","FRT","1453.4","2417","720.00","867.27","-147.27","-20.45","","","479.75","719.63","33.33","","","2312","PUMP IT UP","MIKEE","","","","","","DEFAULT","PUMP IT UP","NEWPORT","DE",
"1453","","","Invoice Totals","","15073.00","11577.48","3495.52","23.19","0.00","0.00","11691.34","14771.50","20.85","","","2312","PUMP IT UP","MIKEE","","","","","",

"1454","02/28/08","AWNING","1454.1","2575","1716.00","0.00","1716.00","100.00","152.00","171.34","1272.33","1715.08","25.82","1716.00","25.85","2296","PUMP IT UP","MIKEE","","","","","","DEFAULT","PUMP IT UP","SCHAUMBURG","IL",
"1454","02/28/08","INSTL","1454.2","2672","688.00","2151.00","-1463.00","-212.65","","","550.00","687.50","20.00","688.00","20.06","2296","PUMP IT UP","MIKEE","","","","","","DEFAULT","PUMP IT UP","SCHAUMBURG","IL",
"1454","02/28/08","FRT","1454.3","2673","162.00","0.00","162.00","100.00","","","129.42","161.78","20.00","162.00","20.11","2296","PUMP IT UP","MIKEE","","","","","","DEFAULT","PUMP IT UP","SCHAUMBURG","IL",
