"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/09"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1389.1""","""@2467 / RYKO MANUFACTURING""","1","","318.54","199.86","179.89","","","","0.00","698.29","335.01","689.81","0.00","","","","0.00","1024.82","-326.53","","","5040.00","79.67","03/07/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","698.29","","","16.250","18.500"
"""2201.1""","""@REMOVAL / CHAMPION SPORTS CEN""","1","","0.00","53.01","95.41","","","","0.00","148.42","0.00","0.00","0.00","","","","0.00","0.00","148.42","","","0.00","","03/17/09","2557","CHAMPION SPORTS CENTER","C","0.00","0.00","148.42","","","0.000","3.500"
"""2218.2""","""@vehicle / EAGLE SIGN CO.""","1","","627.03","108.75","97.88","","","","0.00","833.66","0.00","0.00","0.00","","","","0.00","0.00","833.66","","","0.00","","04/30/09","38050","EAGLE SIGN CO.","C","0.00","0.00","833.66","","","0.000","7.500"
"""2218.3""","""@vehicle / EAGLE SIGN CO.""","1","","1055.00","203.00","182.70","","","","0.00","1440.70","0.00","0.00","0.00","","","","0.00","0.00","1440.70","","","0.00","","04/30/09","38050","EAGLE SIGN CO.","C","0.00","0.00","1440.70","","","0.000","14.000"
"""2437.1""","""@plex / CHARLEY'S GRILLED SUBS""","1","","45.16","18.00","16.20","","","","0.00","79.36","0.00","0.00","0.00","","","","0.00","0.00","79.36","","","0.00","","08/24/09","82550","OLD DOMINION FREIGHT LINE, I","C","0.00","0.00","79.36","","","0.000","1.000"
"""2483.1""","""@6158 / RAMADA INN""","1","","1342.59","846.59","1011.03","","","","0.00","3200.21","854.16","2708.70","0.00","","817.81","","0.00","4380.67","-1180.46","6993.93","54.24","6993.93","37.36","09/30/09","2626","RAMADA INN","C","0.00","0.00","3200.21","01/14/10","2483-2","63.000","54.500"
"""2487.1""","""@5957 / TACO JOHNÇS""","1","","2251.32","1154.34","1038.92","","","","0.00","4444.58","2735.18","1979.86","0.00","","","","0.00","4715.04","-270.46","6787.42","34.52","6787.42","30.53","10/15/09","2682","TACO JOHN'S","C","0.00","0.00","4444.58","01/14/10","2487","44.000","68.500"
"""2487.3""","""@6554 / TACO JOHNÇS""","1","","878.43","163.25","146.93","","","","0.00","1188.61","505.12","547.20","0.00","","481.65","","0.00","1533.97","-345.36","2140.00","44.46","2140.00","28.32","12/17/09","2682","TACO JOHN'S","C","0.00","0.00","1188.61","01/14/10","2487","18.000","9.750"
"""2487.4""","""@6555 / TACO JOHNÇS""","1","","251.73","191.20","172.10","","","","0.00","615.03","346.03","395.20","0.00","","","","0.00","741.23","-126.20","1119.00","45.04","1119.00","33.76","12/17/09","2682","TACO JOHN'S","C","0.00","0.00","615.03","01/14/10","2487","13.000","12.250"
"""2487.5""","""@6597 / TACO JOHNÇS""","1","","692.89","304.64","274.20","","","","0.00","1271.73","770.40","577.60","0.00","","","","0.00","1348.00","-76.27","2201.75","42.24","2201.75","38.78","12/17/09","2682","TACO JOHN'S","C","0.00","0.00","1271.73","01/14/10","2487","19.000","20.250"
"""2506.1""","""@5847 / REHABILITATION CENTER""","1","","137.65","214.64","284.43","","200.00","","0.00","836.72","227.19","789.20","0.00","","14.50","","0.00","1030.89","-194.17","1694.41","50.62","1694.41","39.16","10/30/09","2637","THE REHABILITATION CENTER OF DES MOINES, LLC","C","0.00","0.00","836.72","01/18/10","2506","19.000","14.000"
"""2506.2""","""@5849 / REHABILITATION CENTER""","1","","379.62","319.46","329.50","","200.00","","0.00","1228.58","481.26","1678.70","0.00","","2734.00","","0.00","4893.96","-3665.38","7576.25","83.78","7576.25","35.40","10/30/09","2637","THE REHABILITATION CENTER OF DES MOINES, LLC","C","0.00","0.00","1228.58","01/18/10","2506","44.000","20.500"
"""2506.3""","""@6187 / REHABILITATION CENTER""","1","","183.09","140.45","176.70","","213.07","","0.00","713.31","162.51","425.00","0.00","","13.92","","0.00","601.43","111.88","984.98","27.58","984.98","38.94","10/30/09","2637","THE REHABILITATION CENTER OF DES MOINES, LLC","C","0.00","0.00","713.31","01/18/10","2506","10.500","9.000"
"""2507.1""","""@ / NAGLE SIGNS, INC.""","1","1","12857.53","7848.01","7164.64","","","","0.00","27870.18","0.00","0.00","0.00","","","","0.00","0.00","27870.18","32438.19","14.08","32438.19","100.00","10/26/09","77950","NAGLE SIGNS, INC.","C","0.00","0.00","27870.18","12/30/09","2507","0.000","516.000"
"""2544.1""","""@6284 / CARE INITIATIVES HOSPI""","1","","0.00","0.00","0.00","","757.13","","0.00","757.13","0.00","292.60","0.00","","1535.65","","0.00","1828.25","-1071.12","2730.29","72.27","2730.29","33.04","11/12/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","757.13","01/21/10","2544","7.000",""
"""2544.2""","""@6285 / CARE INITIATIVES HOSPI""","1","","0.00","0.00","0.00","","757.14","","0.00","757.14","0.00","220.40","0.00","","1535.65","","0.00","1756.05","-998.91","2499.98","69.71","2499.98","29.76","11/12/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","757.14","01/21/10","2544","5.000",""
"""2544.3""","""@6286 / CARE INITIATIVES HOSPI""","1","","0.40","8.32","7.49","","0.00","","0.00","16.21","6.03","152.00","0.00","","","","0.00","158.03","-141.82","213.69","92.41","213.69","26.05","11/12/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","16.21","01/21/10","2544","3.500","0.750"
"""2544.4""","""@6288 / CARE INITIATIVES HOSPI""","1","","7.75","8.88","7.99","","500.53","","0.00","525.15","0.00","250.80","0.00","","526.67","","0.00","777.47","-252.32","1268.83","58.61","1268.83","38.73","11/12/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","525.15","01/21/10","2544","6.000","0.500"
"""2544.5""","""@6289 / CARE INITIATIVES HOSPI""","1","","17.99","30.51","27.47","","9.00","","0.00","84.97","0.00","7.60","0.00","","90.00","","0.00","97.60","-12.63","142.06","40.19","142.06","31.30","11/12/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","84.97","01/21/10","2544","0.250","1.750"
"""2550.1""","""@ / CARE INITIATIVES HOSPICE""","1","","0.00","0.00","0.00","","75.00","","0.00","75.00","0.00","0.00","0.00","","","","0.00","0.00","75.00","","","0.00","","10/28/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","75.00","","","0.000",""
"""2550.2""","""@6519 / CARE INITIATIVES HOSPI""","1","","6.42","8.32","7.49","","0.00","","0.00","22.23","7.27","125.40","0.00","","","","0.00","132.67","-110.44","184.58","87.96","184.58","28.12","11/30/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","22.23","01/30/10","2550","3.000","0.500"
"""2550.3""","""@6521 / CARE INITIATIVES HOSPI""","1","","0.00","17.76","15.98","","497.03","","0.00","530.77","0.00","205.20","0.00","","526.67","","0.00","731.87","-201.10","1079.48","50.83","1079.48","32.20","11/30/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","530.77","01/30/10","2550","4.500","1.500"
"""2550.4""","""@6524 / CARE INITIATIVES HOSPI""","1","","17.99","30.51","27.47","","0.00","","0.00","75.97","0.00","7.60","0.00","","90.00","","0.00","97.60","-21.63","142.06","46.52","142.06","31.30","11/30/09","2704","CARE INITIATIVES HOSPICE","C","0.00","0.00","75.97","01/30/10","2550","0.250","1.750"
"""2562.1""","""@5966 / CharleyÇs Grilled Subs""","1","","1093.03","979.83","881.90","","2288.36","","0.00","5243.12","926.17","1824.00","0.00","","300.00","","0.00","3050.17","2192.95","9340.61","43.87","9340.61","67.35","10/28/09","2712","CHARLEY'S GRILLED SUBS","C","0.00","0.00","5243.12","01/13/10","2562","60.000","62.500"
