"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/15"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""64367""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","960.54","133.50","124.16","","","0.00","1218.20","997.46","160.00","0.00","","","0.00","1157.46","60.74","","","0.00","","04/22/14","","","C","0.00","0.00","1218.20","","","8.000","8.750"
"""64451""","""221-0330 5'-4 1/2"" X 20' HURRI""","1","","0.00","84.00","78.12","","","0.00","162.12","1354.96","0.00","0.00","","","0.00","1354.96","-1192.84","","","0.00","","06/19/14","","","C","0.00","0.00","162.12","","","0.000","25.250"
"""64649""","""221-0190 STANDARD CAT SCALE SP""","1","","451.18","94.50","87.89","","","0.00","633.57","396.84","308.80","0.00","","","0.00","705.64","-72.07","","","0.00","","11/20/14","","","C","0.00","0.00","633.57","","","8.000","9.250"
"""65030""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","960.48","109.50","101.84","","","0.00","1171.82","974.06","308.80","0.00","","","0.00","1282.86","-111.04","","","0.00","","11/09/15","","","C","0.00","0.00","1171.82","","","8.000","7.250"
"""65057""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","960.54","143.75","133.69","","","0.00","1237.98","974.06","308.80","0.00","","","0.00","1282.86","-44.88","","","0.00","","12/02/15","","","C","0.00","0.00","1237.98","","","8.000","9.500"
"""65058""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","960.54","112.13","104.28","","","0.00","1176.95","974.06","308.80","0.00","","","0.00","1282.86","-105.91","","","0.00","","12/02/15","","","C","0.00","0.00","1176.95","","","8.000","7.500"
"""65059""","""221-0300 5'-4 1/2"" X 20' STAND""","1","","866.75","104.76","97.42","","","0.00","1068.93","974.06","308.80","0.00","","","0.00","1282.86","-213.93","","","0.00","","12/02/15","","","C","0.00","0.00","1068.93","","","8.000","7.000"
"""65063""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","1154.95","346.69","322.45","","","0.00","1824.09","2780.66","772.00","0.00","","","0.00","3552.66","-1728.57","","","0.00","","12/02/15","","","C","0.00","0.00","1824.09","","","20.000","27.000"
"""65064""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","1155.80","297.25","276.48","","","0.00","1729.53","2780.66","772.00","0.00","","","0.00","3552.66","-1823.13","","","0.00","","12/02/15","","","C","0.00","0.00","1729.53","","","20.000","33.000"
"""65068""","""221-0190 STANDARD CAT SCALE SP""","1","","18.60","111.63","103.83","","","0.00","234.06","396.01","308.80","0.00","","","0.00","704.81","-470.75","","","0.00","","12/31/15","","","C","0.00","0.00","234.06","","","8.000","8.000"
"""65069""","""221-0190 STANDARD CAT SCALE SP""","1","","18.60","93.51","86.98","","","0.00","199.09","396.01","308.80","0.00","","","0.00","704.81","-505.72","","","0.00","","12/31/15","","","C","0.00","0.00","199.09","","","8.000","7.250"
"""65070""","""221-0190 STANDARD CAT SCALE SP""","1","","18.60","97.64","90.82","","","0.00","207.06","396.01","308.80","0.00","","","0.00","704.81","-497.75","","","0.00","","12/31/15","","","C","0.00","0.00","207.06","","","8.000","8.250"
"""65071""","""221-0190 STANDARD CAT SCALE SP""","1","","22.46","84.88","78.95","","","0.00","186.29","396.01","308.80","0.00","","","0.00","704.81","-518.52","","","0.00","","12/31/15","","","C","0.00","0.00","186.29","","","8.000","6.750"
"""65072""","""221-0200 5'-4 1/2"" X 20' STAND""","1","","1155.80","471.70","438.71","","","0.00","2066.21","2780.66","772.00","0.00","","","0.00","3552.66","-1486.45","","","0.00","","12/31/15","","","C","0.00","0.00","2066.21","","","20.000","38.750"
