"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/12"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1389.1""","""@2467 / RYKO MANUFACTURING""","1","","60.90","50.26","44.97","","","0.00","156.13","335.01","689.81","0.00","","","0.00","1024.82","-868.69","","","5040.00","79.67","03/07/08","95950","NATIONAL CARWASH SOLUTIONS","C","0.00","0.00","156.13","","","16.250","18.500"
"""3373.4""","""@8486 / CITY OF DES MOINES""","3","","4060.65","1703.38","1675.28","","833.98","0.00","8273.29","511.51","1567.50","0.00","","8376.84","0.00","10455.85","-2182.56","11449.20","27.74","11449.20","8.68","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","8273.29","08/31/13","3373-2","51.000","148.750"
"""3373.5""","""@8486B / CITY OF DES MOINES""","1","","0.00","11.25","10.13","","2050.24","0.00","2071.62","430.80","982.65","0.00","","525.50","0.00","1938.95","132.67","2112.25","1.92","2112.25","8.20","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","2071.62","08/31/13","3373-2","17.500","2.000"
"""3373.6""","""@8487 / CITY OF DES MOINES""","2","","2860.04","553.13","548.46","","436.36","0.00","4397.99","431.49","984.20","0.00","","7116.40","0.00","8532.09","-4134.10","12124.20","63.73","12124.20","29.63","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4397.99","08/31/13","3373-2","32.000","93.500"
"""3373.7""","""@8487B / CITY OF DES MOINES""","2","","0.00","0.00","0.00","","8059.63","0.00","8059.63","2000.52","2061.60","0.00","","1085.00","0.00","5147.12","2912.51","6222.50","-29.52","6222.50","17.28","05/31/11","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","8059.63","08/31/13","3373-2","36.000",""
"""3373.9""","""@Medallion / CITY OF DES MOINE""","3","","333.07","48.15","54.47","","3192.21","0.00","3627.90","0.00","0.00","0.00","","","0.00","0.00","3627.90","4422.00","17.96","4422.00","100.00","06/01/12","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","3627.90","08/31/13","3373-2","0.000","2.000"
"""3962.1""","""@10463 / VAN METER""","1","","8.38","20.51","18.46","","","0.00","47.35","11.79","93.50","0.00","","37.40","0.00","142.69","-95.34","","","241.59","40.94","02/17/12","3351","VAN METER","C","0.00","0.00","47.35","","","2.500","1.250"
"""4036.1""","""@10395 / GIT N GO #19""","1","","899.15","99.00","116.49","","","0.00","1114.64","302.41","543.60","0.00","","","0.00","846.01","268.63","1266.00","11.96","1313.65","35.60","06/30/12","49300","GIT N GO CONVENIENCE STORES","C","0.00","0.00","1114.64","02/19/13","4036-2","12.000","16.000"
"""4036.3""","""@10663 / GIT N GO #19""","1","","1220.03","803.56","763.88","","","0.00","2787.47","1948.02","2341.40","0.00","","","0.00","4289.42","-1501.95","6628.70","57.95","6855.47","37.43","07/12/12","49300","GIT N GO CONVENIENCE STORES","C","0.00","0.00","2787.47","02/19/13","4036-2","57.000","61.750"
"""4036.4""","""@10664 / GIT N GO #19""","1","","2464.30","177.51","165.09","","","0.00","2806.90","0.00","74.50","0.00","","2417.50","0.00","2492.00","314.90","3427.44","18.11","3286.89","24.18","07/12/12","49300","GIT N GO CONVENIENCE STORES","C","0.00","0.00","2806.90","02/19/13","4036-2","2.000","10.500"
"""4112.1""","""@9237B / NATIONWIDE""","1","","9120.24","0.00","0.00","","0.00","0.00","9120.24","540.00","13704.80","0.00","","11774.00","0.00","26018.80","-16898.56","39017.95","76.63","39017.95","33.32","08/15/12","2139","CRE NATIONWIDE","C","0.00","0.00","9120.24","01/21/13","4112","211.000","79.000"
"""4121.1""","""@Time / CAT SCALE""","1","","83.20","71.25","64.13","","","0.00","218.58","0.00","0.00","0.00","","","0.00","0.00","218.58","","","0.00","","05/18/12","18600","CAT SCALE","C","0.00","0.00","218.58","","","0.000","4.750"
"""4273.1""","""@10871 / CHARLEYÇS GRILLED SUB""","1","","739.84","698.09","649.28","","","0.00","2087.21","456.52","1496.00","0.00","","","0.00","1952.52","134.69","3260.86","35.99","3260.86","40.12","08/15/12","3470","CHARLEY'S GRILLED SUBS","C","0.00","0.00","2087.21","02/19/13","4273","40.000","43.750"
"""4273.2""","""@11130 / CHARLEYÇS GRILLED SUB""","1","","0.00","0.00","0.00","","1095.97","0.00","1095.97","0.00","0.00","0.00","","450.00","0.00","450.00","645.97","689.50","-58.95","589.50","23.66","08/12/12","3470","CHARLEY'S GRILLED SUBS","C","0.00","0.00","1095.97","02/19/13","4273","0.000",""
"""4273.4""","""@11731 / CHARLEYÇS GRILLED SUB""","1","","0.00","77.51","72.09","","","0.00","149.60","337.33","938.95","0.00","","515.10","0.00","1791.38","-1641.78","2756.86","94.57","2756.86","35.02","11/18/12","3470","CHARLEY'S GRILLED SUBS","C","0.00","0.00","149.60","02/19/13","4273","24.500","29.250"
"""4273.6""","""@11839 / CHARLEYÇS GRILLED SUB""","1","","0.00","0.00","0.00","","588.37","0.00","988.37","0.00","0.00","0.00","","400.00","0.00","400.00","588.37","524.00","-88.62","524.00","23.66","11/21/12","3470","CHARLEY'S GRILLED SUBS","C","0.00","0.00","988.37","02/19/13","4273","0.000",""
"""4274.1""","""@10693 / CHARLEYÇS GRILLED SUB""","1","","0.00","78.75","73.24","","","0.00","151.99","76.48","180.00","0.00","","1341.84","0.00","1598.32","-1446.33","2095.94","92.75","2095.94","23.74","08/15/12","3469","CHARLEY'S GRILLED SUBS","C","0.00","0.00","151.99","03/31/13","4274","5.000","12.500"
"""4274.3""","""@11133 / CHARLEYÇS GRILLED SUB""","1","","0.00","0.00","0.00","","502.00","0.00","502.00","0.00","0.00","0.00","","2500.00","0.00","2500.00","-1998.00","3275.00","84.67","3275.00","23.66","08/15/12","3469","CHARLEY'S GRILLED SUBS","C","0.00","0.00","502.00","03/31/13","4274","0.000",""
"""4274.5""","""@11944 / CHARLEYÇS GRILLED SUB""","1","","682.65","820.79","763.40","","","0.00","2266.84","595.16","996.85","0.00","","2743.55","0.00","4335.56","-2068.72","5521.76","58.95","5521.76","21.48","12/27/12","3469","CHARLEY'S GRILLED SUBS","C","0.00","0.00","2266.84","03/31/13","4274","26.000","55.250"
"""4322.1""","""@11358 / CHARLEYÇS GRILLED SUB""","1","","158.51","270.25","251.36","","","0.00","680.12","173.52","437.43","0.00","","","0.00","610.95","69.17","","","969.42","36.98","09/10/12","21100","CHARLEY'S GRILLED SUBS","C","0.00","0.00","680.12","","","11.350","17.000"
"""4327.1""","""@11234 / ELDER CORPORATION""","2","2","812.23","2260.09","2894.99","","1304.96","0.00","7272.27","0.00","0.00","0.00","","","0.00","0.00","7272.27","8132.00","10.57","8132.00","100.00","10/05/12","3488","ELDER CORPORATION","C","0.00","0.00","7272.27","12/31/12","4327","0.000","142.750"
"""4327.2""","""@11235 / ELDER CORPORATION""","5","5","5741.85","3553.14","4540.94","","1684.34","0.00","15520.27","0.00","0.00","0.00","","","0.00","0.00","15520.27","24975.00","37.86","24975.00","100.00","10/05/12","3488","ELDER CORPORATION","C","0.00","0.00","15520.27","12/31/12","4327","0.000","227.250"
"""4332.3""","""@TM / CAT SCALE""","1","","2008.07","365.70","340.12","","","0.00","2713.89","0.00","0.00","0.00","","","0.00","0.00","2713.89","","","0.00","","08/31/12","18600","CAT SCALE","C","0.00","0.00","2713.89","","","0.000","22.750"
