"15 FEB 2026","18:22:34","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/22 through 12/31/22",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"10554","02/01/22","MISC","2141","PRIDE NEON  INC.","0.00","0.00","0.00","","","","","","","","","DEFAULT","PRIDE NEON, INC.","SIOUX FALLS","SD",
"10554","02/01/22","MISC","2141","PRIDE NEON  INC.","0.00","15.81","-15.81","","","","","","","","","DEFAULT","PRIDE NEON, INC.","SIOUX FALLS","SD",
"10554","02/01/22","MISC","2141","PRIDE NEON  INC.","0.00","0.00","0.00","","","","","","","","","DEFAULT","PRIDE NEON, INC.","SIOUX FALLS","SD",
"10569-1","01/04/22","MISC","114250","THOMPSON FARM","103.70","94.27","9.43","9.09","","","","","","","","DEFAULT","THOMPSON FARM","Guthrie Center","IA",
"10803","06/22/22","MISC","5542","UNISHIPPERS","645.60","445.14","200.46","31.05","","","","","","","","DEFAULT","UNISHIPPERS","Walcott","IA",
"10948-1","10/18/22","MISC","114250","THOMPSON FARM","184.07","167.34","16.73","9.09","","","","","","","","DEFAULT","THOMPSON FARM","Guthrie Center","IA",
"10976","10/23/22","MISC","3431","BRADY FLINK","45.91","41.74","4.17","9.08","","","","","","","","DEFAULT","BRADY FLINK","WEST DES MOINES","IA",
"11013","12/08/22","MISC","5542","UNISHIPPERS","495.09","295.38","199.71","40.34","","","","","","","","DEFAULT","TSS","Warren","MI",
"","","MISC","","Product Totals","1474.37","1059.68","414.69","28.13","0.00","",

"SC6986","02/07/22","SRVCE","5926","J THOMPSON BUILDERS","0.00","60.78","-60.78","","","","","","","","","1","STONEY CREEK INN - JTHOMPSON BUILDERS","JOHNSTON","IA",
"","","SRVCE","","Product Totals","0.00","60.78","-60.78","","0.00","",

"SC7372","11/04/22","WARMFG","3340","MITCHELL FAMILY FUNERAL HOME","0.00","64.35","-64.35","","","","","","","","","DEFAULT","MITCHELL FAMILY FUNERAL HOME","MARSHALLTOWN","IA",
"","","WARMFG","","Product Totals","0.00","64.35","-64.35","","0.00","",

"","","","","Salesperson  Totals","1474.37","1184.81","289.56","19.64","0.00","",

"10835-1","09/12/22","ALUM","4095","JOHN BOYT INDUSTRIAL SEWING","864.04","307.26","556.78","64.44","","ADAM","0.030","","","","","DEFAULT","JOHN BOYT INDUSTRIAL SEWING","URBANDALE","IA",
"","","ALUM","","Product Totals","864.04","307.26","556.78","64.44","0.00","ADAM",

"10736","05/06/22","MISC","4095","JOHN BOYT INDUSTRIAL SEWING","0.00","20.75","-20.75","","","ADAM","0.030","","","","","DEFAULT","JOHN BOYT INDUSTRIAL SEWING","URBANDALE","IA",
"","","MISC","","Product Totals","0.00","20.75","-20.75","","0.00","ADAM",

"","","","","Salesperson ADAM Totals","864.04","328.01","536.03","62.04","0.00","ADAM",

"10917","10/31/22","INSTL","77950","NAGLE SIGNS  INC.","105.00","96.53","8.47","8.07","","HOUSE","","","","","","431","FIRST FRIENDS CHURCH - NAGLE SIGNS","GRINNELL","IA",
"SC7132","05/12/22","INSTL","77950","NAGLE SIGNS  INC.","336.23","291.67","44.56","13.25","","HOUSE","","","","","","405","THE LOFT - NAGLE SIGNS","ANKENY","IA",
"","","INSTL","","Product Totals","441.23","388.20","53.03","12.02","0.00","HOUSE",

"10582","01/13/22","MISC","77950","NAGLE SIGNS  INC.","59.78","52.23","7.55","12.63","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"10624","02/14/22","MISC","5943","MATT ZELIADT","160.36","145.78","14.58","9.09","","HOUSE","","","","","","DEFAULT","MATT ZELIADT","DES MOINES","IA",
"10674","03/31/22","MISC","5960","PRO MEDICA","199.25","118.12","81.13","40.72","","HOUSE","","","","","","DEFAULT","PRO MEDICA","WEST DES MOINES","IA",
"10674","03/31/22","MISC","5960","PRO MEDICA","48.55","22.87","25.68","52.89","","HOUSE","","","","","","DEFAULT","PRO MEDICA","WEST DES MOINES","IA",
"10679","04/05/22","MISC","77950","NAGLE SIGNS  INC.","70.00","30.40","39.60","56.57","","HOUSE","","","","","","401","MCDONALD SUPPLY- NAGLE SIGNS","AMES","IA",
