"","Eagle Sign Company"
"","OPEN WORK ORDERS AS OF 12/31/23"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Due Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""10820.7""","""@34194 / CHAMPION XPRESS CARWW""","1","","0.00","23.50","21.86","","","0.00","45.36","0.00","0.00","0.00","","","0.00","0.00","45.36","150.00","69.76","150.00","100.00","09/15/22","3461","AURORA SIGN CO.","C","0.00","0.00","45.36","01/31/24","10820","0.000","1.000"
"""11160.5""","""@35059 / CHAMPION XPRESS CARWA""","1","","0.00","243.75","430.33","","","0.00","674.08","0.00","736.48","0.00","","","0.00","736.48","-62.40","1137.95","40.76","1137.95","35.28","05/24/23","3461","AURORA SIGN CO.","C","0.00","0.00","674.08","05/15/24","11160-3","13.000","18.500"
"""11160.6""","""@35060 / CHAMPION XPRESS CARWA""","1","","0.00","23.50","21.86","","","0.00","45.36","0.00","0.00","0.00","","","0.00","0.00","45.36","0.00","","150.00","100.00","05/24/23","3461","AURORA SIGN CO.","C","0.00","0.00","45.36","03/05/24","11160","0.000","1.750"
"""11185.3""","""@35212 / SMITTY´S TENDERLOINS""","1","","0.00","41.13","38.26","","","0.00","79.39","0.00","0.00","0.00","","","0.00","0.00","79.39","0.00","","150.00","100.00","06/30/23","2993","SMITTY'S TENDERLOINS","C","0.00","0.00","79.39","02/29/24","11185","0.000","1.750"
"""11185.5""","""@35955 / SMITTY´S TENDERLOINS""","1","","10797.83","309.00","541.43","","","0.00","11648.26","58.00","1800.77","0.00","","11320.00","0.00","13178.77","-1530.51","18480.81","36.97","18480.81","28.69","08/01/23","2993","SMITTY'S TENDERLOINS","C","0.00","0.00","11648.26","02/29/24","11185","25.000","42.750"
"""11310.1""","""@35708 / CHAMPION XPRESS CARWA""","1","","570.15","35.25","32.79","","","0.00","638.19","63.09","1148.47","0.00","","9312.90","0.00","10524.46","-9886.27","","","13913.20","24.36","08/01/23","3461","AURORA SIGN CO.","C","0.00","0.00","638.19","","","15.500","1.500"
"""11310.2""","""@35638 / CHAMPION XPRESS CARWA""","1","","0.00","26.25","47.89","","","0.00","74.14","49.30","850.88","0.00","","","0.00","900.18","-826.04","1517.78","95.12","1517.78","40.69","08/01/23","3461","AURORA SIGN CO.","C","0.00","0.00","74.14","04/10/24","11310","9.000","12.250"
"""11310.5""","""@35641 / CHAMPION XPRESS CARWA""","1","","0.00","23.50","21.86","","","0.00","45.36","0.00","0.00","0.00","","","0.00","0.00","45.36","0.00","","150.00","100.00","08/01/23","3461","AURORA SIGN CO.","C","0.00","0.00","45.36","04/10/24","11310","0.000","1.000"
"""11312.1""","""@35663 / CITY OF URBANDALE""","1","","0.00","755.03","744.05","","","0.00","1499.08","1860.44","2413.06","0.00","","","0.00","4273.50","-2774.42","7597.96","80.27","7597.96","43.75","08/17/23","3154","EDGE COMMERCIAL","C","0.00","0.00","1499.08","02/13/24","11312","48.000","81.250"
"""11312.2""","""@35665 / CITY OF URBANDALE""","1","","0.00","46.00","42.78","","","0.00","88.78","790.38","3051.44","0.00","","78.00","0.00","3919.82","-3831.04","6964.07","98.73","6964.07","43.71","08/17/23","3154","EDGE COMMERCIAL","C","0.00","0.00","88.78","02/13/24","11312","61.000","11.250"
"""11312.3""","""@35664 / CITY OF URBANDALE""","1","","0.00","23.00","21.39","","","0.00","44.39","919.98","1560.43","0.00","","","0.00","2480.41","-2436.02","4386.25","98.99","4386.25","43.45","08/17/23","3154","EDGE COMMERCIAL","C","0.00","0.00","44.39","02/13/24","11312","30.000","2.750"
"""11313.2""","""@35655 / CITY OF URBANDALE""","2","","0.00","34.50","32.09","","","0.00","66.59","2868.44","4364.29","0.00","","","0.00","7232.73","-7166.14","12502.78","99.47","12502.78","42.15","08/28/23","3154","EDGE COMMERCIAL","C","0.00","0.00","66.59","08/26/24","11313-2","87.000","94.250"
"""11313.3""","""@35654A / CITY OF URBANDALE""","1","","0.00","823.14","765.52","","","0.00","1588.66","1296.59","2184.25","0.00","","131.38","0.00","3612.22","-2023.56","3797.00","58.16","6396.68","43.53","12/01/23","3154","EDGE COMMERCIAL","C","0.00","0.00","1588.66","05/27/24","11313","46.000","35.000"
"""11391.1""","""@tm / EAGLE SIGN CO.""","1","","14.96","11.50","10.70","","","0.00","37.16","0.00","0.00","0.00","","","0.00","0.00","37.16","0.00","","0.00","","08/04/23","4779","EAGLE SIGN CO.","C","0.00","0.00","37.16","07/30/24","11391","0.000","7.500"
"""11404.1""","""@36127 / BALDON HARDWARE""","1","","1023.41","17.50","16.28","","","0.00","1057.19","31.32","540.23","0.00","","1045.91","0.00","1617.46","-560.27","2481.92","57.40","2481.92","34.83","08/02/23","6146","BALDON HARDWARE","C","0.00","0.00","1057.19","04/30/24","11404","7.500","4.000"
"""11404.2""","""@36128 / BALDON HARDWARE""","1","","1023.42","5.75","5.35","","","0.00","1034.52","31.32","540.23","0.00","","1045.91","0.00","1617.46","-582.94","2481.92","58.32","2481.92","34.83","08/02/23","6146","BALDON HARDWARE","C","0.00","0.00","1034.52","04/30/24","11404","7.500","3.000"
"""11425.1""","""@35725 / RIALTO""","1","","2852.11","199.75","344.12","","","0.00","3395.98","14.50","913.08","0.00","","2819.59","0.00","3747.17","-351.19","5687.33","40.29","5687.33","34.11","09/22/23","2449","HUBBELL CONSTRUCTION SERVICES","C","0.00","0.00","3395.98","01/03/24","11425","12.000","20.500"
"""11428.1""","""@35956 / CITY OF DES MOINES""","1","","0.00","47.00","43.72","","4000.00","0.00","4090.72","193.58","2059.67","0.00","","8007.91","0.00","10261.16","-6170.44","14230.45","71.25","14230.45","27.89","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4090.72","09/25/24","11428","43.000","51.500"
"""11428.2""","""@35957 / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","4000.00","0.00","4000.00","193.58","1972.82","0.00","","7954.32","0.00","10120.72","-6120.72","14006.78","71.44","14006.78","27.74","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4000.00","09/25/24","11428","41.000","27.750"
"""11428.3""","""@35958 / CITY OF DES MOINES""","2","","0.00","0.00","0.00","","8000.00","0.00","8000.00","387.17","4119.31","0.00","","15579.54","0.00","20086.02","-12086.02","27899.56","71.33","27899.56","28.01","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","8000.00","09/25/24","11428","86.000","46.000"
"""11428.4""","""@35959 / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","4000.00","0.00","4000.00","193.58","2059.67","0.00","","7639.57","0.00","9892.82","-5892.82","13747.93","70.90","13747.93","28.04","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4000.00","09/25/24","11428","43.000","27.750"
"""11428.5""","""@35960 / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","4000.00","0.00","4000.00","193.58","2059.67","0.00","","7616.17","0.00","9869.42","-5869.42","13717.27","70.84","13717.27","28.05","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4000.00","09/25/24","11428","43.000","32.500"
"""11428.6""","""@35961 / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","4250.00","0.00","4250.00","31.53","564.38","0.00","","4450.00","0.00","5045.91","-795.91","6348.45","33.05","6348.45","20.52","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4250.00","09/25/24","11428","7.000","19.250"
"""11428.7""","""@35962 / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","4250.00","0.00","4250.00","31.53","564.38","0.00","","4450.00","0.00","5045.91","-795.91","6348.45","33.05","6348.45","20.52","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4250.00","09/25/24","11428","7.000","19.500"
"""11428.8""","""@35963 / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","4250.00","0.00","4250.00","834.40","1748.12","0.00","","6306.28","0.00","8888.80","-4638.80","12221.59","65.23","12221.59","27.27","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4250.00","09/25/24","11428","33.500","36.000"
"""11428.9""","""@35964 / CITY OF DES MOINES""","1","","0.00","0.00","0.00","","4250.00","0.00","4250.00","31.53","564.38","0.00","","4450.00","0.00","5045.91","-795.91","6348.45","33.05","6348.45","20.52","04/30/24","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","C","0.00","0.00","4250.00","09/25/24","11428","7.000",""
"""11454.3""","""@36272 / TUDDY´S TAVERN""","1","","2013.24","47.25","43.94","","","0.00","2104.43","136.36","947.43","0.00","","2438.24","0.00","3522.03","-1417.60","","","5297.38","33.51","10/05/23","6154","TUDDY'S TAVERN","C","0.00","0.00","2104.43","","","18.000","10.250"
"""11470.1""","""@tm / SUBWAY""","1","","1414.41","1483.91","1555.75","","","0.00","4454.07","0.00","0.00","0.00","","","0.00","0.00","4454.07","4894.00","8.99","4894.00","100.00","11/05/23","77950","NAGLE SIGNS, INC.","C","0.00","0.00","4454.07","02/12/24","11470","0.000","68.000"
"""11470.2""","""@tm / SUBWAY""","1","","2314.18","1280.71","1483.10","","","0.00","5077.99","0.00","0.00","0.00","","","0.00","0.00","5077.99","9005.90","43.61","9005.90","100.00","11/05/23","77950","NAGLE SIGNS, INC.","C","0.00","0.00","5077.99","02/12/24","11470","0.000","61.000"
"""11470.3""","""@tm / SUBWAY""","1","","910.84","445.26","453.99","","","0.00","1810.09","0.00","0.00","0.00","","","0.00","0.00","1810.09","4731.78","61.75","4731.78","100.00","11/05/23","77950","NAGLE SIGNS, INC.","C","0.00","0.00","1810.09","02/12/24","11470","0.000","53.250"
"""11470.4""","""@tm / SUBWAY""","1","","0.00","96.00","178.56","","","0.00","274.56","0.00","0.00","0.00","","","0.00","0.00","274.56","0.00","","0.00","","09/21/23","77950","NAGLE SIGNS, INC.","C","0.00","0.00","274.56","02/12/24","11470","0.000","4.000"
"""11497.1""","""@36302 / THE BREAKFAST CLUB""","1","","0.00","150.51","139.98","","","0.00","290.49","0.00","0.00","0.00","","","0.00","0.00","290.49","0.00","","150.00","100.00","11/08/23","6160","THE BREAKFAST CLUB","C","0.00","0.00","290.49","01/29/24","11497","0.000","7.000"
"""11497.2""","""@36318 / THE BREAKFAST CLUB""","1","","550.03","1524.22","1417.55","","1595.65","0.00","5087.45","1697.04","4985.80","0.00","","1348.15","0.00","8030.99","-2943.54","13844.11","63.25","13844.11","41.99","11/08/23","6160","THE BREAKFAST CLUB","C","0.00","0.00","5087.45","01/29/24","11497","105.000","111.750"
"""11497.3""","""@36664 / THE BREAKFAST CLUB""","1","","0.00","12.25","11.39","","","0.00","23.64","0.00","0.00","0.00","","","0.00","0.00","23.64","150.00","84.24","150.00","100.00","10/30/23","6160","THE BREAKFAST CLUB","C","0.00","0.00","23.64","01/29/24","11497","0.000","0.500"
"""11497.4""","""@36671 / THE BREAKFAST CLUB""","1","","146.00","18.19","16.92","","","0.00","181.11","0.00","109.11","0.00","","146.00","0.00","255.11","-74.00","409.81","55.81","409.81","37.75","10/31/23","6160","THE BREAKFAST CLUB","C","0.00","0.00","181.11","01/29/24","11497","2.250","0.750"
