"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/20 - 12/31/20"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""10000.1""","""@30662 / ANNA DOLCE RISTORANTE""","1","1","735.82","1067.41","1402.82","","225.00","0.00","3431.05","1017.86","2463.23","0.00","","48.45","0.00","3529.54","-98.49","5521.97","37.87","5521.97","36.08","12/31/20","5753","ANNA DOLCE RISTORANTE","F","0.00","0.00","0.00","12/31/20","10000","47.500","59.500"
"""10000.2""","""@30663 / ANNA DOLCE RISTORANTE""","1","1","737.40","1017.25","1205.93","","225.00","0.00","3185.58","1215.90","2166.01","0.00","","48.45","0.00","3430.36","-244.78","5245.87","39.27","5245.87","34.61","12/31/20","5753","ANNA DOLCE RISTORANTE","F","0.00","0.00","0.00","12/31/20","10000","40.500","58.250"
"""10000.3""","""@30867 / ANNA DOLCE RISTORANTE""","1","1","0.00","31.50","29.30","","","0.00","60.80","0.00","0.00","0.00","","","0.00","0.00","60.80","0.00","","135.00","100.00","12/31/20","5753","ANNA DOLCE RISTORANTE","F","0.00","0.00","0.00","12/31/20","10000","0.000","1.500"
"""10001.1""","""@30897 / CAT SCALE""","1","1","37142.67","88.25","82.08","","2650.00","0.00","39963.00","0.00","0.00","0.00","","","0.00","0.00","39963.00","62135.00","35.68","62135.00","100.00","12/22/20","18600","CAT SCALE","F","0.00","0.00","0.00","12/16/20","10001","0.000","5.250"
"""10005.1""","""@30767 / ANDERSON FINANCIAL, L""","1","1","2021.54","225.76","389.93","","","0.00","2637.23","26.55","381.04","0.00","","2006.58","0.00","2414.17","223.06","3420.74","22.90","3420.74","29.43","12/31/20","5756","ANDERSON FINANCIAL, L.L.C.","F","0.00","0.00","0.00","12/31/20","10005","7.250","12.500"
"""10006.1""","""@30790 / SCOOTER´S COFFEE""","1","1","642.98","729.76","1092.50","","","0.00","2465.24","810.72","1477.02","0.00","","","0.00","2287.74","177.50","3665.61","32.75","3665.61","37.59","12/30/20","5622","LOVING CUP, LLC- DBA: SCOOTER'S COFFEE","F","0.00","0.00","0.00","12/30/20","10006","28.500","41.500"
"""10006.2""","""@30907 / SCOOTER´S COFFEE""","1","1","0.00","21.00","19.53","","","0.00","40.53","0.00","0.00","0.00","","","0.00","0.00","40.53","0.00","","135.00","100.00","12/30/20","5622","LOVING CUP, LLC- DBA: SCOOTER'S COFFEE","F","0.00","0.00","0.00","12/30/20","10006","0.000","1.000"
"""10010.1""","""@30728 / H&R BLOCK""","1","1","0.00","168.25","312.72","","","0.00","480.97","8.70","221.43","0.00","","","0.00","230.13","250.84","625.00","23.04","325.00","29.19","12/16/20","3178","SOUTH WATER SIGNS","F","0.00","0.00","0.00","12/15/20","10010","2.500","9.500"
"""10011.1""","""@SERVICE / FARMERS SAVINGS BAN""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","","0.00","","12/28/20","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","12/23/20","10011","0.000",""
"""10011.2""","""@LEDconversion / FARMERS SAVIN""","1","1","0.00","56.25","104.63","","","0.00","160.88","0.00","0.00","0.00","","","0.00","0.00","160.88","180.00","10.62","180.00","100.00","12/28/20","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","12/23/20","10011","0.000","3.000"
"""10012.1""","""@30900 / VILLAGE OF PONDEROSA""","1","1","28.94","112.25","199.24","","","0.00","340.43","27.32","478.33","0.00","","","0.00","505.65","-165.22","739.09","53.94","739.09","31.58","12/11/20","4068","GRL PROPERTIES, LLC","F","0.00","0.00","0.00","12/07/20","10012","6.500","6.250"
"""10015.1""","""@30808 / AVAILA BANK""","1","1","55.00","65.13","115.66","","","0.00","235.79","9.36","125.18","0.00","","5.00","0.00","139.54","96.25","203.42","-15.91","203.42","31.40","12/22/20","5380","AVAILA BANK","F","0.00","0.00","0.00","12/21/20","10015","2.500","3.500"
"""10015.2""","""@30809 / AVAILA BANK""","1","1","808.17","98.64","138.50","","","0.00","1045.31","521.23","899.16","0.00","","148.50","0.00","1568.89","-523.58","2449.44","57.32","2449.44","35.95","12/22/20","5380","AVAILA BANK","F","0.00","0.00","0.00","12/21/20","10015","17.000","5.250"
"""10015.3""","""@30810 / AVAILA BANK""","1","1","157.32","91.26","118.46","","","0.00","367.04","74.49","476.19","0.00","","3.00","0.00","553.68","-186.64","857.50","57.20","857.50","35.43","12/22/20","5380","AVAILA BANK","F","0.00","0.00","0.00","12/21/20","10015","8.500","5.250"
"""10015.4""","""@30811 / AVAILA BANK""","1","1","9.61","37.63","55.92","","","0.00","103.16","9.61","125.18","0.00","","","0.00","134.79","-31.63","200.51","48.55","200.51","32.78","12/21/20","5380","AVAILA BANK","F","0.00","0.00","0.00","12/21/20","10015","2.500","2.250"
"""10015.5""","""@30841 / AVAILA BANK""","1","1","1.92","7.50","6.98","","","0.00","16.40","1.92","51.99","0.00","","","0.00","53.91","-37.51","28.96","43.37","77.38","30.33","12/21/20","5380","AVAILA BANK","F","0.00","0.00","0.00","12/21/20","10015","1.000","0.500"
"""10015.6""","""@30843 / AVAILA BANK""","1","1","7.57","33.88","48.95","","","0.00","90.40","5.77","125.18","0.00","","","0.00","130.95","-40.55","192.81","53.11","192.81","32.08","12/21/20","5380","AVAILA BANK","F","0.00","0.00","0.00","12/21/20","10015","2.500","2.000"
"""10015.7""","""@30944 / AVAILA BANK""","1","1","0.00","15.75","14.65","","","0.00","30.40","0.00","0.00","0.00","","","0.00","0.00","30.40","0.00","","135.00","100.00","12/21/20","5380","AVAILA BANK","F","0.00","0.00","0.00","12/21/20","10015","0.000","0.750"
"""10016.1""","""@30949 / CAT SCALE""","1","1","1868.18","24.75","23.02","","124.97","0.00","2040.92","0.00","0.00","0.00","","","0.00","0.00","2040.92","6660.00","69.36","6660.00","100.00","12/17/20","18600","CAT SCALE","F","0.00","0.00","0.00","12/11/20","10016","0.000","1.500"
