"15 FEB 2026","18:14:32","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/14 through 12/31/14",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",

"4773","01/09/14","VINYL","4773.1","12639","111.16","55.58","55.58","50.00","","6.67","141.36","222.92","36.59","","","3675","HYDRO KLEAN","KENT","","","","","","DEFAULT","HYDRO KLEAN","DES MOINES","IA",
"4773","","","Invoice Totals","","111.16","55.58","55.58","50.00","0.00","6.67","141.36","222.92","36.59","","","3675","HYDRO KLEAN","KENT","","","","","",

"4885-7","01/28/14","DRCT","4885.23","13180","4763.20","4110.25","652.95","13.71","","","390.97","595.40","34.33","","","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","DRCT","4885.24","13181","1272.24","1011.18","261.06","20.52","","","413.74","636.12","34.96","","","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","DRCT","4885.31","13196","595.40","72.36","523.04","87.85","","","390.97","595.40","34.33","","","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","ALUM","4885.39","14789","1500.00","770.30","729.70","48.65","","","710.95","1201.42","40.82","1500.00","52.60","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","MISC","4885.40","","1000.00","0.00","1000.00","100.00","","","","","","","","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","DRCT","4885.41","15031","225.63","279.90","-54.27","-24.05","","","144.57","228.17","36.64","225.63","35.93","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","DRCT","4885.42","15030","1650.00","706.07","943.93","57.21","","","882.99","1349.87","34.59","1650.00","46.49","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","PYLON","4885.43","14874","7300.00","3858.24","3441.76","47.15","","","4382.03","7272.39","39.74","7300.00","39.97","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","01/28/14","MISC","4885.44","","375.00","157.24","217.76","58.07","","","","","","","","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7","","","Invoice Totals","","18681.47","10965.54","7715.93","41.30","0.00","0.00","7316.22","11878.77","38.41","10675.63","31.47","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","",

"4885-7CR","02/24/14","ALUM","20*3010*","","-635.24","0.00","-635.24","100.00","","","","","","","","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","","DEFAULT","DES MOINES INTERNATIONAL AIRPO","Des Moines","IA",
"4885-7CR","","","Invoice Totals","","-635.24","0.00","-635.24","100.00","0.00","0.00","0.00","0.00","","","","35250","DES MOINES INTERNATIONAL AIRPO","JOEP","","","","","",

"4994","01/09/14","MONMNT","4994.1","13847","11380.47","5221.58","6158.89","54.12","","682.83","7329.72","11380.47","35.59","","","3816","VESTA SALON & SPA","KENT","","","","","","DEFAULT","VESTA SALON & SPA","ANKENY","IA",
"4994","","","Invoice Totals","","11380.47","5221.58","6158.89","54.12","0.00","682.83","7329.72","11380.47","35.59","","","3816","VESTA SALON & SPA","KENT","","","","","",

"5061","02/06/14","INSTL","5061.1","14076","1712.32","935.00","777.32","45.40","74.60","141.56","598.23","856.16","30.13","","","3180","PRECISION SIGNS  LTD.","KENT","","","","","","11","EZ PAWN #H0010","COUNCIL BLUFFS","IA",
"5061","02/06/14","INSTL","5061.2","14166","310.04","900.00","-589.96","-190.29","","","145.59","264.15","44.88","310.04","53.04","3180","PRECISION SIGNS  LTD.","KENT","","","","","","11","EZ PAWN #H0010","COUNCIL BLUFFS","IA",
"5061","02/06/14","OUTS","5061.3","","0.00","0.00","0.00","","","","","","","","","3180","PRECISION SIGNS  LTD.","KENT","","","","","","11","EZ PAWN #H0010","COUNCIL BLUFFS","IA",
"5061","","","Invoice Totals","","2022.36","1835.00","187.36","9.26","74.60","141.56","743.82","1120.31","33.61","310.04","-139.91","3180","PRECISION SIGNS  LTD.","KENT","","","","","",

"5076","04/03/14","VINYL","5076.2","13937","187.47","97.45","90.02","48.02","116.00","471.02","117.12","190.69","38.58","187.47","37.53","3846","FIRST FAMILY CHURCH","MIKEE","","","","","","DEFAULT","FIRST FAMILY CHURCH","ANKENY","IA",
"5076","04/03/14","VINYL","5076.3","13943","208.18","334.35","-126.17","-60.61","","","145.45","208.18","30.13","","","3846","FIRST FAMILY CHURCH","MIKEE","","","","","","DEFAULT","FIRST FAMILY CHURCH","ANKENY","IA",
"5076","04/03/14","MONMNT","5076.4","14294","5865.40","3759.98","2105.42","35.90","","","3834.05","5865.40","34.63","","","3846","FIRST FAMILY CHURCH","MIKEE","","","","","","DEFAULT","FIRST FAMILY CHURCH","ANKENY","IA",
"5076","04/03/14","VINYL","5076.5","14921","93.74","36.04","57.70","61.55","","","0.00","0.00","","","","3846","FIRST FAMILY CHURCH","MIKEE","","","","","","DEFAULT","FIRST FAMILY CHURCH","ANKENY","IA",
"5076","04/03/14","PLFORM","5076.6","14977","1495.47","709.37","786.10","52.57","","","1053.42","1495.47","29.56","","","3846","FIRST FAMILY CHURCH","MIKEE","","","","","","DEFAULT","FIRST FAMILY CHURCH","ANKENY","IA",
"5076","","","Invoice Totals","","7850.26","4937.19","2913.07","37.11","116.00","471.02","5150.04","7759.74","33.63","187.47","-2647.13","3846","FIRST FAMILY CHURCH","MIKEE","","","","","",

"5079","01/08/14","CHANNL","5079.1","12494","5287.26","1466.25","3821.01","72.27","1461.00","","4076.87","5287.26","22.89","","","3815","ELBA INTERNATIONAL MANAGEMENT","MIKEE","","","","","","1","CHARLEYÇS GRILLED SUBS","WELLINGTON","FL",
"5079","01/08/14","MISC","5079.2","12523","1116.47","499.27","617.20","55.28","","","681.58","1116.47","38.95","","","3815","ELBA INTERNATIONAL MANAGEMENT","MIKEE","","","","","","1","CHARLEYÇS GRILLED SUBS","WELLINGTON","FL",
"5079","01/08/14","FRT","5079.3","13741","225.67","153.44","72.23","32.01","","","167.16","225.67","25.93","","","3815","ELBA INTERNATIONAL MANAGEMENT","MIKEE","","","","","","1","CHARLEYÇS GRILLED SUBS","WELLINGTON","FL",
"5079","01/08/14","INSTL","5079.4","13842","2841.33","3402.49","-561.16","-19.75","","","1710.94","2241.33","23.66","2841.33","39.78","3815","ELBA INTERNATIONAL MANAGEMENT","MIKEE","","","","","","1","CHARLEYÇS GRILLED SUBS","WELLINGTON","FL",
"5079","","","Invoice Totals","","9470.73","5521.45","3949.28","41.70","1461.00","0.00","6636.55","8870.73","25.19","2841.33","-133.57","3815","ELBA INTERNATIONAL MANAGEMENT","MIKEE","","","","","",

"5090","02/28/14","MONMNT","5090.1","","60000.00","35624.12","24375.88","40.63","","","","","","","","77950","NAGLE SIGNS  INC.","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"5090","","","Invoice Totals","","60000.00","35624.12","24375.88","40.63","0.00","0.00","0.00","0.00","","","","77950","NAGLE SIGNS  INC.","HOUSE","","","","","",

