"15 FEB 2026","18:19:48","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 01/01/11 through 12/31/11",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"3287","02/07/11","01","77950","NAGLE SIGNS  INC.","458.25","552.72","-94.47","-20.62","","","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","01","","Product Totals","458.25","552.72","-94.47","-20.62","0.00","",

"3771","10/17/11","ALUM","2906","AMERICAN MARKING","29.40","16.80","12.60","42.86","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"","","ALUM","","Product Totals","29.40","16.80","12.60","42.86","0.00","",

"3659","09/15/11","INSTL","77950","NAGLE SIGNS  INC.","1854.19","1276.39","577.80","31.16","","","","","","","","14","CASEY'S GENERAL STORES","SAINT CHARLES","IA",
"3660","08/31/11","INSTL","77950","NAGLE SIGNS  INC.","1830.00","1199.82","630.18","34.44","","","","","","","","15","CASEY'S GENERAL STORE","CENTERVILLE","IA",
"3857","11/23/11","INSTL","3284","ARCHETYPE SIGNMAKES","130.00","0.00","130.00","100.00","","","","","","","","DEFAULT","ARCHETYPE SIGNMAKES","EAGAN","MN",
"","","INSTL","","Product Totals","3814.19","2476.21","1337.98","35.08","0.00","",

"3246","01/18/11","MISC","77950","NAGLE SIGNS  INC.","300.00","168.00","132.00","44.00","","","","","","","","DEFAULT","Kum & Go/ QuiznoÇs","Grimes","IA",
"3466","05/06/11","MISC","3168","ALBAUGH INC.","133.00","40.60","92.40","69.47","","","","","","","","DEFAULT","ALBAUGH INC.","ANKENY","IA",
"3793","10/24/11","MISC","2906","AMERICAN MARKING","254.37","140.08","114.29","44.93","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"3832","11/16/11","MISC","3292","JONES GEOCON","27.51","2.43","25.08","91.17","","","","","","","","DEFAULT","JONES GEOCON","BONNER SPRINGS","KS",
"","","MISC","","Product Totals","714.88","351.11","363.77","50.89","0.00","",

"3760","11/18/11","OUTS","3248","BASELINE FITNESS","0.00","125.00","-125.00","","","","","","","","","2","PLANET FITNESS","GRAND FORKS","ND",
"","","OUTS","","Product Totals","0.00","125.00","-125.00","","0.00","",

"3174","02/04/11","REPFCE","87350","PIONEER","0.00","57.80","-57.80","","","","","","","","","3","PIONEER","URBANDALE","IA",
"","","REPFCE","","Product Totals","0.00","57.80","-57.80","","0.00","",

"SC2073","01/12/11","SRVCE","117200","ULTIMATE AUTO WASH","0.00","108.70","-108.70","","","","","","","","","DEFAULT","ULTIMATE AUTO WASH","Des Moines","IA",
"SC2126","01/20/11","SRVCE","3029","CITY OF HUXLEY","0.00","63.00","-63.00","","","","","","","","","1","HUXLEY BUSINESS PARK","HUXLEY","IA",
"SC2181","01/17/11","SRVCE","3081","GREAT CLIPS","0.00","0.00","0.00","","","","","","","","","DEFAULT","GREAT CLIPS","WEST DES MOINES","IA",
"SC2194","02/21/11","SRVCE","3062","GRX HOLDINGS  LLC.","0.00","217.70","-217.70","","","","","","","","","1","MEDICAP PHARMACY","ALTOONA","IA",
"SC2195","07/12/11","SRVCE","3099","ST PAUL LUTHERAN CHURCH","0.00","0.00","0.00","","","","","","","","","DEFAULT","ST PAUL LUTHERAN CHURCH","AMES","IA",
"SC2217","03/23/11","SRVCE","3090","LEMBERG ELECTRIC","0.00","0.00","0.00","","","","","","","","","1","PENZEYÇS SPICES","WEST DES MOINES","IA",
"SC2256","05/11/11","SRVCE","3169","SONNY NAILS","0.00","18.20","-18.20","","","","","","","","","DEFAULT","SONNY NAILS","DES MOINES","IA",
"SC2264","05/27/11","SRVCE","3166","CELLULAR WORLD","0.00","27.30","-27.30","","","","","","","","","1","SPRINT","DES MOINES","IA",
"SC2280","06/27/11","SRVCE","3198","ANG PROPERTIES","0.00","54.60","-54.60","","","","","","","","","DEFAULT","ANG PROPERTIES","ANKENY","IA",
"SC2285","08/18/11","SRVCE","2885","BOB BROWN BUICK GMC","9450.13","5701.06","3749.07","39.67","28.00","","","","","","","DEFAULT","BOB BROWN","ANKENY","IA",
"SC2285","08/18/11","SRVCE","2885","BOB BROWN BUICK GMC","541.08","212.80","328.28","60.67","","","","","","","","DEFAULT","BOB BROWN","ANKENY","IA",
"SC2326","10/11/11","SRVCE","3245","LIAR'S CLUB","0.00","9.10","-9.10","","","","","","","","","DEFAULT","LIARÇS CLUB","DES MOINES","IA",
"SC2332","10/26/11","SRVCE","3251","PANCHERO'S MEXICAN GRILL","0.00","91.00","-91.00","","","","","","","","","DEFAULT","PANCHEROÇS MEXICAN GRILL","URBANDALE","IA",
"SC2346","10/18/11","SRVCE","97800","SCHOOL ADMINISTRATOR'S OF IOWA","0.00","71.73","-71.73","","","","","","","","","DEFAULT","SCHOOL ADMINISTRATORÇS OF IOWA","Clive","IA",
"SC2364","10/24/11","SRVCE","3197","GEORGE SLATTERY","0.00","242.09","-242.09","","","","","","","","","2","SUBWAY","ANKENY","IA",
"SC2374","10/28/11","SRVCE","3265","ECHO ELECTRIC","0.00","42.98","-42.98","","","","","","","","","DEFAULT","ECHO ELECTRIC","DES MOINES","IA",
"SC2428","12/21/11","SRVCE","3316","KAREN BAUMUNK","0.00","0.00","0.00","","","","","","","","","DEFAULT","KAREN BAUMUNK","GRIMES","IA",
"","","SRVCE","","Product Totals","9991.21","6860.26","3130.95","31.34","28.00","",

"3259","04/19/11","WARVIN","38050","EAGLE SIGN CO.","0.00","105.75","-105.75","","","","","","","","","DEFAULT","EAGLE SIGN CO.","DES MOINES","IA",
"","","WARVIN","","Product Totals","0.00","105.75","-105.75","","0.00","",

"","","","","Salesperson  Totals","15007.93","10545.65","4462.28","29.73","28.00","",

"3517","06/14/11","CHANNL","3169","SONNY NAILS","1844.21","898.71","945.50","51.27","","ADAM","0.030","","","","","DEFAULT","SONNY NAILS","DES MOINES","IA",
"","","CHANNL","","Product Totals","1844.21","898.71","945.50","51.27","0.00","ADAM",

"3517","06/14/11","MISC","3169","SONNY NAILS","0.00","71.05","-71.05","","","ADAM","0.030","","","","","DEFAULT","SONNY NAILS","DES MOINES","IA",
"3898","12/27/11","MISC","1100","ABC ELECTRICAL CONTRACTORS ","404.81","188.80","216.01","53.36","","ADAM","0.030","","","","","DEFAULT","ABC ELECTRICAL CONTRACTORS,","Des Moines","IA",
"","","MISC","","Product Totals","404.81","259.85","144.96","35.81","0.00","ADAM",

"3284","02/03/11","NEON","3089","SONIA SHOESMITH","100.00","50.00","50.00","50.00","","ADAM","0.030","","","","","DEFAULT","SONIA SHOESMITH","WEST DES MOINES","IA",
"","","NEON","","Product Totals","100.00","50.00","50.00","50.00","0.00","ADAM",

"","","","","Salesperson ADAM Totals","2349.02","1208.56","1140.46","48.55","0.00","ADAM",

"3171","12/27/11","01","42300","FAREWAY STORES  INC.","0.00","47.20","-47.20","","","BRIANT","","","","","","DEFAULT","FAREWAY STORES, INC.","Boone","IA",
"","","01","","Product Totals","0.00","47.20","-47.20","","0.00","BRIANT",

"3271","02/03/11","ALUM","42300","FAREWAY STORES  INC.","1215.37","892.00","323.37","26.61","50.00","BRIANT","","","","","","15","FAREWAY STORES INC.","DUBUQUE","IA",
"3512","06/15/11","ALUM","3185","SHELDAHL CROSSING","192.37","95.41","96.96","50.40","","BRIANT","","","","","","DEFAULT","SHELDAHL CROSSING","SLATER","IA",
"3553","06/23/11","ALUM","3196","MOM'S MEALS","1830.76","836.59","994.17","54.30","","BRIANT","","","","","","1","MOMÇS MEALS","NEVADA","IA",
"3847","11/18/11","ALUM","3296","STYLEYES","476.60","168.58","308.02","64.63","","BRIANT","","","","","","DEFAULT","STYLEYES","AMES","IA",
"","","ALUM","","Product Totals","3715.10","1992.58","1722.52","46.37","50.00","BRIANT",

"3183","01/19/11","AWNING","3046","SEARS  ROEBUCK AND CO.","2538.42","1898.33","640.09","25.22","55.00","BRIANT","","","","","","DEFAULT","SEARS, ROEBUCK AND CO.","WEST DES MOINES","IA",
"3346","02/28/11","AWNING","3113","ART INSTITUTE","60.00","0.00","60.00","100.00","","BRIANT","","","","","","DEFAULT","ART INSTITUTE","CLIVE","IA",
"3350","03/30/11","AWNING","3115","HY-VEE FOOD STORES","1421.35","571.29","850.06","59.81","","BRIANT","","","","","","DEFAULT","HY-VEE FOOD STORES","URBANDALE","IA",
"3370","04/24/11","AWNING","3122","ACCU-MOLD LLC","2351.91","1174.25","1177.66","50.07","54.00","BRIANT","","","","","","DEFAULT","ACCU-MOLD LLC","ANKENY","IA",
"3460","06/30/11","AWNING","3164","THE CAFE","8117.44","5987.14","2130.30","26.24","","BRIANT","","","","","","DEFAULT","THE CAFE","AMES","IA",
"3488","06/14/11","AWNING","3179","FISCUS DIAMOND JEWELERS","2973.51","1580.34","1393.17","46.85","54.00","BRIANT","","","","","","DEFAULT","FISCUS DIAMOND JEWELERS","ANKENY","IA",
"3532","07/27/11","AWNING","3180","PRECISION SIGNS  LTD.","5587.03","4000.00","1587.03","28.41","113.50","BRIANT","","","","","","8","EZ PAWN #H0005","MASON CITY","IA",
"3533","07/20/11","AWNING","3180","PRECISION SIGNS  LTD.","4173.15","1702.27","2470.88","59.21","","BRIANT","","","","","","4","EZ PAWN #H0003","AMES","IA",
"3551","06/30/11","AWNING","2580","NEWTON HEALTHCARE","1550.93","638.85","912.08","58.81","","BRIANT","","","","","","DEFAULT","NEWTON HEALTHCARE","NEWTON","IA",
"3630","09/13/11","AWNING","3115","HY-VEE FOOD STORES","392.40","212.62","179.78","45.82","","BRIANT","","","","","","DEFAULT","HY-VEE FOOD STORES","URBANDALE","IA",
"3704","12/30/11","AWNING","3239","GOLDEN CORRAL","11941.37","4491.27","7450.10","62.39","166.50","BRIANT","","","","","","DEFAULT","GOLDEN CORRAL","BOONE","IA",
"3717","10/17/11","AWNING","2460","DOWNING INC.","3497.18","1759.10","1738.08","49.70","","BRIANT","","","","","","3","HARRISONÇS","INDIANOLA","IA",
"","","AWNING","","Product Totals","44604.69","24015.46","20589.23","46.16","443.00","BRIANT",

"3530","07/28/11","BANNER","3180","PRECISION SIGNS  LTD.","447.35","178.27","269.08","60.15","","BRIANT","","","","","","1","EZ PAWN #H0009","DES MOINES","IA",
"3532","07/27/11","BANNER","3180","PRECISION SIGNS  LTD.","447.35","207.54","239.81","53.61","","BRIANT","","","","","","8","EZ PAWN #H0005","MASON CITY","IA",
"3592","07/14/11","BANNER","2602","ANKENY AREA CHAMBER OF COMMERCE","390.47","230.73","159.74","40.91","","BRIANT","","","","","","DEFAULT","ANKENY AREA CHAMBER OF COMMERCE","ANKENY","IA",
"3592","07/14/11","BANNER","2602","ANKENY AREA CHAMBER OF COMMERCE","893.10","0.00","893.10","100.00","","BRIANT","","","","","","DEFAULT","ANKENY AREA CHAMBER OF COMMERCE","ANKENY","IA",
"","","BANNER","","Product Totals","2178.27","616.54","1561.73","71.70","0.00","BRIANT",

"3296","02/23/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","6063.36","2769.38","3293.98","54.33","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3322","02/28/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","6063.36","2595.94","3467.42","57.19","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3339","05/11/11","BLDG","49300","GIT N GO CONVENIENCE STORES","17831.77","13903.88","3927.89","22.03","127.00","BRIANT","","","","","","1","GIT N GO CONVENIENCE STORE","WINTERSET","IA",
"3411","04/20/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","1318.12","663.67","654.45","49.65","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3419","04/20/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","1318.12","654.91","663.21","50.31","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3429","05/16/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","1296.90","614.02","682.88","52.65","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3437","05/16/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","1296.90","668.79","628.11","48.43","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3459","06/06/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","1296.90","655.80","641.10","49.43","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3513","06/06/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","6063.36","2715.23","3348.13","55.22","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3538","07/27/11","BLDG","95950","NATIONAL CARWASH SOLUTIONS","1278.84","507.55","771.29","60.31","","BRIANT","","","","","","DEFAULT","RYKO MANUFACTURING","Grimes","IA",
"3730","10/18/11","BLDG","73650","MERCURY INSURANCE","1699.38","1169.33","530.05","31.19","","BRIANT","","","","","","45","BROWNELL WILLIAMS & FIX","UPLAND","CA",
"3753","10/18/11","BLDG","73650","MERCURY INSURANCE","1699.38","1044.10","655.28","38.56","","BRIANT","","","","","","46","IIS INSURANCE SERVICES","SHERMAN OAKS","CA",
"3824","11/30/11","BLDG","3242","SWANSON SIGN COMPANY","753.53","208.74","544.79","72.30","","BRIANT","","","","","","1","TACO JOHNÇS - SWANSON SIGN","MCCOOK","NE",
"3824","11/30/11","BLDG","3242","SWANSON SIGN COMPANY","721.30","113.80","607.50","84.22","","BRIANT","","","","","","1","TACO JOHNÇS - SWANSON SIGN","MCCOOK","NE",
"3831","11/30/11","BLDG","3290","LIME LOUNGE","2133.01","1045.10","1087.91","51.00","42.00","BRIANT","","","","","","DEFAULT","LIME LOUNGE","DES MOINES","IA",
"3843","12/05/11","BLDG","110100","TACO JOHN'S OF IOWA","952.34","371.13","581.21","61.03","","BRIANT","","","","","","4","TACO JOHNÇS","ALTOONA","IA",
"3848","12/30/11","BLDG","43900","FINANCIAL PLUS CREDIT UNION","3573.70","1737.76","1835.94","51.37","286.02","BRIANT","","","","","","DEFAULT","FINANCIAL PLUS CREDIT UNION","WEST DES MOINES","IA",
"","","BLDG","","Product Totals","55360.27","31439.13","23921.14","43.21","455.02","BRIANT",

"2979","04/19/11","CHANNL","2196","GANDER MOUNTAIN COMPANY","6964.46","4761.59","2202.87","31.63","767.00","BRIANT","","","","","","20","Gander Mountain","West Mifflin","PA",
"2979","04/19/11","CHANNL","2196","GANDER MOUNTAIN COMPANY","2621.24","1025.25","1595.99","60.89","","BRIANT","","","","","","20","Gander Mountain","West Mifflin","PA",
"3213","01/31/11","CHANNL","3062","GRX HOLDINGS  LLC.","849.82","342.89","506.93","59.65","","BRIANT","","","","","","1","MEDICAP PHARMACY","ALTOONA","IA",
"3230","02/28/11","CHANNL","110100","TACO JOHN'S OF IOWA","3052.96","938.78","2114.18","69.25","","BRIANT","","","","","","16","TACO JOHNÇS","WEST DES MOINES","IA",
"3230","02/28/11","CHANNL","110100","TACO JOHN'S OF IOWA","2092.89","1355.86","737.03","35.22","","BRIANT","","","","","","16","TACO JOHNÇS","WEST DES MOINES","IA",
"3230","02/28/11","CHANNL","110100","TACO JOHN'S OF IOWA","1295.78","928.19","367.59","28.37","","BRIANT","","","","","","16","TACO JOHNÇS","WEST DES MOINES","IA",
"3230","02/28/11","CHANNL","110100","TACO JOHN'S OF IOWA","1374.58","658.59","715.99","52.09","","BRIANT","","","","","","16","TACO JOHNÇS","WEST DES MOINES","IA",
"3233","01/31/11","CHANNL","3069","ALTOONA SMILES PC FAMILY DENTISTRY","4490.97","2209.55","2281.42","50.80","","BRIANT","","","","","","DEFAULT","ALTOONA SMILES PC FAMILY DENTISTRY","ALTOONA","IA",
"3306","02/24/11","CHANNL","3094","ME 'N MOMMY TO BE","3315.40","3183.51","131.89","3.98","63.00","BRIANT","","","","","","DEFAULT","ME ÇN MOMMY TO BE","ANKENY","IA",
"3316","04/18/11","CHANNL","42300","FAREWAY STORES  INC.","15576.78","8082.17","7494.61","48.11","","BRIANT","","","","","","20","FAREWAY STORES, INC.","NEBRASKA CITY","NE",
"3353","03/09/11","CHANNL","3117","J & S CUSTOM CYCLE","2099.26","1348.52","750.74","35.76","89.00","BRIANT","","","","","","DEFAULT","J & S CUSTOM CYCLE","DES MOINES","IA",
"3387","04/13/11","CHANNL","3133","DRAKE UNIVERSITY","4307.23","2807.97","1499.26","34.81","","BRIANT","","","","","","1","DRAKE UNIVERSITY","DES MOINES","IA",
"3400","04/24/11","CHANNL","3095","CROWN FAMILY DENTAL","3973.72","1521.63","2452.09","61.71","106.00","BRIANT","","","","","","DEFAULT","CROWN FAMILY DENTAL","DES MOINES","IA",
"3406","05/18/11","CHANNL","110100","TACO JOHN'S OF IOWA","1641.06","625.20","1015.86","61.90","","BRIANT","","","","","","17","TACO JOHNÇS","WEST DES MOINES","IA",
"3406","05/18/11","CHANNL","110100","TACO JOHN'S OF IOWA","567.17","205.75","361.42","63.72","","BRIANT","","","","","","17","TACO JOHNÇS","WEST DES MOINES","IA",
"3545","07/28/11","CHANNL","42300","FAREWAY STORES  INC.","24786.76","15614.56","9172.20","37.00","","BRIANT","","","","","","DEFAULT","FAREWAY STORES, INC.","Boone","IA",
"3612","08/18/11","CHANNL","42300","FAREWAY STORES  INC.","15576.78","8366.65","7210.13","46.29","","BRIANT","","","","","","23","FAREWAY STORES, INC.","MARSHALLTOWN","IA",
