"15 FEB 2026","18:12:18","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/06 through 12/31/06",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",

"NO RECORDS FOUND MATCHING SELECTION CRITERIA",
