"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/19 - 12/31/19"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""64679""","""221-0200 5'-4 1/2"" X 20' STAND""","1","1","4101.95","578.46","537.98","","","0.00","5218.39","2848.65","849.20","0.00","","","0.00","3697.85","1520.54","","","0.00","","09/27/19","","","F","5247.72","0.00","0.00","","","20.000","31.250"
"""66085""","""221-0300 5'-4 1/2"" X 20' STAND""","1","1","630.43","243.89","226.82","","","0.00","1101.14","1093.50","339.68","0.00","","","0.00","1433.18","-332.04","","","0.00","","07/12/19","","","F","1619.15","0.00","0.00","","","8.000","18.750"
"""66194""","""221-0300 5'-4 1/2"" X 20' STAND""","1","1","1158.72","176.25","163.92","","","0.00","1498.89","1164.51","339.68","0.00","","","0.00","1504.19","-5.30","","","0.00","","02/26/19","","","F","1463.82","0.00","0.00","","","8.000","10.500"
"""66195""","""221-0300 5'-4 1/2"" X 20' STAND""","1","1","609.66","252.57","234.91","","","0.00","1097.14","1164.51","339.68","0.00","","","0.00","1504.19","-407.05","","","0.00","","06/30/19","","","F","1619.15","0.00","0.00","","","8.000","21.000"
"""66200""","""221-0190 STANDARD CAT SCALE SP""","1","1","498.54","138.00","128.36","","","0.00","764.90","411.97","339.68","0.00","","","0.00","751.65","13.25","","","0.00","","01/04/19","","","F","795.18","0.00","0.00","","","8.000","8.000"
"""66205""","""221-0190 STANDARD CAT SCALE SP""","1","1","498.54","112.00","104.18","","","0.00","714.72","411.97","339.68","0.00","","","0.00","751.65","-36.93","","","0.00","","01/16/19","","","F","795.18","0.00","0.00","","","8.000","6.500"
"""66206""","""221-0190 STANDARD CAT SCALE SP""","1","1","519.70","112.50","104.63","","","0.00","736.83","411.97","339.68","0.00","","","0.00","751.65","-14.82","","","0.00","","01/24/19","","","F","795.18","0.00","0.00","","","8.000","6.500"
"""66207""","""221-0190 STANDARD CAT SCALE SP""","1","1","508.05","91.25","84.87","","","0.00","684.17","411.97","339.68","0.00","","","0.00","751.65","-67.48","","","0.00","","01/31/19","","","F","795.18","0.00","0.00","","","8.000","5.250"
"""66208""","""221-0190 STANDARD CAT SCALE SP""","1","1","499.87","141.63","131.72","","","0.00","773.22","411.97","339.68","0.00","","","0.00","751.65","21.57","","","0.00","","02/11/19","","","F","795.18","0.00","0.00","","","8.000","7.750"
"""66209""","""221-0190 STANDARD CAT SCALE SP""","1","1","499.87","137.01","127.43","","","0.00","764.31","411.97","339.68","0.00","","","0.00","751.65","12.66","","","0.00","","02/13/19","","","F","795.18","0.00","0.00","","","8.000","7.500"
