"02-15-26","","","Eagle Sign Company","DIVISION 20","","DATE RANGE:  01/01/19 - 12/31/19","","","","","","","0099","","","","","","","0100","","","","","","","0200","","","","","","","0300","","","","","","","0400","","","","","","","0500","","","","","","","0600","","","","","","","0700","","","","","","","0800","","","","","","","5010","","","","","","","5190","","","","","","","5200","","","","","","","5300","","","","","","","5307","","","","","","","6000","","","","","","","6010","","","","","","","6020","","","","","","","6030","","","","","","","6040","","","","","","","6050","","","","","","","9820","","","","","ADJ"
"","","","","","","","","","","","","","PERMITTING","","","","","","","ART DEPARTMENT","","","","","","","FABRICATION","","","","","","","ELECTRICAL","","","","","","","PAINT","","","","","","","VINYL & GRAPHICS","","","","","","","INSTALLATION","","","","","","","SERVICE","","","","","","","TRAVEL","","","","","","","VEHICLE MAINTENANCE","","","","","","","SALES","","","","","","","JANITORIAL","","","","","","","OFFICE","","","","","","","Management Labor","","","","","","","VACATION PAY","","","","","","","PERSONAL/SICK PAY","","","","","","","MISC BENEFIT PAY","","","","","","","EMPLOYEE BONUS","","","","","","","HOLIDAY PAY","","","","","","","INDIRECT SHOP LABOR","","","","","","","Service Labor - Overtime","","","","","Adjust/Transfer"
"WO #","Due Date","Customer #","Customer Name","Job Location","Quote #","Description","Sign Type","Template Code","WO Status","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Est Hrs","Act Hrs","Variance","Est Dollars","Act Dollars","Variance","","Act Dollars","","Tot Est Hrs","Tot Act Hrs","Tot Variance","Tot Est Dollars","Tot Act Dollars","Tot Variance"
"9232.1","07/02/19","5511","120 W HICKMAN LLC","WAUKEE, IA","27327A"," Cancelled - could not permit.","MONDF","","Acct Closed","","0.000","0.500","-0.500","0.00","20.27","-20.27","","1.000","0.000","1.000","42.46","0.00","42.46","","24.000","0.000","24.000","1019.04","0.00","1019.04","","5.000","0.000","5.000","212.30","0.00","212.30","","7.000","0.000","7.000","297.22","0.00","297.22","","","","","","","","","13.000","0.000","13.000","972.40","0.00","972.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.000","0.500","49.500","2543.42","20.27","2523.15"
"9232.2","08/27/19","5511","120 W HICKMAN LLC","WAUKEE, IA","27153"," Staff time for procurement of permit.","AWNNON","","Acct Closed","","0.000","1.000","-1.000","0.00","40.53","-40.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.000","-1.000","0.00","40.53","-40.53"
"9232.4","08/27/19","5511","120 W HICKMAN LLC","WAUKEE, IA","27155"," Fabricate and install a shed style awning, 36""H x 32"" projection 19´-6""W, black FIRESIST 82008-0000 fabric, open ends, aluminum frames painted black. NEW CONSTRUCTION USE TAX INCLUDED IN THIS PRICE.","AWNNON","AWNING","Acct Closed","","","","","","","","","1.000","0.000","1.000","42.46","0.00","42.46","","9.000","7.000","2.000","382.14","246.58","135.56","","","","","","","","","4.500","2.500","2.000","191.07","94.10","96.97","","","","","","","","","4.000","9.250","-5.250","400.40","484.94","-84.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.500","18.750","-0.250","1016.07","825.62","190.45"
"9232.5","09/05/19","5511","120 W HICKMAN LLC","WAUKEE, IA","28175"," Fabricate and install double sided LED illuminated monument sign cabinet. Cabinet is painted with (3) blank removable tenant panels. Eagle price includes providing and setting (1) 5"" x 1","MONDF","","Acct Closed","","","","","","","","","1.000","0.000","1.000","42.46","0.00","42.46","","24.500","19.500","5.000","1040.27","679.03","361.24","","4.000","4.750","-0.750","169.84","167.31","2.53","","5.000","5.000","0.000","212.30","188.21","24.09","","0.000","0.500","-0.500","0.00","19.78","-19.78","","13.000","16.750","-3.750","972.40","906.42","65.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.500","46.500","1.000","2437.27","1960.75","476.52"
"9232.6","09/15/19","5511","120 W HICKMAN LLC","WAUKEE, IA","27154"," Fabricate and install shed style awning, 36""H x 32"" projection 17´-7""W, black FIRESIST 82008-0000 fabric, open ends, aluminum frames painted black. NEW CONSTRUCTION USE TAX INCLUDED IN THIS PRICE.","AWNNON","AWNING","Acct Closed","","","","","","","","","0.500","0.000","0.500","21.23","0.00","21.23","","7.500","5.500","2.000","318.45","193.74","124.71","","","","","","","","","4.500","2.500","2.000","191.07","94.10","96.97","","","","","","","","","4.000","2.500","1.500","371.55","131.39","240.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.500","10.500","6.000","902.30","419.23","483.07"
"9232.7","09/30/19","5511","120 W HICKMAN LLC","WAUKEE, IA","28305"," Fabricate and install shed style awning, 36""H x 32"" projection 17´-7""W, Sunbrella Logo Red 6066-0000 fabric, open ends, aluminum frame painted black. NEW CONSTRUCTION USE TAX INCLUDED IN THIS PRICE.","AWNNON","AWNING","Acct Closed","","","","","","","","","1.000","0.000","1.000","42.46","0.00","42.46","","7.000","4.250","2.750","297.22","149.71","147.51","","","","","","","","","3.000","2.000","1.000","127.38","75.28","52.10","","","","","","","","","5.000","2.750","2.250","399.90","144.61","255.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.000","9.000","7.000","866.96","369.60","497.36"
"9232.8","10/07/19","5511","120 W HICKMAN LLC","",""," Provide 3"" black-aluminum drip cap to monument sign.  This will be an additional line item on the final invoice. Charged as T&M. "," ","","Acct Closed","","","","","","","","","","","","","","","","0.000","1.500","-1.500","0.00","52.84","-52.84","","","","","","","","","","","","","","","","","","","","","","","0.000","1.500","-1.500","0.00","78.31","-78.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","3.000","-3.000","0.00","131.15","-131.15"
"8949.1","01/10/19","5412","1908 DRAUGHT HOUSE","NORWALK, IA","26366"," Staff time for the procurement of permit. NOTE: Cost of permit will be listed on the invoice.","POLLIT","","Acct Closed","","0.000","0.500","-0.500","0.00","19.55","-19.55","","","","","","","","","0.000","0.750","-0.750","0.00","24.61","-24.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.250","-1.250","0.00","44.16","-44.16"
"8949.2","01/10/19","5412","1908 DRAUGHT HOUSE","NORWALK, IA","26550"," Furnish and install concrete footing and fabricated steel structure supports, all aluminum cabinets, all primed and finished in gloss polyurethane 15´ tall double sided sign structure. The top ""LOGO"" are individual cabinets with polycarbonate faces with digitally printed graphics illuminated with white LEDs. The copy ""1908 DRAUGHT HOUSE"" is routed out from the faces of the cabinet with RED PLEX backer with RED LEDs and WHITE PLEX backer with WHITE LEDs.  The red stripes down the sides are surface mounted LED lighted simulated neon tubes. Power to sign by others. NOTE: Price may change if engineering required by city. USE Tax is included.","MONDF","","Acct Closed","","","","","","","","","3.000","0.750","2.250","127.38","28.95","98.43","","0.000","51.000","-51.000","0.00","1636.72","-1636.72","","0.000","9.000","-9.000","0.00","285.65","-285.65","","0.000","5.250","-5.250","0.00","182.39","-182.39","","12.000","3.500","8.500","509.52","130.75","378.77","","27.000","17.000","10.000","1542.40","780.49","761.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.000","0.000","8.000","339.68","0.00","339.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.000","86.500","-36.500","2518.98","3044.95","-525.97"
"8949.3","01/10/19","5412","1908 DRAUGHT HOUSE","NORWALK, IA","26563"," Furnish and deliver (6) bales of straw to be placed on the ground where the monument sign will be installed to help prevent frost from penetrating to deep into the ground.","OTHER","","Acct Closed","","","","","","","","","","","","","","","","1.000","0.000","1.000","41.88","0.00","41.88","","","","","","","","","","","","","","","","","","","","","","","1.500","0.000","1.500","85.30","0.00","85.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.500","0.000","2.500","127.18","0.00","127.18"
