Code,Description,Account,Rate,S/U,"Jur
State","Jur
Type",Tax Cap,"Taxable
Amt Cap",,Assoc Tax,"Total 
Rate"
FLAGIA,FLAG POLE IA,2140,0.0000,S,IA,,0.00,,,,0.0000
XX,GOV,DO NOT USE,2140,5.0000,U,IA,State,,,,SCHUSE,6.0000
GOVT,Governmental 05-12-08,2140,0.0000,S,IA,State,,,,,0.0000
XX,IA,5% Iowa Sales Tax,2140,5.0000,S,IA,State,,,,,5.0000
IA01,IA Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA01S,01 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA02,02 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA02S,02 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA03,03 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA03S,03 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA04,04 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA04S,04 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA05,05 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA05S,05 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA06,06 School Tax,2140,1.0000,S,IA,County,,,,IA,6.0000
IA06OP,06 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
IA07,07 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA07S,07 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA08,IA 08 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA08S,IA 08 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA09,09 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA09S,09 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA10,10 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA10S,10 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA11,IA 11 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA11S,IA 11 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA12,12 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA12S,12 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
XX,IA13,13 School Tax,2140,1.0000,S,IA,County,,,,IA,6.0000
IA13OP,13 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
IA14,14 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA14S,14 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA15,15 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA15S,15 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA16,16 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA16S,16 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA17,17 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA17S,17 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA18,IA 18 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA18S,IA 18 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
IA19,19 Option Tax,2140,1.0000,S,IA,County,,,,IA6,7.0000
XX,IA19S,19 School Tax,2140,1.0000,S,IA,County,,,,,1.0000
