"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/26 - 02/15/26"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""12119.1""","""@38452 / City of Des Moines/ P""","1","1","0.00","87.75","81.62","","90.00","0.00","259.37","0.00","0.00","0.00","","","0.00","0.00","259.37","3500.00","92.59","3500.00","100.00","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12119-2","0.000","3.750"
"""12119.25""","""@38459B / City of Des Moines/""","2","2","27.29","0.00","0.00","","","0.00","27.29","2.32","155.12","0.00","","","0.00","157.44","-130.15","352.38","92.26","352.38","55.32","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12119-2","2.700",""
"""12119.29""","""@38311B / City of Des Moines/""","1","1","11.25","226.01","437.69","","","0.00","674.95","17.40","699.20","0.00","","200.00","0.00","916.60","-241.65","1397.51","51.70","1397.51","34.41","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12119-2","10.000","9.500"
"""12119.32""","""@Fabricate / City of Des Moine""","1","1","647.97","136.01","189.85","","","0.00","973.83","0.00","0.00","0.00","","","0.00","0.00","973.83","0.00","","0.00","","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12119-2","0.000","6.000"
"""12119.7""","""@38306B / City of Des Moines/""","2","2","171.16","643.27","1079.71","","","0.00","1894.14","58.00","1041.90","0.00","","716.88","0.00","1816.78","77.36","3071.36","38.33","3071.36","40.85","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12119-2","12.000","26.750"
"""12370.2""","""@38987 / KEMIN CENTRAL WAREHOU""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","","150.00","100.00","02/05/26","6293","KEMIN CENTRAL WAREHOUSE","F","0.00","0.00","0.00","02/04/26","12370","0.000",""
"""12370.3""","""@38371A / KEMIN CENTRAL WAREHO""","1","1","4694.23","2197.30","2916.01","","30.00","0.00","9837.54","4272.06","5265.56","0.00","","","0.00","9537.62","299.92","18107.00","45.67","18107.00","47.33","02/05/26","6293","KEMIN CENTRAL WAREHOUSE","F","0.00","0.00","0.00","02/04/26","12370","104.000","99.000"
"""12397.10""","""@39778 / CHIPOTLE - ADCON""","1","1","98.00","338.89","641.28","","2050.00","0.00","3128.17","301.00","2304.29","0.00","","2050.00","0.00","4655.29","-1527.12","7575.28","58.71","7575.28","38.55","01/15/26","3686","ADCON","F","0.00","0.00","0.00","01/13/26","12397-5","22.500","14.500"
"""12397.11""","""@FAB / CHIPOTLE - ADCON""","1","1","0.00","28.13","43.54","","","0.00","71.67","0.00","0.00","0.00","","","0.00","0.00","71.67","135.00","46.91","135.00","100.00","01/15/26","3686","ADCON","F","0.00","0.00","0.00","01/13/26","12397-5","0.000","1.250"
"""12397.12""","""@Filler / CHIPOTLE - ADCON""","1","1","100.34","95.51","174.07","","","0.00","369.92","0.00","0.00","0.00","","","0.00","0.00","369.92","605.08","38.86","605.08","100.00","01/15/26","3686","ADCON","F","0.00","0.00","0.00","01/13/26","12397-5","0.000","4.250"
"""12508.1""","""@39234 / Northwestern Mutual""","1","1","2282.90","542.76","887.81","","149.25","0.00","3862.72","145.00","2238.61","0.00","","1553.84","0.00","3937.45","-74.73","6730.57","42.61","6730.57","41.50","01/15/26","6374","NORTHWESTERN MUTUAL","F","0.00","0.00","0.00","01/05/26","12508","21.000","22.000"
"""12508.2""","""@39236 / Northwestern Mutual""","1","1","3359.36","1029.45","1532.00","","2046.75","0.00","7967.56","232.00","4545.31","0.00","","3905.76","0.00","8683.07","-715.51","14638.61","45.57","14638.61","40.68","01/15/26","6374","NORTHWESTERN MUTUAL","F","0.00","0.00","0.00","01/05/26","12508","44.500","40.250"
"""12508.3""","""@39237 / Northwestern Mutual""","1","1","998.11","433.64","769.59","","","0.00","2201.34","272.50","2727.14","0.00","","1996.45","0.00","4996.09","-2794.75","8869.05","75.18","8869.05","43.67","01/15/26","6374","NORTHWESTERN MUTUAL","F","0.00","0.00","0.00","01/05/26","12508","30.500","17.250"
"""12550.1""","""@39798 / Oaks On Grand - Downi""","1","1","908.76","873.28","998.62","","","0.00","2780.66","1058.44","2667.11","0.00","","","0.00","3725.55","-944.89","6649.90","58.18","6649.90","43.98","01/15/26","2460","DOWNING INC.","F","0.00","0.00","0.00","01/08/26","12550","38.000","37.000"
"""12550.2""","""@39823 / Oaks On Grand - Downi""","1","1","1712.86","1130.17","1425.73","","","0.00","4268.76","1312.54","2698.29","0.00","","150.00","0.00","4160.83","107.93","7732.82","44.80","7732.82","46.19","01/15/26","2460","DOWNING INC.","F","0.00","0.00","0.00","01/08/26","12550","45.500","47.750"
"""12550.3""","""@39608 / Oaks On Grand - Downi""","1","1","0.00","37.88","58.56","","","0.00","96.44","0.00","0.00","0.00","","","0.00","0.00","96.44","0.00","","150.00","100.00","01/15/26","2460","DOWNING INC.","F","0.00","0.00","0.00","01/08/26","12550","0.000","1.500"
"""12550.4""","""@warranty / Oaks On Grand - Do""","1","1","0.00","310.63","365.08","","","0.00","675.71","0.00","0.00","0.00","","","0.00","0.00","675.71","0.00","","0.00","","01/15/26","2460","DOWNING INC.","F","0.00","0.00","0.00","01/08/26","12550","0.000","13.500"
"""12560.2""","""@40337 / WALNUT STREET BRIDGE""","4","4","6622.43","22.50","18.28","","","0.00","6663.21","0.00","102.80","0.00","","6581.32","0.00","6684.12","-20.91","11689.76","43.00","11689.76","42.82","01/26/26","6386","CRAMER & ASSOCIATES INC.","F","0.00","0.00","0.00","01/21/26","12560","2.000","0.750"
"""12562.1""","""@39945 / IOWA DEPARTMENT OF TR""","1","1","419.10","26.88","55.34","","","0.00","501.32","43.50","635.76","0.00","","500.00","0.00","1179.26","-677.94","1950.54","74.30","1950.54","39.54","01/15/26","4035","IOWA DEPARTMENT OF TRANSPORTATION ADMINISTRATION BUILDING","F","0.00","0.00","0.00","01/07/26","12562-2","9.000","1.250"
"""12600.3""","""@40250 / CAT SCALE""","1","1","2649.65","0.00","0.00","","124.07","0.00","2773.72","0.00","0.00","0.00","","","0.00","0.00","2773.72","8325.00","66.68","8325.00","100.00","01/16/26","18600","CAT SCALE","F","0.00","0.00","0.00","01/12/26","12600-3","0.000",""
"""12600.4""","""@40251 / CAT SCALE""","1","1","2649.65","0.00","0.00","","","0.00","2649.65","0.00","0.00","0.00","","","0.00","0.00","2649.65","8325.00","68.17","8325.00","100.00","02/05/26","18600","CAT SCALE","F","0.00","0.00","0.00","02/05/26","12600-4","0.000",""
"""12626.1""","""@40293 / THE POUR HOUSE""","1","1","305.29","464.89","674.26","","","0.00","1444.44","0.00","366.65","0.00","","1182.19","0.00","1548.84","-104.40","2005.27","27.97","2005.27","22.76","01/26/26","6401","THE POUR HOUSE","F","0.00","0.00","0.00","01/21/26","12626","5.000","20.500"
"""12626.2""","""@40294 / THE POUR HOUSE""","1","1","147.15","266.26","393.00","","","0.00","806.41","0.00","366.65","0.00","","825.32","0.00","1191.97","-385.56","1494.50","46.04","1494.50","20.24","01/26/26","6401","THE POUR HOUSE","F","0.00","0.00","0.00","01/21/26","12626","5.000","11.000"
"""12626.3""","""@40295 / THE POUR HOUSE""","1","1","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","","150.00","100.00","01/26/26","6401","THE POUR HOUSE","F","0.00","0.00","0.00","01/21/26","12626","0.000",""
"""12636.1""","""@LineItem4A / CITY OF DES MOIN""","1","1","384.25","284.13","439.60","","","0.00","1107.98","0.00","0.00","0.00","","","0.00","0.00","1107.98","0.00","","0.00","","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12636","0.000","12.250"
"""12636.2""","""@LineItem8B / CITY OF DES MOIN""","1","1","253.58","887.53","1492.88","","","0.00","2633.99","0.00","0.00","0.00","","","0.00","0.00","2633.99","0.00","","0.00","","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12636","0.000","37.750"
"""12636.3""","""@LineItem13B / CITY OF DES MOI""","1","1","253.58","836.42","1482.62","","","0.00","2572.62","0.00","0.00","0.00","","","0.00","0.00","2572.62","0.00","","0.00","","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12636","0.000","37.750"
"""12636.4""","""@warrantyE6th / CITY OF DES MO""","1","1","89.75","643.02","1002.07","","","0.00","1734.84","0.00","0.00","0.00","","","0.00","0.00","1734.84","0.00","","0.00","","01/31/26","28110","CITY OF DES MOINES/ DEPT. OF FINANCE. ACCOUNTS PAYABLE","F","0.00","0.00","0.00","01/30/26","12636","0.000","28.250"
"""12644.1""","""@40351 / Boot Barn""","1","1","0.00","65.25","123.90","","","0.00","189.15","0.00","256.66","0.00","","","0.00","256.66","-67.51","415.00","54.42","415.00","38.15","01/15/26","3798","PACIFIC NEON","F","0.00","0.00","0.00","01/12/26","12644","3.500","2.750"
