"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/11 - 12/31/11"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""2753.1""","""@ / FLYING J TRAVEL PLAZA""","1","1","0.00","39.00","70.20","","","","0.00","109.20","0.00","0.00","0.00","","","","0.00","0.00","109.20","150.00","27.20","150.00","100.00","08/16/11","18600","CAT SCALE","F","0.00","0.00","0.00","08/08/11","2753-1","0.000","3.000"
"""2753.2""","""@9340 / FLYING J TRAVEL PLAZA""","1","1","0.00","137.25","230.85","","","","0.00","368.10","0.00","0.00","0.00","","","","0.00","0.00","368.10","615.00","40.15","615.00","100.00","08/16/11","18600","CAT SCALE","F","0.00","0.00","0.00","08/08/11","2753-1","0.000","8.250"
"""2753.3""","""@9331 / FLYING J TRAVEL PLAZA""","1","1","5365.93","30.81","36.51","","","","0.00","5433.25","0.00","0.00","0.00","","","","0.00","0.00","5433.25","9834.00","44.75","9834.00","100.00","08/16/11","18600","CAT SCALE","F","0.00","0.00","0.00","08/08/11","2753-1","0.000","2.000"
"""2753.4""","""@9505 / FLYING J TRAVEL PLAZA""","1","1","161.93","180.44","253.07","","","","0.00","595.44","157.17","434.00","0.00","","","","0.00","591.17","4.27","1179.40","49.51","979.40","39.64","08/16/11","18600","CAT SCALE","F","0.00","0.00","0.00","08/08/11","2753-1","10.500","12.500"
"""2952.2""","""@7936 / RE/MAX REAL ESTATE CON""","1","1","632.07","725.96","788.42","","","","0.00","2146.45","836.96","1102.00","0.00","","360.00","","0.00","2298.96","-152.51","2853.52","24.78","2853.52","19.43","01/21/11","2948","RE/MAX REAL ESTATE CONCEPTS","F","0.00","0.00","0.00","01/20/11","2952","31.000","48.250"
"""2979.1""","""@6897A / Gander Mountain""","1","1","3497.55","654.62","609.42","","","","0.00","4761.59","3427.16","1246.40","0.00","","","","0.00","4673.56","88.03","6964.46","31.63","6964.46","32.89","04/21/11","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","04/19/11","2979","41.000","39.250"
"""2979.2""","""@6897B / Gander Mountain""","1","1","771.21","133.69","120.35","","","","0.00","1025.25","1122.47","623.20","0.00","","","","0.00","1745.67","-720.42","2621.24","60.89","2621.24","33.40","04/21/11","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","04/19/11","2979","20.500","8.000"
"""2979.3""","""@6898 / Gander Mountain""","1","1","629.24","138.45","124.61","","","","0.00","892.30","644.39","288.80","0.00","","","","0.00","933.19","-40.89","1502.39","40.61","1502.39","37.89","04/21/11","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","04/19/11","2979","9.500","8.000"
"""2979.4""","""@6941 / Gander Mountain""","1","1","52.89","38.13","34.33","","","","0.00","125.35","59.49","98.80","0.00","","","","0.00","158.29","-32.94","264.68","52.64","264.68","40.20","04/21/11","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","04/19/11","2979","3.250","2.250"
"""2979.5""","""@6980 / Gander Mountain""","1","1","0.00","8.50","7.65","","4280.08","","0.00","4296.23","0.00","1600.00","0.00","","2075.00","","0.00","3675.00","621.23","4695.50","8.50","4695.50","21.73","04/21/11","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","04/19/11","2979","1600.000","0.500"
"""2990.1""","""@6294 / WEST DES MOINES COMMUN""","1","1","2285.89","854.57","1150.39","","232.01","","0.00","4522.86","12.50","3315.80","0.00","","1784.05","","0.00","5112.35","-589.49","7819.40","42.16","7819.40","34.62","04/11/11","2966","CITY OF WEST DES MOINES PARKS & REC","F","0.00","0.00","0.00","04/07/11","2990","64.000","53.000"
"""2990.2""","""@WARRANTY / WEST DES MOINES CO""","1","1","6.99","21.06","18.96","","","","0.00","47.01","0.00","0.00","0.00","","","","0.00","0.00","47.01","0.00","","0.00","","04/11/11","2966","CITY OF WEST DES MOINES PARKS & REC","F","0.00","0.00","0.00","04/07/11","2990","0.000","1.250"
"""3078.2""","""@7868 / FAREWAY STORES INC.""","1","1","0.00","0.00","0.00","","1237.55","","0.00","1237.55","273.79","689.80","0.00","","174.96","","0.00","1138.55","99.00","1819.27","31.98","1819.27","37.42","04/30/11","42300","FAREWAY STORES, INC.","F","0.00","0.00","0.00","04/29/11","3078-2","11.500",""
"""3090.1""","""@prep / Bonanza""","1","1","115.46","240.50","432.90","","","","0.00","788.86","0.00","0.00","0.00","","","","0.00","0.00","788.86","1098.19","28.17","1098.19","100.00","01/18/11","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","01/05/11","3090","0.000","18.500"
