"15 FEB 2026","18:17:49","","","GROSS MARGIN BY INVOICE",
"","","","","PERIOD: 01/01/25 through 12/31/25",

"Invoice No","Inv Date","Prod Code","WO / Part ","Quote","Gross Sales","Total Cost","Gross Margin","GM %","Extra Chg","Sales Tax","Quote Cost","Quote Price","Quote GM%","Quote Sell Price","Quote Sell GM%","Cust No","Customer Name","SalesPer #1","Rate #1","SalesPer #2","Rate #2","SalesPer #3","Rate #3","Location No","Location Name","City","State",

"11364","04/10/25","PRMT","11364.2","35569","0.00","0.00","0.00","","243.00","143.80","0.00","0.00","","150.00","100.00","3192","WINDSTAR LINES  INC.","JEFF","","","","","","DEFAULT","WINDSTAR LINES, INC.","DES MOINES","IA",
"11364","04/10/25","SRVCE","11364.3","","500.89","401.15","99.74","19.91","","","","","","","","3192","WINDSTAR LINES  INC.","JEFF","","","","","","DEFAULT","WINDSTAR LINES, INC.","DES MOINES","IA",
"11364","04/10/25","VINYL","11364.4","38775","1553.47","712.36","841.11","54.14","","","887.99","1553.47","42.84","","","3192","WINDSTAR LINES  INC.","JEFF","","","","","","DEFAULT","WINDSTAR LINES, INC.","DES MOINES","IA",
"11364","","","Invoice Totals","","2054.36","1113.51","940.85","45.80","243.00","143.80","887.99","1553.47","42.84","150.00","-491.99","3192","WINDSTAR LINES  INC.","JEFF","","","","","",

"11527","06/30/25","DRCT","11527.15","38657","19167.38","9325.57","9841.81","51.35","","","6555.55","10761.69","39.08","9583.69","31.60","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527","","","Invoice Totals","","19167.38","9325.57","9841.81","51.35","0.00","0.00","6555.55","10761.69","39.08","9583.69","31.60","3804","WEITZ COMPANY LLC","JOEP","","","","","",

"11527-2","07/08/25","DRCT","11527.7","35412B","35644.10","17467.99","18176.11","50.99","","","22322.93","35644.10","37.37","","","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527-2","","","Invoice Totals","","35644.10","17467.99","18176.11","50.99","0.00","0.00","22322.93","35644.10","37.37","","","3804","WEITZ COMPANY LLC","JOEP","","","","","",

"11527-3","09/29/25","DRCT","11527.2","35413","1234.05","0.00","1234.05","100.00","","","760.16","1234.05","38.40","","","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527-3","09/29/25","DRCT","11527.6","35473","4107.69","0.00","4107.69","100.00","","","0.00","0.00","","2500.00","100.00","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527-3","09/29/25","DRCT","11527.8","35420B","111929.18","61733.27","50195.91","44.85","","","71954.93","111929.18","35.71","","","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527-3","09/29/25","DRCT","11527.14","37819","7547.24","4113.51","3433.73","45.50","","","4824.14","7547.24","36.08","","","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527-3","09/29/25","DRCT","11527.16","39626","2777.42","610.76","2166.66","78.01","","","1570.16","2777.42","43.47","","","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527-3","09/29/25","DRCT","11527.17","40013","427.91","272.47","155.44","36.33","","","276.70","427.91","35.34","","","3804","WEITZ COMPANY LLC","JOEP","","","","","","3","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11527-3","","","Invoice Totals","","128023.49","66730.01","61293.48","47.88","0.00","0.00","79386.09","123915.80","35.94","2500.00","-3075.44","3804","WEITZ COMPANY LLC","JOEP","","","","","",

"11551","12/12/25","MONMNT","11551.1","36598","7642.81","6020.10","1622.71","21.23","300.00","545.50","4412.02","7642.81","42.27","","","6046","HOPE DEVELOPMENT & REALTY","JEFF","","","","","","DEFAULT","HOPE PLAZA 2","GRIMES","IA",
"11551","12/12/25","PRMT","11551.2","36612","0.00","0.00","0.00","","","","0.00","0.00","","150.00","100.00","6046","HOPE DEVELOPMENT & REALTY","JEFF","","","","","","DEFAULT","HOPE PLAZA 2","GRIMES","IA",
"11551","","","Invoice Totals","","7642.81","6020.10","1622.71","21.23","300.00","545.50","4412.02","7642.81","42.27","150.00","-2841.35","6046","HOPE DEVELOPMENT & REALTY","JEFF","","","","","",

"11827","02/05/25","BLDG","11827.1","37371","190849.38","139043.30","51806.08","27.15","","","114740.50","190849.38","39.88","","","6079","THE WALDINGER CORP.","JOEP","","","","","","2","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11827","","","Invoice Totals","","190849.38","139043.30","51806.08","27.15","0.00","0.00","114740.50","190849.38","39.88","","","6079","THE WALDINGER CORP.","JOEP","","","","","",

"11827-2","03/28/25","CHANNL","11827.2","37372","58481.58","36715.92","21765.66","37.22","","","33641.57","58481.58","42.47","","","6079","THE WALDINGER CORP.","JOEP","","","","","","2","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11827-2","03/28/25","PRMT","11827.3","37373","2211.00","47.29","2163.71","97.86","","","2145.92","2209.61","2.88","2211.00","2.94","6079","THE WALDINGER CORP.","JOEP","","","","","","2","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11827-2","03/28/25","MISC","11827.4","","0.00","955.00","-955.00","","","","","","","","","6079","THE WALDINGER CORP.","JOEP","","","","","","2","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
"11827-2","03/28/25","01","11827.5","","0.00","68.54","-68.54","","","","","","","","","6079","THE WALDINGER CORP.","JOEP","","","","","","2","DES MOINES INTERNATIONAL AIRPORT","DES MOINES","IA",
