work_code,description,source_tier,source_file,ingested_at
ADA,ADA SIGNS INTERIOR WAYFINDING,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
ALULIT,ALUMINUM CABINET LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
ALUNON,ALUMINUM CABINET NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
AWNILL,AWNING ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
AWNNON,AWNING NON-ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
AWNREC,AWNING RECOVER,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
BANPRN,PRINTED BANNER,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
BANSTK,STOCK BANNER - VINYL COPY,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
BLANK,GRIMCO BLANK,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
BLDILL,SF BUILDING SIGN ILLUMINATED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
BLDNON,SF BUILDING SIGN NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
CASMET,CAST METAL LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
