work_code,description,source_tier,source_file,ingested_at
CLLIT,CHANNEL LETTERS LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
CLNON,CHANNEL LETTERS NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
DIRECT,DIRECTIONAL,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
FFACE,"FACES, FORMED",4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
FLAG,FLAGS & FLAG POLES,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
FORMED,FORMED ALUMINUM,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
GEMINI,GEMINI LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
ILLUM,ILLUMINATED CABINET ALUMINUM,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
JOBPRN,JOB SITE SIGN PRINTED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
JOBVIN,JOB SITE SIGN VINYL APPLIED,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
LED,LED LIGHTING,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
LETPLA,FORMED PLASTIC LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
MAGNET,MAGNETIC SIGNS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
MILLIK,MILLIKEN FRAME COOLEY,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
MONDF,MONUMENT SIGN DF,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
MONSF,MONUMENT SIGN SF,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
NEON,NEON,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
OTHER,MISCELLANEOUS SIGN,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
OVRLAY,.040 ALUMINUM OVERLAY,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
POLLIT,POLE SIGN LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
POLNON,POLE SIGN NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
PRNGRA,PRINTED GRAPHICS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
RTLT,ROUTED LETTERS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
STLLIT,STEEL FABBED CABINET LIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
STLNON,STEEL FABBED CABINET NONLIT,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
VINYL,VINYL LETTERS & GRAPHICS,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\SIGN_TYPE_CODES.csv,2026-01-30T11:07:09.033238
