Prod Type,description,Count,Gross Sales (Total),Total Cost (Total),gross_margin,gm_pct,source_tier,source_file,ingested_at
VINYL,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=VINYL' target='_blank'>VINYL GRAPHICS</a>,"1,446","504,117.57","307,239.19",196878.38,39.1,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
MONMNT,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=MONMNT' target='_blank'>MONUMENT SIGNS</a>,685,"4,430,123.74","2,699,993.35",1730130.39,39.1,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
PLFORM,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PLFORM' target='_blank'>FORMED PLASTIC LETTERS</a>,66,"111,738.26","68,237.01",43501.25,38.9,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
PYLON,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PYLON' target='_blank'>PYLON SIGNS</a>,"1,905","25,740,672.41","16,022,864.69",9717807.72,37.8,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
INSTL,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=INSTL' target='_blank'>INSTALLATION</a>,"2,461","3,218,082.41","2,009,637.44",1208444.97,37.6,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
GRAPHC,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=GRAPHC' target='_blank'>PRINTED GRAPHICS</a>,117,"47,132.44","29,973.71",17158.73,36.4,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
PLYWD,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PLYWD' target='_blank'>MDO PLYWOOD SIGNS</a>,27,"42,804.82","27,286.06",15518.76,36.3,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
01,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=01' target='_blank'>DO NOT USE - SEE DROP DOWN</a>,86,"222,681.58","142,053.62",80627.96,36.2,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
ART,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=ART' target='_blank'>ARTWORK</a>,16,"10,095.71","6,482.64",3613.07,35.8,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
MISC,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=MISC' target='_blank'>MISCELLANEOUS SALE</a>,"3,259","4,335,521.87","2,828,430.90",1507090.97,34.8,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
CHNG,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=CHNG' target='_blank'>CHANGEABLE COPY SIGNAGE</a>,25,"23,041.88","15,329.74",7712.14,33.5,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
OUTS,<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=OUTS' target='_blank'>OUTSOURCING</a>,280,"896,296.70","616,976.95",279319.75,31.2,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\Sales Summary - by Product Type.csv,2026-01-30T11:07:09.343372
