work_code,description,work_dept,source_tier,source_file,ingested_at
811,TRAVEL (QUOTING),600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
815,SURVEY,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
820,SERVICE LABOR,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
825,SCRAP/JUNK,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
830,DELIVERY,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
5200,CLEAN & MAINTAIN SHOP,5200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
5300,ESTIMATING TIME,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
5310,STAFF TIME - PERMITTING,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
5320,ADMINSTRATIVE,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9100,ART DEPT OVERTIME,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9200,FABRICATION OVERTIME,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9300,ELECTRICAL OVERTIME,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9400,PAINT DEPT OVERTIME,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9500,VINYL DEPT OVERTIME,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9600,INSTALL OVERTIME 1 MAN,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9640,2 MEN & TRUCK INSTALL O/T,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9650,3 MEN 2 TRUCKS O/T,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9700,SERVICE LABOR - OVERTIME,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9800,OVERTIME TRAVEL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
9820,LOAD/UNLOAD OVERTIME,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:07:09.218936
