wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
10023.1,5176,ALLEN INDUSTRIES - HARMON SIGN DIVISION,"DES MOINES, IA",0.0,131.0,223.12,0.0,0.0,354.12,250.0,,250.0,-104.12,-41.65,SURVEY,RESALE,Adam Fasselius,28792,2021-02-23,Fin Closed,CLLIT,,@28792 / Site Survey,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.2,5176,ALLEN INDUSTRIES - HARMON SIGN DIVISION,"DES MOINES, IA",0.0,152.63,283.9,0.0,0.0,436.53,596.59,,596.59,160.06,26.83,INSTL,RESALE,Adam Fasselius,28785,2021-02-23,Fin Closed,CLLIT,,"@28785 / Remove and Dispose (1) existing LOGO and Channel Letters ""RAMADA"". No patching/painting included.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.3,5176,ALLEN INDUSTRIES - HARMON SIGN DIVISION,"DES MOINES, IA",0.0,341.5,632.53,0.0,0.0,974.03,963.18,,963.18,-10.85,-1.13,INSTL,RESALE,Adam Fasselius,28786,2021-02-28,Fin Closed,CLLIT,,"@28786 / Receive, Inspect and Install (1) set of Channel Letters on Raceways - Total Dimensions: 3' 10 3/4"" H X 13' 7 1/8"" W - ""RAMADA BY WYNDHAM""",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.4,5176,ALLEN INDUSTRIES - HARMON SIGN DIVISION,"DES MOINES, IA",0.0,28.25,42.79,0.0,0.0,71.04,135.0,,135.0,63.96,47.38,PRMT,RESALE,Adam Fasselius,28787,2021-02-23,Fin Closed,CLLIT,,@28787 / Staff time for the procurement of permitting - NOTE: Permit cost will be on Final Invoice,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.5,5176,ALLEN INDUSTRIES - HARMON SIGN DIVISION,"DES MOINES, IA",3.8,34.0,63.24,0.0,0.0,101.04,252.47,,252.47,151.43,59.98,INSTL,RESALE,Adam Fasselius,29147,2021-02-23,Fin Closed,CLLIT,,@29147 / Remove just the LOGO and leave channel letters on opposite side - No patching/painting included. Price assumes this removal done on same trip as other removals.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10023.6,5176,ALLEN INDUSTRIES - HARMON SIGN DIVISION,"DES MOINES, IA",0.0,72.25,133.88,0.0,0.0,206.13,888.88,,,,,CHANNL,RESALE,Adam Fasselius,29194,2022-10-27,Fin Closed,CLLIT,,"@29194 / Remove Raceway with Channel Letters ""RAMADA"" and Re-Install Centered in same area",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.2,5763,CHRISTIAN LIFE ASSEMBLY OF GOD,"NORWALK, IA",0.0,48.5,45.11,0.0,0.0,93.61,135.0,,,,,PRMT,IA77O7,Adam Fasselius,30369,2022-08-17,Fin Closed,MONSF,,@30369 / Staff time for the procurement of permitting - NOTE: Permit cost will be on Final Invoice,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.3,5763,CHRISTIAN LIFE ASSEMBLY OF GOD,"NORWALK, IA",0.0,33.19,30.87,0.0,0.0,64.06,19609.03,,,,,MONMNT,IA77O7,Adam Fasselius,32560,2022-05-31,Fin Closed,MONDF,,"@32560 / Fabricate and Install SF Cabinet on top of 2´ H Concrete Base - Cabinet painted SW7068(grizzle gray) with stainless stand off letters halo lit - 1/4"" thick Corten Steel Side piece with Stainless Stand off Logo halo lit - - dig and pour footing with pad 3"" above grade - (75 SQ FT max)",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10024.4,5763,CHRISTIAN LIFE ASSEMBLY OF GOD,"NORWALK, IA",8846.43,965.39,1065.64,4486.0,0.0,15363.46,22371.63,,22371.63,7008.17,31.33,MONMNT,IA77O7,Adam Fasselius,33777,2022-08-17,Fin Closed,MONDF,,"@33777 / Fabricate and Install SF Cabinet on top of 2´ H Concrete Base - Cabinet painted SW7068(grizzle gray) with stainless stand off letters halo lit - 1/4"" thick Corten Steel Side piece with individual Stainless Stand off strip Logo halo lit - - dig and pour footing with pad 3"" above grade - (75 SQ FT max)",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10025.1,4918,GARLING CONSTRUCTION,"ANKENY, IA",103.6,130.01,172.27,0.0,0.0,405.88,,,781.05,375.17,48.03,MISC,IA77OP,,,2021-01-08,Fin Closed,,TM - Time & Materials,"@tm / Route and paint Address number ""109"" Paint white and install on Tuesday 12/15/20",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10026.1,18600,CAT SCALE,"MERIDIAN, MS",38794.04,73.01,67.9,2650.0,0.0,41584.95,12960.0,,64800.0,23215.05,35.83,PYLON,IC,,30985,2021-01-13,Fin Closed,POLLIT,,@30985 / (5) LED 115mph/standard packages,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10027.1,5764,T & M SERVICES,"WEST DES MOINES, IA",7.6,159.75,294.76,0.0,0.0,462.11,1036.88,,1036.88,574.77,55.43,CHANNL,IA77O7,Adam Fasselius,30904,2021-01-20,Fin Closed,CLLIT,,"@30904 / South Elevation: Remove and Dispose existing channel letters - ""SAMMONS FINANCIAL GROUP"" Caulk holes in wall.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10027.2,5764,T & M SERVICES,"WEST DES MOINES, IA",3.8,0.0,0.0,0.0,0.0,3.8,818.55,,818.55,814.75,99.54,CHANNL,IA77O7,Adam Fasselius,30905,2021-01-20,Fin Closed,CLLIT,,"@30905 / North Elevation: Remove and Dispose existing channel letters - ""SAMMONS FINANCIAL GROUP"" Caulk holes in wall.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10028.1,5608,HENRY J'S TACOS,"DES MOINES, IA",14.3,75.13,76.85,0.0,0.0,166.28,196.66,,196.66,30.38,15.45,VINYL,IA77O7,Adam Fasselius,30854,2021-01-13,Fin Closed,VINYL,,"@30854 / Furnish and apply first surface white vinyl business name, business hours along with the address on entrance door glass. Reference Eagle sketch 1120-30854-01.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10028.2,5608,HENRY J'S TACOS,"DES MOINES, IA",128.17,17.5,23.26,0.0,0.0,168.93,295.33,,295.33,126.4,42.8,VINYL,IA77O7,Adam Fasselius,30855,2021-01-13,Fin Closed,VINYL,,@30855 / Furnish and apply first surface white vinyl business name and logo on window glass. Reference Eagle sketch 1120-30855-01.,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10029.1,18600,CAT SCALE,"DYERSBURG, TN",859.73,4.88,4.54,0.0,0.0,869.15,1506.0,,1506.0,636.85,42.29,PYLON,IC,,30988,2020-12-17,Fin Closed,POLLIT,,@30988 / (1) Intercom Sign,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1003.1,2101,SALAD CREATIONS,"PALM BEACH GARDENS, FL",976.26,479.08,876.72,4149.36,0.0,6481.42,,,8184.0,1702.58,20.8,CHANNL,IC,,1000,2007-09-25,Fin Closed,,,"@1000 / Fabricate, Ship and Install, per Eagle Sign drawing #704040C2, Salad Creations 20 face lit channel letters. .050 backs and .040 aluminum returns 5 deep painted to match BM Peale Green HC-121; white plex faces and white trim cap; illuminated w/ 15mm white neon.$3,236.00 = fabrication priceInstall$4,598.00 = install price ($200.00 est permit; included in price, do not bill extra at invoice)Issue PO to installer: $2,099.00, installation; $269.00 Time Clock; $150.00, engineering; $1,000.00 permit feesprice includes engineering, time clock, permit and permit feesfreight:$350.00ship to installer",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10030.1,18600,CAT SCALE,"CORPUS CHRISTI, TX",859.73,4.88,4.54,0.0,0.0,869.15,1506.0,,1764.33,895.18,50.74,PYLON,TXCORP,,30989,2020-12-17,Fin Closed,POLLIT,,@30989 / (1) Intercom Sign,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.1,4170,KNAPP PROPERTIES,"WEST DES MOINES, IA",561.64,262.51,302.73,22.98,0.0,1149.86,2452.51,,2452.51,1302.65,53.11,DRCT,IA25O7,Adam Fasselius,30926,2021-04-19,Fin Closed,DIRECT,,"@30926 / Entrance off S 68th St - Dig and pour footers for poles - Fabricate and Install (to cover electrical box) non-illuminated single-faced Post and Panel sign with a printed vinyl site map that includes building numbers 1000, 2000, 3000, 4000, 5000 and 6000 - include two roads South 68th St and Stagecoach Drive - NOTE: max sign area (35) Square Feet - Max height (8´) above grade - height of exposed post shall not be more than (3´) or one-quarter (1/4) of the total height of sign - whichever is more restrictive - three dimensional copy is not required -",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10031.2,4170,KNAPP PROPERTIES,"WEST DES MOINES, IA",562.64,345.26,483.39,22.99,0.0,1414.28,2452.51,,2452.51,1038.23,42.33,DRCT,IA25O7,Adam Fasselius,30927,2021-04-19,Fin Closed,DIRECT,,"@30927 / Entrance off Stagecoach Drive - Dig and pour footers for poles - Fabricate and Install (to cover electrical box) non-illuminated single-faced Post and Panel sign with a printed vinyl site map that includes building numbers 1000, 2000, 3000, 4000, 5000 and 6000 - include two roads South 68th St and Stagecoach Drive - NOTE: max sign area (35) Square Feet - Max height (8´) above grade - height of exposed post shall not be more than (3´) or one-quarter (1/4) of the total height of sign - whichever is more restrictive - three dimensional copy is not required -",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10032.1,18600,CAT SCALE,"LUBBOCK, TX",5.14,40.25,37.43,0.0,0.0,82.82,,,156.2,73.38,46.98,VINYL,TXLUBB,,30999,2021-01-08,Fin Closed,VINYL,,"@30999 / Fabricate and ship (1) set of ENTER and DO NOT ENTER vinyl, and placement details",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10033.1,4453,SYVERSON STREGE AND COMPANY,"WEST DES MOINES, IA",45.7,15.0,13.95,0.0,0.0,74.65,334.97,,334.97,260.32,77.71,GRAPHC,IA77O7,Adam Fasselius,30970,2020-12-30,Fin Closed,DIRECT,,"@30970 / Furnish and install ""SYVERSON STREGE"" overlay on (2) current ""TRANSITION POINT"" and ""CHARITABLE GIVING"" 18""H X 12""W parking sign panels. Panels will be removed for 1 day and brought to the Eagle shop due to outside temperatures.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.1,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",493.36,810.01,933.14,87.5,0.0,2324.01,3118.43,,3118.43,794.42,25.47,CHANNL,IA77O7,Adam Fasselius,30958,2021-02-05,Fin Closed,CLLIT,,"@30958 / CHANNEL LETTERS: Fabricate and install new set of LED illuminated channel letters on painted raceway ""Grimes"" using a standard vinyl color. Relocate the existing ""Chiropractic"" letters so the entire sign has a horizontal layout centered on the sign band EIFS. NOTE: There will be penetration holes and discoloring of the EIFS where the old signs were removed and relocated. Eagle will fill penetration holes with silicone. No patching or painting is included in this price. Reference Eagle sketch 1220-30958-01.",,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
