wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
10034.5,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",0.0,10.5,9.77,0.0,0.0,20.27,135.0,,,,,PRMT,IA77O7,Adam Fasselius,30998,2021-02-05,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.6,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",9.49,25.13,37.32,0.0,0.0,71.94,140.65,,140.65,68.71,48.85,VINYL,IA77O7,Adam Fasselius,31033,2021-02-05,Fin Closed,VINYL,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.7,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",498.66,356.38,331.44,112.5,0.0,1298.98,3060.49,,3060.49,1761.51,57.56,CHANNL,IA77O7,Adam Fasselius,31042,2021-02-05,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10034.8,5766,GRIMES CHIROPRACTIC,"GRIMES, IA",0.0,50.88,94.64,0.0,0.0,145.52,,,,,,VINYL,IA77O7,,,2021-02-23,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10035.1,5767,VETERINARY MEDICAL ASSOCIATES,"PERRY, IA",0.0,43.25,79.64,0.0,0.0,122.89,325.0,,325.0,202.11,62.19,SURVEY,IA25O7,Adam Fasselius,31000,2021-01-12,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10036.1,2535,ATLAS SIGN INDUSTRIES,"JOHNSTON, IA",0.0,62.13,114.22,0.0,0.0,176.35,250.0,,250.0,73.65,29.46,SURVEY,RESALE,Adam Fasselius,31002,2021-01-05,Fin Closed,MONDF,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10037.1,18600,CAT SCALE,"WALCOTT, IA",1958.06,273.0,253.9,0.0,0.0,2484.96,,,6974.0,4489.04,64.37,MISC,IA77O7,,,2020-12-30,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.1,18600,CAT SCALE,"WALCOTT, IA",977.59,397.14,369.38,0.0,0.0,1744.11,,,2762.65,1018.54,36.87,PYLON,IA77O7,,31025,2021-01-18,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.2,18600,CAT SCALE,"WALCOTT, IA",13416.54,263.13,244.74,0.0,0.0,13924.41,1865.37,,18653.7,4729.29,25.35,PYLON,IA77O7,,31026,2021-01-18,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.3,18600,CAT SCALE,"WALCOTT, IA",1339.41,62.25,57.9,0.0,0.0,1459.56,217.35,,2173.5,713.94,32.85,PYLON,IA77O7,,31027,2021-01-18,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.4,18600,CAT SCALE,"WALCOTT, IA",3379.52,13.5,12.56,0.0,0.0,3405.58,3065.0,,6130.0,2724.42,44.44,PYLON,IA77O7,,31028,2021-01-18,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10038.5,18600,CAT SCALE,"WALCOTT, IA",859.73,8.63,8.03,0.0,0.0,876.39,1506.0,,1506.0,629.61,41.81,PYLON,IA77O7,,31029,2021-01-18,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
