work_code,description,work_dept,source_tier,source_file,ingested_at
98,PERMIT SUBMITTED,99,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
99,PERMIT RECEIVED,99,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
110,SKETCHING,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
120,PRINTING,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
130,LAYOUT,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
200,FABRICATION LAYOUT,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
210,SHEET METAL,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
215,STRUCTURAL STEEL,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
220,EXTRUSIONS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
230,CHANNEL LETTERS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
235,ROUTING,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
240,FLAT CUT OUT LETTERS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
250,AWNINGS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
260,FACES,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
270,MISC FABRICATION,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
280,CRATING & SHIPPING,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
282,CHECK IN FREIGHT,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
310,BALLAST WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
315,NEON PATTERN,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
320,NEON WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
330,NEON BENDING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:01:18.494060
