Work_Code,Total_Est_Hrs,Total_Actual_Hrs,Job_Count,Efficiency_Score,description,Hours_Variance,Variance_Pct,Is_Bottleneck,source_tier,source_file,ingested_at
810,5.5,5.5,2,1.0,UNKNOWN,0.0,0.0,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
260,4224.5,4197.5,1486,1.006,UNKNOWN,27.0,0.6,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
200,5451.0,4529.75,1853,1.203,UNKNOWN,921.25,16.9,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
280,5641.5,3232.0,2492,1.746,CRATING & SHIPPING,2409.5,42.7,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
340,6365.5,3367.0,1056,1.891,ELECTRICAL WIRING,2998.5,47.1,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
220,30402.506,14357.25,2545,2.118,EXTRUSIONS,16045.26,52.8,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
550,9863.25,4483.5,1576,2.2,UNKNOWN,5379.75,54.5,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
215,26986.025,9741.125,1971,2.77,UNKNOWN,17244.9,63.9,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
310,15211.5,3980.75,2523,3.821,BALLAST WIRING,11230.75,73.8,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
520,11292.5,2031.0,1568,5.56,UNKNOWN,9261.5,82.0,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
270,10679.31,1259.0,1372,8.482,MISC FABRICATION,9420.31,88.2,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
420,38449.75,4241.5,3472,9.065,PRIME AND FINISH,34208.25,89.0,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
410,38436.5,3914.25,3440,9.82,CLEAN AND ETCH,34522.25,89.8,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
235,7329.68,161.5,107,45.385,UNKNOWN,7168.18,97.8,False,4,H:\brady\BOT TRAINING\Cat Scale\- Audit -\2026\SHOP_EFFICIENCY.csv,2026-01-30T11:06:09.516236
