work_code,description,work_dept,source_tier,source_file,ingested_at
98,PERMIT SUBMITTED,99,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
99,PERMIT RECEIVED,99,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
110,SKETCHING,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
120,PRINTING,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
130,LAYOUT,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
200,FABRICATION LAYOUT,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
210,SHEET METAL,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
215,STRUCTURAL STEEL,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
220,EXTRUSIONS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
230,CHANNEL LETTERS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
235,ROUTING,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
240,FLAT CUT OUT LETTERS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
250,AWNINGS,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
260,FACES,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
270,MISC FABRICATION,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
280,CRATING & SHIPPING,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
282,CHECK IN FREIGHT,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
310,BALLAST WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
315,NEON PATTERN,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
320,NEON WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
330,NEON BENDING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
340,ELECTRICAL WIRING,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
410,CLEAN AND ETCH,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
420,PRIME AND FINISH,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
430,SPRAY PAINTING FACES,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
510,LAYOUT,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
520,CUT AND/OR WEED VINYL,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
530,PRINTED GRAPHICS,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
550,VINYL APPLICATION,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
605,FOOTING - INSTALLATION,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
610,LOAD/UNLOAD,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
612,INSTALL - NO CRANE,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
615,WIRING - INSTALLATION,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
620,TRAVEL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
621,DELIVER/MILEAGE,800,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
625,REMOVAL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
630,1 MAN & TRUCK INSTALL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
640,2 MEN & TRUCK INSTALL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
650,3 MEN & TRUCK INSTALL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
710,LOAD/UNLOAD,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
720,SERVICE,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
810,travel-see mileage charge,800,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
811,TRAVEL (QUOTING),600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
815,SURVEY,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
820,SERVICE LABOR,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
825,SCRAP/JUNK,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
830,DELIVERY,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
5200,CLEAN & MAINTAIN SHOP,5200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
5300,ESTIMATING TIME,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
5310,STAFF TIME - PERMITTING,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
5320,ADMINSTRATIVE,5300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9100,ART DEPT OVERTIME,100,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9200,FABRICATION OVERTIME,200,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9300,ELECTRICAL OVERTIME,300,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9400,PAINT DEPT OVERTIME,400,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9500,VINYL DEPT OVERTIME,500,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9600,INSTALL OVERTIME 1 MAN,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9640,2 MEN & TRUCK INSTALL O/T,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9650,3 MEN 2 TRUCKS O/T,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9700,SERVICE LABOR - OVERTIME,700,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9800,OVERTIME TRAVEL,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
9820,LOAD/UNLOAD OVERTIME,600,4,H:\brady\BOT TRAINING\Eagle Data\combined for llm use\WORK CODE.xlsx,2026-01-30T11:06:08.651239
